gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new
ENSG00000147439.10	-0.147936556043846	0.862485832719625	0.0932718052220954	-1.58608012026341	0.112721135851281	age	0.0332390821772419	1.03379767229589	0.00784732817080105	4.23571965563012	2.27820872313423e-05	gender	-1.40287930535125	0.245887957197012	0.488549531145879	-2.87151909052259	0.0040850410722543	Interaction	0.523733533636291	1.68831929423104	0.155555125535614	3.36686773793502	0.000760271420221491	0.174456948560158
ENSG00000168000.13	-0.121123894935543	0.885924191272573	0.102843741712142	-1.17774687034011	0.238897535257875	age	0.0331778241487359	1.03373434582826	0.00775754542860328	4.27684561490341	1.89560165837071e-05	gender	-1.19381189147439	0.303063813064215	0.421639748149792	-2.83135519531302	0.00463512160747535	Interaction	0.701522506256843	2.01682099371714	0.199571436088658	3.51514485241866	0.000439514186582873	0.134101707497287
ENSG00000067048.15	0.000301789529080612	1.00030183507212	0.01109477745192	0.0272010439495914	0.978299383064037	age	0.0320101864860251	1.03252802308383	0.00777844912182113	4.11524019566136	3.86776430998751e-05	gender	0.0264005131376634	1.02675209383609	0.195124869873001	0.135300605990648	0.892374205973375	Interaction	6.94761882398367	1040.66876004928	1.98576910548727	3.49870425760242	0.000467524837294434	0.134101707497287
ENSG00000196865.4	-0.202594766777496	0.81660909151904	0.0946222748698211	-2.14108958018839	0.0322668148000063	age	0.0358712420522529	1.0365223774044	0.00809497065202963	4.43129982728956	9.36667408312324e-06	gender	-1.73507936183951	0.176386201397451	0.510286518075628	-3.40020615943916	0.000673350642153236	Interaction	0.698730326193319	2.01119752087468	0.178782049466971	3.90828010013615	9.29555004997688e-05	0.0528299369797799
ENSG00000122970.14	-0.0982113726206326	0.906457283251518	0.0797968295902583	-1.23076785286996	0.218409702114649	age	0.0342159360311976	1.03480803494427	0.00789241993387971	4.33529086361956	1.45567513689967e-05	gender	-0.85094228272778	0.427012375931333	0.335336012527557	-2.53758096636833	0.0111621544960622	Interaction	0.479742321280003	1.61565802785722	0.138633099545731	3.46051789112419	0.000539137406574159	0.134678790441905
ENSG00000130363.10	0.0518478686746064	1.05321550325453	0.0877997400636358	0.590524170538864	0.554839286090436	age	0.0363893417520321	1.03705953847642	0.00793262719868478	4.58730012650354	4.49014961542843e-06	gender	-1.28906510828412	0.275528251798416	0.492300651376797	-2.61845095000188	0.00883299893651494	Interaction	0.590960057627328	1.80572117987946	0.180832894294969	3.26798981972479	0.00108314261576117	0.19621983597105
ENSG00000205423.10	-0.162047573506815	0.850400747032154	0.092243498120712	-1.75673707966664	0.078962634208627	age	0.0357618986940838	1.03640904676292	0.00800124750593553	4.46954036449374	7.83878655920531e-06	gender	-1.92574097189354	0.145767707056324	0.563762958956704	-3.41586998808383	0.000635785940311679	Interaction	0.661689381197512	1.93806369870549	0.170840378093413	3.87314397557532	0.000107440313439413	0.0528299369797799
ENSG00000056998.17	-0.0600518008729913	0.941715750622768	0.0426026243560445	-1.40957985055376	0.158663780129218	age	0.0319975091473593	1.03251493345937	0.00777318196681483	4.11639780002098	3.84839858687931e-05	gender	-0.263095947439237	0.76866814203305	0.201634688062971	-1.30481491040407	0.191955880695093	Interaction	0.196593581182911	1.21724922717094	0.0588796732766927	3.33890407745744	0.000841096027248365	0.180940782861805
ENSG00000230982.1	-0.333512604385675	0.716402868765	0.131409527695867	-2.53796364870555	0.0111499565232331	age	0.0377749216040806	1.03849746322805	0.008137924850158	4.64183711445151	3.45325045068046e-06	gender	-0.821479208493907	0.439780645869125	0.310166227722529	-2.64851274919845	0.0080846799764492	Interaction	0.761176731282496	2.14079387802877	0.213285609432409	3.56881429229156	0.000358600490223189	0.134101707497287
ENSG00000105245.8	0.00502926527766835	1.00504193326026	0.0121307314067766	0.414588791806803	0.678442954544985	age	0.0334898423373589	1.03405694007138	0.00782419551427153	4.2802921113452	1.86648166166106e-05	gender	-0.640992774351695	0.526769201412593	0.285477097724833	-2.24533869602927	0.0247463976698052	Interaction	0.125438222600003	1.13364513314839	0.0355135537831045	3.53212250641276	0.000412238331489278	0.134101707497287
