gene frequency 
ENSG00000175931.11 5
ENSG00000168813.15 5
ENSG00000165671.17 5
ENSG00000067248.8 5
ENSG00000039123.14 5
ENSG00000269858.4 4
ENSG00000231025.1 4
ENSG00000198081.9 4
ENSG00000196865.4 4
ENSG00000196670.12 4
ENSG00000181751.8 4
ENSG00000178691.9 4
ENSG00000177302.13 4
ENSG00000177034.13 4
ENSG00000168538.14 4
ENSG00000167384.9 4
ENSG00000166881.8 4
ENSG00000165733.7 4
ENSG00000165118.13 4
ENSG00000163781.11 4
ENSG00000151612.14 4
ENSG00000151503.11 4
ENSG00000148153.12 4
ENSG00000147457.12 4
ENSG00000146872.16 4
ENSG00000146083.10 4
ENSG00000142961.13 4
ENSG00000141219.14 4
ENSG00000140848.15 4
ENSG00000138375.11 4
ENSG00000135775.12 4
ENSG00000132436.10 4
ENSG00000131023.11 4
ENSG00000130772.12 4
ENSG00000128908.14 4
ENSG00000125875.12 4
ENSG00000124177.13 4
ENSG00000120800.4 4
ENSG00000120733.12 4
ENSG00000119402.15 4
ENSG00000115355.14 4
ENSG00000114982.16 4
ENSG00000113649.10 4
ENSG00000112983.16 4
ENSG00000112855.13 4
ENSG00000112365.4 4
ENSG00000111605.15 4
ENSG00000111011.16 4
ENSG00000109689.13 4
ENSG00000106692.12 4
ENSG00000100503.22 4
ENSG00000100354.19 4
ENSG00000100335.11 4
ENSG00000100104.11 4
ENSG00000094880.9 4
ENSG00000092098.15 4
ENSG00000084093.14 4
ENSG00000083896.11 4
ENSG00000083312.16 4
ENSG00000072786.11 4
ENSG00000048028.10 4
ENSG00000031003.9 4
ENSG00000012983.10 4
ENSG00000010072.14 4
ENSG00000008256.14 4
ENSG00000280120.1 3
ENSG00000279059.1 3
ENSG00000276291.3 3
ENSG00000272686.1 3
ENSG00000270696.1 3
ENSG00000266028.6 3
ENSG00000263753.5 3
ENSG00000263001.4 3
ENSG00000256053.6 3
ENSG00000253797.2 3
ENSG00000248593.3 3
ENSG00000247556.5 3
ENSG00000247516.4 3
ENSG00000230733.2 3
ENSG00000229180.5 3
ENSG00000225791.5 3
ENSG00000223960.5 3
ENSG00000217128.10 3
ENSG00000215305.8 3
ENSG00000215114.6 3
ENSG00000215012.7 3
ENSG00000213463.4 3
ENSG00000205808.5 3
ENSG00000205659.9 3
ENSG00000205423.10 3
ENSG00000198924.6 3
ENSG00000198863.6 3
ENSG00000198862.12 3
ENSG00000198824.5 3
ENSG00000198690.8 3
ENSG00000198624.11 3
ENSG00000198420.8 3
ENSG00000198315.9 3
ENSG00000198301.10 3
ENSG00000198265.10 3
ENSG00000198185.10 3
ENSG00000198055.9 3
ENSG00000198001.12 3
ENSG00000197323.9 3
ENSG00000197217.11 3
ENSG00000197045.11 3
ENSG00000196998.14 3
ENSG00000196323.10 3
ENSG00000196214.9 3
ENSG00000196116.7 3
ENSG00000189298.12 3
ENSG00000188938.14 3
ENSG00000188811.11 3
ENSG00000188529.13 3
ENSG00000188026.10 3
ENSG00000186812.11 3
ENSG00000186687.14 3
ENSG00000186575.16 3
ENSG00000186566.10 3
ENSG00000186448.13 3
ENSG00000186130.4 3
ENSG00000185963.12 3
ENSG00000185252.16 3
ENSG00000184922.12 3
ENSG00000184708.16 3
ENSG00000184677.15 3
ENSG00000184178.14 3
ENSG00000183665.5 3
ENSG00000183530.12 3
ENSG00000183354.10 3
ENSG00000182606.13 3
ENSG00000182247.8 3
ENSG00000180626.9 3
ENSG00000178996.11 3
ENSG00000178966.14 3
ENSG00000177888.7 3
ENSG00000177463.14 3
ENSG00000177200.14 3
ENSG00000176953.9 3
ENSG00000176834.12 3
ENSG00000176055.9 3
ENSG00000175505.10 3
ENSG00000175387.14 3
ENSG00000175087.8 3
ENSG00000174796.11 3
ENSG00000174197.15 3
ENSG00000173542.7 3
ENSG00000173436.12 3
ENSG00000173011.11 3
ENSG00000172869.13 3
ENSG00000171723.14 3
ENSG00000171681.11 3
ENSG00000171634.15 3
ENSG00000171262.10 3
ENSG00000171169.8 3
ENSG00000170791.16 3
ENSG00000170653.17 3
ENSG00000170471.13 3
ENSG00000170234.11 3
ENSG00000170191.4 3
ENSG00000170113.14 3
ENSG00000168795.4 3
ENSG00000168259.13 3
ENSG00000168246.5 3
ENSG00000167548.13 3
ENSG00000167528.11 3
ENSG00000167395.10 3
ENSG00000166860.2 3
ENSG00000166821.7 3
ENSG00000166479.8 3
ENSG00000165934.11 3
ENSG00000165417.10 3
ENSG00000165392.8 3
ENSG00000165244.6 3
ENSG00000165219.20 3
ENSG00000165152.7 3
ENSG00000164609.8 3
ENSG00000164576.10 3
ENSG00000164466.11 3
ENSG00000164465.17 3
ENSG00000164284.13 3
ENSG00000163866.8 3
ENSG00000163743.12 3
ENSG00000163608.13 3
ENSG00000163170.10 3
ENSG00000163125.14 3
ENSG00000163104.16 3
ENSG00000163029.14 3
ENSG00000162664.15 3
ENSG00000162601.8 3
ENSG00000162402.11 3
ENSG00000161021.10 3
ENSG00000159055.3 3
ENSG00000158711.12 3
ENSG00000158169.10 3
ENSG00000157823.15 3
ENSG00000157657.13 3
ENSG00000157540.18 3
ENSG00000157426.12 3
ENSG00000157191.18 3
ENSG00000156853.10 3
ENSG00000156531.15 3
ENSG00000154930.13 3
ENSG00000154429.9 3
ENSG00000154001.12 3
ENSG00000153944.9 3
ENSG00000152942.17 3
ENSG00000150977.10 3
ENSG00000150893.10 3
ENSG00000149503.11 3
ENSG00000149474.12 3
ENSG00000148297.14 3
ENSG00000148218.14 3
ENSG00000148090.10 3
ENSG00000147548.15 3
ENSG00000146950.11 3
ENSG00000146918.18 3
ENSG00000146247.13 3
ENSG00000146063.17 3
ENSG00000145907.13 3
ENSG00000145882.9 3
ENSG00000145833.14 3
ENSG00000145734.17 3
ENSG00000145439.10 3
ENSG00000145348.15 3
ENSG00000143624.12 3
ENSG00000143476.16 3
ENSG00000143376.11 3
ENSG00000141447.15 3
ENSG00000141027.19 3
ENSG00000140153.16 3
ENSG00000139998.13 3
ENSG00000139842.13 3
ENSG00000139697.10 3
ENSG00000139675.11 3
ENSG00000139668.8 3
ENSG00000139651.10 3
ENSG00000139624.11 3
ENSG00000139531.11 3
ENSG00000138794.8 3
ENSG00000138231.11 3
ENSG00000138175.8 3
ENSG00000138162.16 3
ENSG00000137770.12 3
ENSG00000137574.9 3
ENSG00000137413.14 3
ENSG00000137073.19 3
