gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	p_adjusted_new
ENSG00000167578.15	0.350914507975463	1.42036589076582	0.0568505630237768	6.1725775315312	6.71855628493088e-10	age	0.0296061648868881	1.03004878467998	0.00636135266264112	4.65406753201387	3.2545013344588e-06	gender	-0.112589292742546	0.893517558912967	0.161261418563296	-0.698178732058927	0.485065425307693	6.75658584880785e-09
ENSG00000060642.9	-0.427181738787815	0.652344985067277	0.0877552746265518	-4.86787535684566	1.1280443689825e-06	age	0.0245482960296255	1.0248520861987	0.00651522853855429	3.76783345117663	0.000164670501934342	gender	0.0922736251810865	1.09666485615036	0.163330525060176	0.564950275810905	0.572107585849604	3.06446304111964e-06
ENSG00000153561.11	-0.484369190779308	0.616085706758118	0.0875566917441368	-5.53206363934763	3.16485029192133e-08	age	0.0264787653063549	1.02683244255783	0.00639900473915297	4.13795056977248	3.5042183806996e-05	gender	0.0942175155365979	1.09879872571976	0.16221161875718	0.580830869320374	0.561354447905007	1.66357515344583e-07
ENSG00000057294.12	-0.316697246966244	0.728551292853943	0.097673813794448	-3.24239665334175	0.00118528928154337	age	0.0285022109252688	1.02891228568018	0.00641120533918105	4.44568679637855	8.76115146971667e-06	gender	-0.112146812848717	0.893913009950684	0.160305525045602	-0.699581706973693	0.484188569972131	0.00129198798465529
ENSG00000109618.10	-0.340606459297051	0.711338793898577	0.091275636551909	-3.73162513200712	0.000190248467247199	age	0.0281958149346759	1.02859707937262	0.00650651807496888	4.3334721597328	1.4677584946892e-05	gender	-0.0431718590996079	0.957746778423439	0.160525955559845	-0.268940053644553	0.78797581371824	0.000242821918205836
ENSG00000152942.17	-0.464501347389343	0.628448404506958	0.088480698208014	-5.24974776190534	1.52307619821449e-07	age	0.0318439453399267	1.03235638870863	0.00642801932868367	4.95392806269731	7.27301039141111e-07	gender	-0.021471076446369	0.978757786213072	0.160708648156162	-0.133602495526597	0.893716910738214	6.06726168645981e-07
ENSG00000169992.8	0.344058306162936	1.41066088333319	0.0568719445318407	6.04970181686525	1.45114172634077e-09	age	0.0312963384840229	1.03179121803223	0.00653835754630745	4.78657495592261	1.69651596340338e-06	gender	-0.0330100859056824	0.967528801135587	0.159988258855067	-0.206328177717004	0.836534569402965	1.263821144019e-08
ENSG00000111641.9	0.382203246815793	1.4655099150892	0.0509991294479939	7.49430923532809	6.66484235537729e-14	age	0.0274386440464882	1.02781855038538	0.00656713358259389	4.17817662780821	2.93855418699697e-05	gender	-0.143014309671326	0.866741666018384	0.161248223223702	-0.886920220342023	0.375121854410722	3.62485813817969e-12
ENSG00000127329.13	-0.704523951348047	0.494343849973736	0.107818456471302	-6.53435389826387	6.38847227916621e-11	age	0.0255654567021752	1.02589505577986	0.0064835906623423	3.94310159811034	8.04345599402602e-05	gender	0.053524197890551	1.05498251981028	0.160748335269985	0.332968909448762	0.739157751987828	1.00148697788106e-09
ENSG00000257815.4	0.3021641342343	1.3527832465308	0.0573867152896046	5.26540215290969	1.39882807565608e-07	age	0.0264364804803923	1.02678902404468	0.00657714002029964	4.01944924371368	5.8334346750224e-05	gender	-0.0541822639836381	0.947259439487808	0.160833092760686	-0.336885046812221	0.736203558030307	5.70884658747849e-07
ENSG00000166126.9	-0.304552919516128	0.737453001545967	0.0975674712222407	-3.12145959817297	0.00179956938894487	age	0.0285732128284019	1.0289853430042	0.00646471778819831	4.41987009557692	9.87602502400014e-06	gender	0.0165063946972211	1.01664337789185	0.16206809640545	0.10184851345404	0.918876917662746	0.00192191023589393
ENSG00000133624.12	0.332984157267354	1.39512519569924	0.0689131945386356	4.83193616979502	1.35211609295504e-06	age	0.0280007921529747	1.02839649906845	0.00647912733077417	4.32169190748547	1.54837295805587e-05	gender	-0.150667626371147	0.860133536858978	0.161730342137696	-0.931597771819895	0.351544435080565	3.56066145032133e-06
ENSG00000237424.1	0.402521504037561	1.49559108612604	0.0534734062579462	7.52750819904512	5.17177619973785e-14	age	0.030123757340805	1.03058206815794	0.00651491819448336	4.6238120635671	3.76751240139771e-06	gender	-0.101179402583061	0.903770879510652	0.161237441086708	-0.627518037380971	0.530319716431171	2.93250714304284e-12
ENSG00000143224.16	0.325621226691214	1.38489070987916	0.0692812773359743	4.69998878791074	2.60175774969518e-06	age	0.0276893501238928	1.02807626304614	0.0063758767486273	4.34283020446626	1.40658844620837e-05	gender	-0.136621067344897	0.87230070673606	0.161700574834914	-0.844901556375902	0.398165805426198	6.10897304223582e-06
ENSG00000178075.18	-0.4044769752036	0.667325747512484	0.113771150829265	-3.55518048517058	0.00037771971331706	age	0.0258353150086985	1.02617193944028	0.00657372654410853	3.93008666170522	8.49152506904342e-05	gender	0.0807680833723482	1.08411944208467	0.164874761204124	0.489875362259678	0.624222098276519	0.000450794015221659
ENSG00000165312.6	-0.396494449726482	0.67267401021562	0.14482755053549	-2.7377004462236	0.00618704030244116	age	0.0279878844896491	1.02838322495834	0.00649077878638532	4.31194551697785	1.61824314338997e-05	gender	-0.0291581005767102	0.971262895103369	0.160572632808614	-0.181588232482079	0.855905884429518	0.00638022736931277
ENSG00000255774.1	-0.583331098110335	0.558036393104433	0.122871823188059	-4.74747654079756	2.05970270937547e-06	age	0.026946334694263	1.02731267023562	0.00648985245786564	4.15207200305521	3.2947855632659e-05	gender	0.0609965663027683	1.0628952645204	0.162444215791142	0.375492386759974	0.70729430742543	4.99463850817619e-06
