gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new
ENSG00000167578.15	0.345217333157679	1.41229682524468	0.117128556375249	2.94733704436425	0.00320523637481249	age	0.0543565143518131	1.05586096464919	0.00733602301643224	7.40953432535011	1.26743669137975e-13	gender	-0.0838580112696725	0.919561814240474	0.185740899041734	-0.451478439602204	0.651644760822714	Interaction	-0.416354343143973	0.659446558712856	0.184401141523949	-2.25787291609526	0.0239535836053557	0.0893068217259813
ENSG00000070087.12	-0.61810823791516	0.538963063680786	0.136700584447279	-4.52162103340198	6.13678543816724e-06	age	0.0534756665209103	1.05493132130602	0.00750134987102194	7.12880580700406	1.01243452168628e-12	gender	0.0454550932657435	1.04650400848133	0.190385358061212	0.23875309387568	0.81129704406845	Interaction	0.434598567337788	1.5443429847849	0.185739904354033	2.33982336132473	0.0192928621872022	0.0861333234442706
ENSG00000121644.17	1.63420233459463	5.12536803726118	0.347503070693045	4.70269897568227	2.56744810719482e-06	age	0.05238048692228	1.05377661446607	0.00725417318172323	7.22073840947881	5.17060331051327e-13	gender	-0.0322000313592457	0.96831286976606	0.186740106357061	-0.172432328477295	0.863097658349855	Interaction	-1.54438179766468	0.213443781889397	0.35378516208905	-4.36530969401128	1.26942778615501e-05	0.00295609653884479
ENSG00000138495.5	0.150082189147442	1.1619297368184	0.131328055846671	1.14280370770635	0.253120099058154	age	0.0581402858199801	1.05986366912555	0.00763395105622103	7.61601500871566	2.61627280224126e-14	gender	-0.0467582665820324	0.954318060276347	0.184230644364633	-0.253802871630235	0.79964785483361	Interaction	-0.448040851054791	0.63887858463476	0.203300086842059	-2.20383993934477	0.0275356026597784	0.0927259675923775
ENSG00000231982.1	-0.860946780909367	0.422761630136796	0.239128469700045	-3.60035248830602	0.000317786077358002	age	0.0554529210427822	1.05701925253683	0.00721004521624501	7.69106425544195	1.45916124484359e-14	gender	0.21893826761198	1.24475443265205	0.209219927785294	1.0464503545602	0.295353154618313	Interaction	0.641760950290756	1.89982343002986	0.272117434110933	2.35839703688053	0.0183540506122988	0.085337368927052
ENSG00000105053.9	0.490367121925695	1.63291558904343	0.0893391285437145	5.48882813073058	4.0460907250379e-08	age	0.0556492602429979	1.05722680722638	0.00722068446883106	7.70692314325802	1.28887366686091e-14	gender	-0.0215826342866928	0.97864860419841	0.18752399169295	-0.115092656101476	0.90837168080488	Interaction	-0.297132905686184	0.742945264149857	0.141454761179178	-2.10055075707075	0.0356804205818681	0.0981211566001373
ENSG00000255153.1	-0.145893893382087	0.864249400900652	0.14652739494158	-0.995676565738814	0.319407319827054	age	0.0586993356759234	1.06045635141113	0.00736349889552366	7.9716635404953	1.56552545299715e-15	gender	-0.273156338162862	0.760973809081435	0.216060827057102	-1.26425665347782	0.206137922315845	Interaction	-0.672463980027461	0.510449290137919	0.27628716117658	-2.43393133855278	0.014935827991713	0.0823116773090396
ENSG00000188186.9	0.22147170895646	1.24791194299024	0.151715737015393	1.45978072751932	0.14435034690953	age	0.0549849796862929	1.0565247452232	0.00737479299929242	7.45579973452387	8.93243371666889e-14	gender	-0.165348661790869	0.847598127481711	0.198032701626824	-0.83495635030246	0.403742285374365	Interaction	-0.773019684641442	0.461617023728074	0.299274327913453	-2.58298027108089	0.00979509240733746	0.0734197636528951
ENSG00000128973.10	0.249281570257044	1.28310326592761	0.100198851316372	2.48786854322262	0.0128511225135878	age	0.0561273805946807	1.05773240973906	0.00768858916960888	7.300088398082	2.87578725668969e-13	gender	-0.046466934400313	0.95459612434144	0.184317535734457	-0.252102623958998	0.800961741831386	Interaction	-0.460731554879291	0.63082199575749	0.182866311269717	-2.51949936366212	0.0117521852797792	0.0776826921467513
ENSG00000104998.3	0.34130566208236	1.4067831754263	0.113596843516702	3.00453473456046	0.00265987385884246	age	0.0519715011583556	1.05334572295265	0.00775598014325119	6.70082957904143	2.07239621960121e-11	gender	-0.0380734228079643	0.962642258398701	0.186099976384735	-0.204585855127961	0.837895707625214	Interaction	-0.322065110240822	0.724651006592296	0.142783617497188	-2.25561668688751	0.0240946472505079	0.0893068217259813
