gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new	gene_ensembl	gene_name
ENSG00000168000.13	-0.11098743124508001	0.8949499972655229	0.0942370844195312	-1.1777468703401102	0.238897535257875	age	0.0331778241487359	1.03373434582826	0.00775754542860328	4.27684561490341	1.89560165837071e-05	gender	0.165624840081293	1.1801302810838799	0.166335437282139	0.9957279265774208	0.31938235736563697	Interaction	0.642814375904042	1.90182580718429	0.18286995355589397	3.51514485241867	0.00043951418658285497	0.0787623509172392	ENSG00000168000	BSCL2
ENSG00000067048.15	0.0027021490588404803	1.00270580315417	0.0993399026834412	0.027201043949592003	0.978299383064036	age	0.0320101864860251	1.03252802308383	0.007778449121821121	4.11524019566136	3.8677643099874e-05	gender	47.6151540527711	4.77527800361464e+20	13.5713638626646	3.5085017640535403	0.00045063824581776697	Interaction	62.20726651319671	1.0381798154562001e+27	17.7800871215925	3.49870425762148	0.00046752483726101603	0.0787623509172392	ENSG00000067048	DDX3Y
ENSG00000196865.4	-0.247325489736383	0.7808864816268879	0.115513844924985	-2.14108958018839	0.0322668148000066	age	0.0358712420522529	1.0365223774044	0.00809497065202963	4.43129982728956	9.366674083123289e-06	gender	0.16987333645116198	1.18515472590935	0.166312024192252	1.0214134382418	0.307058601216531	Interaction	0.853002389292817	2.34668193833252	0.21825518321041099	3.90828010013615	9.29555004997711e-05	0.0387859531516303	ENSG00000196865	NHLRC2
ENSG00000122970.14	-0.114441535074194	0.89186407966114	0.0929838513472169	-1.23076785286996	0.218409702114649	age	0.0342159360311976	1.0348080349442699	0.00789241993387971	4.335290863619569	1.4556751368996698e-05	gender	0.11539465356838301	1.12231627630555	0.16670228245566002	0.692219997642058	0.488799182126669	Interaction	0.559023321050769	1.74896349003109	0.161543254113668	3.46051789112418	0.0005391374065741731	0.0814277993002321	ENSG00000122970	IFT81
ENSG00000205423.10	-0.16086144548984901	0.8514100296347131	0.0915683099945581	-1.75673707966664	0.0789626342086274	age	0.0357618986940838	1.0364090467629201	0.008001247505935529	4.46954036449374	7.83878655920531e-06	gender	0.0466175160737416	1.04772119591561	0.170991154657102	0.272631155495886	0.785136760230499	Interaction	0.656846060828176	1.92869972997153	0.16958989001451	3.87314397557531	0.00010744031343941899	0.0387859531516303	ENSG00000205423	CNEP1R1
ENSG00000230982.1	-0.284610236627717	0.7523074190598791	0.11214117931629101	-2.5379636487055497	0.0111499565232331	age	0.0377749216040806	1.03849746322805	0.008137924850158	4.641837114451509	3.4532504506804496e-06	gender	0.106026300797859	1.1118511186935	0.166528470915982	0.6366857283602391	0.524329571529589	Interaction	0.6495667232873199	1.9147110495555402	0.182011914906962	3.56881429229156	0.00035860049022319	0.0787623509172392	ENSG00000230982	
ENSG00000105245.8	0.034672090651055004	1.03528017508634	0.0836300723421676	0.414588791806806	0.6784429545449829	age	0.0334898423373589	1.03405694007138	0.007824195514271529	4.2802921113452	1.8664816616610602e-05	gender	0.056353640013322	1.0579717587356199	0.17017281619638097	0.331155358845853	0.740527138006403	Interaction	0.864779482682382	2.37448241374723	0.24483281118147301	3.5321225064127497	0.00041223833148929504	0.0787623509172392	ENSG00000105245	NUMBL
ENSG00000151553.13	-0.270476145935575	0.7630161008143629	0.10230638420258802	-2.6437856057934304	0.00819845668932764	age	0.0338986424380299	1.03447974906888	0.00794629570615172	4.26596790398661	1.9903739519191502e-05	gender	0.0338323392195811	1.03441116200589	0.17545948220485597	0.192821378442691	0.847098860095356	Interaction	0.659205868173303	1.9332564641536698	0.169739783455396	3.88362618800281	0.000102910084138988	0.0387859531516303	ENSG00000151553	FAM160B1
ENSG00000140543.12	-0.23056118982984	0.7940878434155749	0.10399264193883302	-2.21709137811358	0.0266168478566818	age	0.0325995323090341	1.0331367185098101	0.00778839263676452	4.1856559921170895	2.8434371277687105e-05	gender	0.0879506369929602	1.09193421954125	0.168739504731923	0.5212213768950421	0.602212564173119	Interaction	0.552654080107445	1.73785932026712	0.139971534275984	3.9483319445350293	7.86976326507562e-05	0.0387859531516303	ENSG00000140543	DET1
ENSG00000134258.15	0.0384464390899703	1.03919506663388	0.0894230725399432	0.429938694768033	0.667240236871965	age	0.0318585613817329	1.0323714777830402	0.00774723562303184	4.1122489274781096	3.91823487669062e-05	gender	0.10532375172271802	1.1110702630452	0.168417036952505	0.6253746867213941	0.5317251717802179	Interaction	0.48293455502006605	1.6208238267581498	0.137709522639559	3.50690748005931	0.00045334674315962307	0.0787623509172392	ENSG00000134258	VTCN1
