ENSG00000146083.10	RNF44
ENSG00000134108.11	ARL8B
ENSG00000102174.8	PHEX
ENSG00000153561.11	RMND5A
ENSG00000088179.7	PTPN4
ENSG00000022567.8	SLC45A4
ENSG00000184178.14	SCFD2
ENSG00000166913.11	YWHAB
ENSG00000036448.8	MYOM2
ENSG00000149089.11	APIP
ENSG00000138193.13	PLCE1
ENSG00000152942.17	RAD17
ENSG00000136169.15	SETDB2
ENSG00000138495.5	COX17
ENSG00000106069.19	CHN2
ENSG00000259956.1	RBM15B
ENSG00000109805.8	NCAPG
ENSG00000163975.10	MELTF
ENSG00000183696.12	UPP1
ENSG00000117139.15	KDM5B
ENSG00000089902.9	RCOR1
ENSG00000188186.9	LAMTOR4
ENSG00000165312.6	OTUD1
ENSG00000114062.16	UBE3A
ENSG00000119772.15	DNMT3A
ENSG00000070444.13	MNT
ENSG00000149925.15	ALDOA
ENSG00000144959.8	NCEH1
ENSG00000112200.15	ZNF451
ENSG00000108590.9	MED31
ENSG00000101236.15	RNF24
ENSG00000113360.15	DROSHA
ENSG00000170325.13	PRDM10
ENSG00000173846.11	PLK3
ENSG00000270015.1	
ENSG00000066777.7	ARFGEF1
ENSG00000196338.11	NLGN3
ENSG00000272335.1	
ENSG00000100122.5	CRYBB1
ENSG00000143157.10	POGK
ENSG00000173473.9	SMARCC1
ENSG00000085999.10	RAD54L
ENSG00000113732.7	ATP6V0E1
ENSG00000135912.9	TTLL4
ENSG00000164104.10	HMGB2
ENSG00000256073.3	
ENSG00000281490.1	
ENSG00000198105.10	ZNF248
ENSG00000095794.18	CREM
ENSG00000124486.11	USP9X
ENSG00000003147.16	ICA1
ENSG00000134987.10	WDR36
ENSG00000132953.15	XPO4
ENSG00000113361.11	CDH6
ENSG00000197782.13	ZNF780A
ENSG00000157500.9	APPL1
ENSG00000151461.18	UPF2
ENSG00000125686.10	MED1
ENSG00000198301.10	SDAD1
ENSG00000249115.7	HAUS5
ENSG00000104870.11	FCGRT
ENSG00000162601.8	MYSM1
ENSG00000140521.10	POLG
ENSG00000279207.1	
ENSG00000155926.12	SLA
