gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new	gene_ensembl	gene_name
ENSG00000146083.10	-0.147010106223405	0.8632852528186059	0.0820790745321438	-1.7910789937797498	0.0732806195574204	age	0.0190108358464315	1.0191926923730699	0.00645298941690574	2.94605098787646	0.00321859339620418	gender	0.22813216700993103	1.2562513494452299	0.152399735163357	1.4969328310537902	0.134410736448714	Interaction	0.449726281414379	1.5678829680420199	0.19696706935253602	2.28325619552905	0.0224152816744575	0.0578204224195985	ENSG00000146083	RNF44
ENSG00000198242.12	0.18109953527464398	1.19853446981392	0.0763662759853575	2.37145956036101	0.0177179854734353	age	0.0183475371229155	1.0185168873163	0.00652567380346639	2.8115927451307003	0.00492968763887049	gender	0.16116250056240303	1.17487587129241	0.153371194663365	1.05080032085646	0.29335030840905296	Interaction	-0.330003461668935	0.7189212447602791	0.180100311209228	-1.83233143492773	0.0669020564559258	0.0856020489433418	ENSG00000198242	RPL23A
ENSG00000153561.11	-0.0868121377049109	0.916849320873001	0.0869540828564029	-0.998367584973251	0.31810114595456607	age	0.0194980586977885	1.01968938733347	0.00649050850632916	3.00408799692276	0.00266378268379417	gender	0.21572675374817601	1.24076329875579	0.15073614925265302	1.43115473506352	0.152385873155627	Interaction	0.340200379325395	1.40522914122153	0.163665764397378	2.0786288481163	0.0376514773438702	0.0672500111741831	ENSG00000153561	RMND5A
ENSG00000227766.1	-0.11065206730547099	0.895250181555039	0.10036310515789398	-1.10251737559725	0.27023680876479605	age	0.0192108071484558	1.0193965220421402	0.0064944418168169	2.95803822565794	0.0030960372820254397	gender	0.16594578291939402	1.18050909623137	0.153125232371453	1.0837259173383	0.27848634072536	Interaction	0.308154593700148	1.3609113609985	0.149277999599526	2.0643001281290303	0.0389892688855059	0.067699039436974	ENSG00000227766	
ENSG00000088179.7	-0.0791558583783409	0.9238959163036701	0.0976836640071276	-0.8103285148329941	0.41775139097483704	age	0.0192325976116482	1.01941873540655	0.00647085909945421	2.97218612181966	0.00295687374866629	gender	0.190298736337673	1.20961089841753	0.15100874041308898	1.26018358816255	0.207603141881485	Interaction	0.3504296578705481	1.4196773931372197	0.173613755133572	2.01844408930007	0.0435450315435373	0.0704921728253853	ENSG00000088179	PTPN4
ENSG00000275479.1	0.0755491785280961	1.07847626428917	0.0796117354799391	0.9489703756945892	0.34263567923493604	age	0.0182614978037594	1.01842925858658	0.0064710021736911205	2.8220509456795297	0.0047717596305062605	gender	0.132093932051592	1.14121551094704	0.15751993803591502	0.8385854749477741	0.40170196431529	Interaction	-0.42115478759985797	0.656288508223689	0.22160491611393898	-1.90047583323161	0.0573707034829279	0.0794879986678283	ENSG00000275479	
ENSG00000022567.8	-0.15729559618763	0.8544514488934509	0.0915342770168553	-1.71843380768349	0.0857175182472038	age	0.0185417032875165	1.01871466803443	0.00650659324271102	2.8496791786220497	0.00437633478738365	gender	0.274069631209203	1.3153063854242502	0.156401862871557	1.75234249885041	0.0797149324266914	Interaction	0.460585709341567	1.58500206369088	0.193235391917038	2.3835473655846204	0.017146677738679	0.0549202138577352	ENSG00000022567	SLC45A4
ENSG00000111863.11	0.0829760195156097	1.08651575306177	0.0675170473989031	1.2289639833533001	0.219085310094644	age	0.0201254040102757	1.02032928538835	0.00649976764512735	3.0963266856720604	0.00195934364655408	gender	0.22990376642422103	1.25847889617774	0.150753601500719	1.52503001013295	0.127251612603152	Interaction	0.450335742188195	1.5688388224572802	0.220381341800238	2.0434386074134903	0.0410090389259636	0.0689348636016846	ENSG00000111863	ADTRP
ENSG00000109618.10	-0.216010424440612	0.8057269025774549	0.0871265243034906	-2.47927282957112	0.0131650562163809	age	0.0179517039586103	1.01811380433596	0.00651468757507628	2.755574039696	0.00585892425220416	gender	0.20959351252639002	1.23317668718668	0.15311081610817098	1.36890075994575	0.171030298186469	Interaction	0.332813616438468	1.39488729017884	0.18151768014835504	1.83350523302445	0.0667274710629533	0.085584159287485	ENSG00000109618	SEPSECS
ENSG00000152942.17	-0.173634358347607	0.840604201382689	0.0864871258371304	-2.00763242698791	0.04468236607500099	age	0.0192516359197649	1.01943814359929	0.00647958679977202	2.9711209240135896	0.00296714924929035	gender	0.23502527046457197	1.26494073396901	0.150750989987962	1.5590296984672498	0.118989351189757	Interaction	0.5090362294316889	1.66368700946208	0.159683668672637	3.18777889851247	0.0014337011938386599	0.0426194605676779	ENSG00000152942	RAD17
ENSG00000136169.15	-0.154535725677706	0.8568128813744499	0.08269654824214	-1.8687082951179201	0.0616634093172181	age	0.019112567281118	1.01929638158203	0.0064712422793531295	2.9534618634350496	0.0031423143211340198	gender	0.221210102235257	1.24758552353711	0.151536951927672	1.45977663811557	0.14435147117614403	Interaction	0.385894326687827	1.4709292246384902	0.16645196300489098	2.31835251276963	0.02043017063269	0.0569592571418496	ENSG00000136169	SETDB2
ENSG00000121644.17	-0.0875348737670277	0.916186920204538	0.0841820178122874	-1.0398286479924599	0.298419516871628	age	0.0198842204841837	1.02008322844716	0.00654966506126458	3.03591409609342	0.0023980767670679897	gender	0.22394137296458602	1.2509976749933998	0.151160137997685	1.48148431147909	0.13847756248017098	Interaction	0.36835880201251703	1.44536054422003	0.155803296671657	2.3642555060231096	0.0180663478358577	0.0558393385156881	ENSG00000121644	DESI2
