ENSG00000146083.10	RNF44
ENSG00000198242.12	RPL23A
ENSG00000153561.11	RMND5A
ENSG00000227766.1	
ENSG00000088179.7	PTPN4
ENSG00000275479.1	
ENSG00000022567.8	SLC45A4
ENSG00000111863.11	ADTRP
ENSG00000109618.10	SEPSECS
ENSG00000152942.17	RAD17
ENSG00000136169.15	SETDB2
ENSG00000121644.17	DESI2
ENSG00000159479.15	MED8
ENSG00000129455.14	KLK8
ENSG00000183696.12	UPP1
ENSG00000168300.12	PCMTD1
ENSG00000221539.1	
ENSG00000079819.15	EPB41L2
ENSG00000197927.11	
ENSG00000114062.16	UBE3A
ENSG00000131845.13	ZNF304
ENSG00000172345.12	STARD5
ENSG00000149923.12	PPP4C
ENSG00000144959.8	NCEH1
ENSG00000139613.10	SMARCC2
ENSG00000173276.12	ZBTB21
ENSG00000170325.13	PRDM10
ENSG00000187325.4	TAF9B
ENSG00000168303.6	MPLKIP
ENSG00000111785.17	RIC8B
ENSG00000113441.14	LNPEP
ENSG00000174197.15	MGA
ENSG00000175643.8	RMI2
ENSG00000066777.7	ARFGEF1
ENSG00000184979.9	USP18
ENSG00000111684.9	LPCAT3
ENSG00000211459.2	
ENSG00000111530.11	CAND1
ENSG00000142875.18	PRKACB
ENSG00000276291.3	
ENSG00000085999.10	RAD54L
ENSG00000184014.6	DENND5A
ENSG00000113732.7	ATP6V0E1
ENSG00000151632.15	AKR1C2
ENSG00000147509.12	RGS20
ENSG00000165029.14	ABCA1
ENSG00000196290.13	NIF3L1
ENSG00000163221.8	S100A12
ENSG00000015532.8	XYLT2
ENSG00000164105.3	SAP30
ENSG00000136861.16	CDK5RAP2
ENSG00000134987.10	WDR36
ENSG00000121060.13	TRIM25
ENSG00000172197.10	MBOAT1
ENSG00000204580.10	DDR1
ENSG00000066336.10	SPI1
ENSG00000186951.15	PPARA
ENSG00000121064.11	SCPEP1
ENSG00000163069.11	SGCB
ENSG00000273366.1	
ENSG00000198301.10	SDAD1
ENSG00000179195.14	ZNF664
ENSG00000256594.6	
ENSG00000144749.12	LRIG1
ENSG00000113657.11	DPYSL3
ENSG00000079134.10	THOC1
ENSG00000185630.17	PBX1
ENSG00000153107.10	ANAPC1
ENSG00000155254.11	MARVELD1
ENSG00000143162.7	CREG1
ENSG00000136485.13	DCAF7
ENSG00000172795.14	DCP2
ENSG00000138172.9	CALHM2
ENSG00000055332.15	EIF2AK2
ENSG00000180776.14	ZDHHC20
ENSG00000103222.17	ABCC1
ENSG00000103199.12	ZNF500
ENSG00000151304.5	SRFBP1
ENSG00000140836.13	ZFHX3
ENSG00000123643.11	SLC36A1
ENSG00000112799.7	LY86
ENSG00000229391.6	
ENSG00000187134.11	AKR1C1
ENSG00000169188.4	APEX2
ENSG00000157600.10	TMEM164
ENSG00000164938.12	TP53INP1
ENSG00000101144.11	BMP7
ENSG00000130749.8	ZC3H4
ENSG00000114978.16	MOB1A
ENSG00000100354.19	TNRC6B
ENSG00000211666.2	IGLV2-14
ENSG00000163950.11	SLBP
ENSG00000106692.12	FKTN
ENSG00000155729.11	KCTD18
ENSG00000153048.9	CARHSP1
ENSG00000136104.17	RNASEH2B
ENSG00000138617.13	PARP16
ENSG00000118482.10	PHF3
ENSG00000131165.13	CHMP1A
ENSG00000079387.12	SENP1
ENSG00000119669.4	IRF2BPL
ENSG00000166881.8	NEMP1
ENSG00000108468.13	CBX1
ENSG00000110931.17	CAMKK2
ENSG00000040933.14	INPP4A
ENSG00000180628.13	PCGF5
ENSG00000269640.4	
ENSG00000177034.13	MTX3
ENSG00000146950.11	SHROOM2
ENSG00000205133.10	TRIQK
ENSG00000096717.10	SIRT1
ENSG00000101577.8	LPIN2
ENSG00000117461.13	PIK3R3
ENSG00000140943.15	MBTPS1
ENSG00000070366.12	SMG6
ENSG00000055130.14	CUL1
ENSG00000066739.10	ATG2B
ENSG00000188846.12	RPL14
ENSG00000198315.9	ZKSCAN8
ENSG00000260804.3	
ENSG00000091972.17	CD200
ENSG00000152104.10	PTPN14
ENSG00000196810.4	
ENSG00000081803.14	CADPS2
ENSG00000007080.9	CCDC124
ENSG00000137094.13	DNAJB5
ENSG00000239697.9	TNFSF12
ENSG00000198863.6	RUNDC1
ENSG00000163349.20	HIPK1
ENSG00000215012.7	RTL10
ENSG00000136271.9	DDX56
ENSG00000185962.1	LCE3A
ENSG00000144713.11	RPL32
ENSG00000111875.7	ASF1A
ENSG00000001084.9	GCLC
ENSG00000012983.10	MAP4K5
ENSG00000162627.15	SNX7
ENSG00000083312.16	TNPO1
ENSG00000154764.5	WNT7A
ENSG00000049167.12	ERCC8
ENSG00000158477.6	CD1A
ENSG00000174004.5	NRROS
ENSG00000100916.12	BRMS1L
ENSG00000115839.16	RAB3GAP1
ENSG00000025800.12	KPNA6
ENSG00000071967.10	CYBRD1
ENSG00000143924.17	EML4
ENSG00000071242.10	RPS6KA2
ENSG00000153147.5	SMARCA5
ENSG00000109436.7	TBC1D9
ENSG00000117155.15	SSX2IP
ENSG00000187535.12	IFT140
ENSG00000073282.11	TP63
ENSG00000036672.14	USP2
ENSG00000186532.10	SMYD4
ENSG00000113558.17	SKP1
ENSG00000173852.12	DPY19L1
ENSG00000163848.17	ZNF148
ENSG00000167447.11	SMG8
ENSG00000106278.10	PTPRZ1
ENSG00000167074.13	TEF
ENSG00000213465.6	ARL2
ENSG00000100425.17	BRD1
ENSG00000031081.9	ARHGAP31
ENSG00000135506.14	OS9
ENSG00000170647.3	
ENSG00000156990.13	RPUSD3
ENSG00000100104.11	SRRD
ENSG00000114698.13	PLSCR4
ENSG00000143344.14	RGL1
ENSG00000175970.8	UNC119B
ENSG00000253729.6	PRKDC
ENSG00000181449.3	SOX2
ENSG00000157303.9	SUSD3
ENSG00000241973.9	PI4KA
ENSG00000265688.1	
ENSG00000160218.11	TRAPPC10
ENSG00000137574.9	TGS1
ENSG00000132386.9	SERPINF1
ENSG00000171681.11	ATF7IP
ENSG00000182700.4	IGIP
ENSG00000122203.13	KIAA1191
ENSG00000005007.11	UPF1
ENSG00000086475.13	SEPHS1
ENSG00000139324.10	TMTC3
ENSG00000136840.17	ST6GALNAC4
ENSG00000153944.9	MSI2
ENSG00000115760.12	BIRC6
ENSG00000131747.13	TOP2A
ENSG00000145354.8	CISD2
ENSG00000171262.10	FAM98B
ENSG00000158457.5	TSPAN33
ENSG00000154429.9	CCSAP
ENSG00000144580.12	CNOT9
ENSG00000147526.18	TACC1
ENSG00000126858.15	RHOT1
ENSG00000174437.15	ATP2A2
ENSG00000119906.10	SLF2
ENSG00000029725.15	RABEP1
ENSG00000198121.12	LPAR1
ENSG00000197093.9	GAL3ST4
ENSG00000136492.7	BRIP1
ENSG00000163626.15	COX18
ENSG00000110713.14	NUP98
ENSG00000163964.12	PIGX
ENSG00000117479.11	SLC19A2
ENSG00000104824.15	HNRNPL
ENSG00000120805.12	ARL1
ENSG00000126226.20	PCID2
ENSG00000227507.2	LTB
ENSG00000172869.13	DMXL1
ENSG00000147689.15	FAM83A
ENSG00000244509.3	APOBEC3C
ENSG00000184378.2	ACTRT3
ENSG00000105011.7	ASF1B
ENSG00000154813.8	DPH3
ENSG00000165406.14	MARCHF8
ENSG00000102974.13	CTCF
ENSG00000051128.17	HOMER3
ENSG00000198001.12	IRAK4
ENSG00000148358.18	GPR107
ENSG00000113048.15	MRPS27
ENSG00000051341.12	POLQ
ENSG00000184708.16	EIF4ENIF1
ENSG00000125817.7	CENPB
ENSG00000156650.11	KAT6B
ENSG00000088833.16	NSFL1C
ENSG00000235568.5	NFAM1
ENSG00000137880.5	GCHFR
ENSG00000137078.7	SIT1
ENSG00000227640.2	
ENSG00000231025.1	
ENSG00000196865.4	NHLRC2
ENSG00000078177.12	N4BP2
ENSG00000188938.14	FAM120AOS
ENSG00000178764.7	ZHX2
ENSG00000095564.12	BTAF1
ENSG00000125730.15	C3
ENSG00000189308.9	LIN54
ENSG00000196678.12	ERI2
ENSG00000131469.11	RPL27
ENSG00000108582.10	CPD
ENSG00000091527.14	CDV3
ENSG00000123636.16	BAZ2B
ENSG00000130338.11	TULP4
ENSG00000198836.7	OPA1
ENSG00000167526.12	RPL13
ENSG00000183049.11	CAMK1D
ENSG00000167522.13	ANKRD11
ENSG00000082497.10	SERTAD4
ENSG00000102081.12	FMR1
ENSG00000140563.13	MCTP2
ENSG00000094804.8	CDC6
ENSG00000072210.17	ALDH3A2
ENSG00000082516.8	GEMIN5
ENSG00000100697.13	DICER1
ENSG00000166340.13	TPP1
ENSG00000163207.6	IVL
ENSG00000196998.14	WDR45
ENSG00000166987.13	MBD6
ENSG00000114439.17	BBX
ENSG00000139218.16	SCAF11
ENSG00000108588.12	CCDC47
ENSG00000111445.12	RFC5
ENSG00000117724.11	CENPF
ENSG00000137221.13	TJAP1
ENSG00000154727.9	GABPA
ENSG00000120837.6	NFYB
ENSG00000129245.10	FXR2
ENSG00000128915.10	ICE2
ENSG00000214944.8	ARHGEF28
ENSG00000280798.1	
ENSG00000164209.15	SLC25A46
ENSG00000149503.11	INCENP
ENSG00000175040.5	CHST2
ENSG00000140632.15	GLYR1
ENSG00000173230.14	GOLGB1
ENSG00000132205.9	EMILIN2
ENSG00000144867.10	SRPRB
ENSG00000134744.12	TUT4
ENSG00000113648.15	MACROH2A1
ENSG00000211976.2	IGHV3-73
ENSG00000173064.9	HECTD4
ENSG00000173193.12	PARP14
ENSG00000152601.16	MBNL1
ENSG00000079931.13	MOXD1
ENSG00000163320.9	CGGBP1
ENSG00000197568.12	HHLA3
ENSG00000161955.15	TNFSF13
ENSG00000113593.10	PPWD1
ENSG00000107771.14	CCSER2
ENSG00000120705.11	ETF1
ENSG00000161021.10	MAML1
ENSG00000184584.11	STING1
ENSG00000167186.9	COQ7
ENSG00000155508.12	CNOT8
ENSG00000197771.11	MCMBP
ENSG00000197601.11	FAR1
ENSG00000063176.14	SPHK2
ENSG00000156504.15	FAM122B
ENSG00000079277.18	MKNK1
ENSG00000127804.11	METTL16
ENSG00000160886.12	LY6K
ENSG00000108344.13	PSMD3
ENSG00000178172.5	SPINK6
ENSG00000176208.7	ATAD5
ENSG00000175354.17	PTPN2
ENSG00000043355.9	ZIC2
ENSG00000173542.7	MOB1B
ENSG00000175606.9	TMEM70
ENSG00000081760.15	AACS
ENSG00000197121.13	PGAP1
ENSG00000131351.13	HAUS8
ENSG00000166503.7	HDGFL3
ENSG00000138032.19	PPM1B
ENSG00000133739.14	LRRCC1
ENSG00000084093.14	REST
ENSG00000106771.11	TMEM245
ENSG00000275023.3	MLLT6
ENSG00000100554.10	ATP6V1D
ENSG00000142188.15	TMEM50B
ENSG00000177853.13	ZNF518A
ENSG00000005469.10	CROT
ENSG00000108448.19	TRIM16L
ENSG00000146963.16	LUC7L2
ENSG00000101574.13	METTL4
ENSG00000139645.9	ANKRD52
ENSG00000232388.4	SMIM26
ENSG00000110917.6	MLEC
ENSG00000144401.13	METTL21A
ENSG00000114423.17	CBLB
ENSG00000108262.14	GIT1
ENSG00000125998.7	FAM83C
ENSG00000168310.9	IRF2
ENSG00000108557.16	RAI1
ENSG00000168827.13	GFM1
ENSG00000137601.14	NEK1
ENSG00000182093.13	GET1
ENSG00000106799.11	TGFBR1
ENSG00000168234.11	TTC39C
ENSG00000110367.10	DDX6
ENSG00000100393.9	EP300
ENSG00000165490.11	DDIAS
ENSG00000170293.7	CMTM8
ENSG00000080986.11	NDC80
ENSG00000058262.8	SEC61A1
ENSG00000234041.1	
ENSG00000119630.12	PGF
ENSG00000165272.13	AQP3
ENSG00000166908.16	PIP4K2C
ENSG00000132383.10	RPA1
ENSG00000234745.8	HLA-B
ENSG00000100099.19	HPS4
ENSG00000242372.5	EIF6
ENSG00000104522.14	TSTA3
ENSG00000053254.14	FOXN3
ENSG00000171105.12	INSR
ENSG00000177337.6	
ENSG00000123374.9	CDK2
ENSG00000182504.9	CEP97
ENSG00000181938.12	GINS3
ENSG00000138346.13	DNA2
ENSG00000182774.9	RPS17
ENSG00000166557.11	TMED3
ENSG00000198961.8	PJA2
ENSG00000168883.18	USP39
ENSG00000198951.10	NAGA
ENSG00000138175.8	ARL3
ENSG00000111707.10	SUDS3
ENSG00000145779.7	TNFAIP8
ENSG00000116668.11	SWT1
ENSG00000181192.10	DHTKD1
ENSG00000128789.19	PSMG2
ENSG00000123352.16	SPATS2
ENSG00000155755.17	TMEM237
ENSG00000129194.6	SOX15
ENSG00000136875.11	PRPF4
ENSG00000039123.14	MTREX
ENSG00000164463.11	CREBRF
ENSG00000171858.16	RPS21
ENSG00000167191.10	GPRC5B
ENSG00000131370.14	SH3BP5
ENSG00000152749.7	GPR180
ENSG00000101335.8	MYL9
ENSG00000169896.15	ITGAM
ENSG00000151233.9	GXYLT1
ENSG00000137673.7	MMP7
ENSG00000023228.12	NDUFS1
ENSG00000179104.7	TMTC2
ENSG00000013306.14	SLC25A39
ENSG00000100227.16	POLDIP3
ENSG00000143556.7	S100A7
ENSG00000078246.14	TULP3
ENSG00000119397.15	CNTRL
ENSG00000137818.10	RPLP1
ENSG00000183734.4	ASCL2
ENSG00000172296.11	SPTLC3
ENSG00000166272.15	WBP1L
ENSG00000164466.11	SFXN1
ENSG00000079432.6	CIC
ENSG00000174007.7	CEP19
ENSG00000168385.16	SEPTIN2
ENSG00000198690.8	FAN1
ENSG00000185591.8	SP1
ENSG00000075856.10	SART3
ENSG00000101972.17	STAG2
ENSG00000140199.10	SLC12A6
ENSG00000110321.14	EIF4G2
ENSG00000205302.5	SNX2
ENSG00000165806.18	CASP7
ENSG00000111224.12	PARP11
ENSG00000178295.13	GEN1
ENSG00000186847.5	KRT14
ENSG00000164305.16	CASP3
ENSG00000168066.19	SF1
ENSG00000138801.7	PAPSS1
ENSG00000164307.11	ERAP1
ENSG00000165813.15	CCDC186
ENSG00000164292.11	RHOBTB3
ENSG00000100100.11	PIK3IP1
ENSG00000135821.15	GLUL
ENSG00000004399.11	PLXND1
ENSG00000135392.14	DNAJC14
ENSG00000071243.14	ING3
ENSG00000100461.16	RBM23
ENSG00000226742.3	HSBP1L1
ENSG00000135127.10	BICDL1
ENSG00000182518.12	FAM104B
ENSG00000159322.16	ADPGK
ENSG00000182534.12	MXRA7
ENSG00000138279.14	ANXA7
ENSG00000157538.12	VPS26C
ENSG00000069424.13	KCNAB2
ENSG00000004975.10	DVL2
ENSG00000196517.10	SLC6A9
ENSG00000139832.4	RAB20
ENSG00000075218.17	GTSE1
ENSG00000213186.6	TRIM59
ENSG00000150977.10	RILPL2
ENSG00000059377.14	TBXAS1
ENSG00000131508.14	UBE2D2
ENSG00000118058.19	KMT2A
ENSG00000104331.7	IMPAD1
ENSG00000108055.9	SMC3
ENSG00000276234.3	TADA2A
ENSG00000129493.13	HEATR5A
ENSG00000124813.19	RUNX2
ENSG00000137502.8	RAB30
ENSG00000142686.7	C1orf216
ENSG00000164338.8	UTP15
ENSG00000133393.11	FOPNL
ENSG00000151914.16	DST
ENSG00000128607.12	KLHDC10
ENSG00000148218.14	ALAD
ENSG00000084652.14	TXLNA
ENSG00000135503.11	ACVR1B
ENSG00000204866.7	IGFL2
ENSG00000214357.7	NEURL1B
ENSG00000163701.17	IL17RE
ENSG00000130766.4	SESN2
ENSG00000278730.1	
ENSG00000147862.13	NFIB
ENSG00000064651.12	SLC12A2
ENSG00000121104.6	FAM117A
ENSG00000079246.14	XRCC5
ENSG00000137267.5	TUBB2A
ENSG00000171634.15	BPTF
ENSG00000107796.11	ACTA2
ENSG00000179562.2	GCC1
ENSG00000139323.12	POC1B
ENSG00000171720.8	HDAC3
ENSG00000172057.8	ORMDL3
ENSG00000132718.8	SYT11
ENSG00000226137.5	
ENSG00000174106.2	LEMD3
ENSG00000164597.12	COG5
ENSG00000217128.10	FNIP1
ENSG00000205659.9	LIN52
ENSG00000228716.5	DHFR
ENSG00000135018.12	UBQLN1
ENSG00000104427.10	ZC2HC1A
ENSG00000168488.17	ATXN2L
ENSG00000011523.12	CEP68
ENSG00000101773.15	RBBP8
ENSG00000161544.8	CYGB
ENSG00000163599.13	CTLA4
ENSG00000173889.14	PHC3
ENSG00000072786.11	STK10
ENSG00000108349.13	CASC3
ENSG00000129071.8	MBD4
ENSG00000137814.8	HAUS2
ENSG00000075568.15	TMEM131
ENSG00000196584.2	XRCC2
ENSG00000177485.6	ZBTB33
ENSG00000198909.6	MAP3K3
ENSG00000138439.11	FAM117B
ENSG00000165240.16	ATP7A
ENSG00000131507.10	NDFIP1
ENSG00000122126.14	OCRL
ENSG00000130921.6	C12orf65
ENSG00000148730.6	
ENSG00000117054.12	ACADM
ENSG00000097033.13	SH3GLB1
ENSG00000153914.14	SREK1
ENSG00000214367.6	HAUS3
ENSG00000257093.5	DENND11
ENSG00000146859.6	TMEM140
ENSG00000135829.15	DHX9
ENSG00000074603.17	DPP8
ENSG00000185862.6	EVI2B
ENSG00000198856.11	OSTC
ENSG00000122863.5	CHST3
ENSG00000099331.12	MYO9B
ENSG00000103415.10	HMOX2
ENSG00000166348.16	USP54
ENSG00000152683.13	SLC30A6
ENSG00000112078.12	KCTD20
ENSG00000134369.14	NAV1
ENSG00000114331.11	ACAP2
ENSG00000139668.8	WDFY2
ENSG00000165152.7	TMEM246
ENSG00000163251.3	FZD5
ENSG00000100324.12	TAB1
ENSG00000058804.11	NDC1
ENSG00000107719.8	PALD1
ENSG00000197712.10	FAM114A1
ENSG00000120868.12	APAF1
ENSG00000150455.12	TIRAP
ENSG00000189266.10	PNRC2
ENSG00000100852.11	ARHGAP5
ENSG00000133606.9	MKRN1
ENSG00000134759.12	ELP2
ENSG00000145375.7	SPATA5
ENSG00000125449.5	ARMC7
ENSG00000179163.11	FUCA1
ENSG00000146918.18	NCAPG2
ENSG00000169429.9	CXCL8
ENSG00000184436.10	THAP7
ENSG00000138246.14	DNAJC13
ENSG00000167904.13	TMEM68
ENSG00000005882.10	PDK2
ENSG00000123066.6	MED13L
ENSG00000035928.13	RFC1
ENSG00000139687.12	RB1
ENSG00000144228.7	SPOPL
ENSG00000168807.15	SNTB2
ENSG00000178229.7	ZNF543
ENSG00000182199.9	SHMT2
ENSG00000006327.12	TNFRSF12A
ENSG00000151332.17	MBIP
ENSG00000010292.11	NCAPD2
ENSG00000138750.13	NUP54
ENSG00000151849.13	CENPJ
ENSG00000166887.14	VPS39
ENSG00000054611.12	TBC1D22A
ENSG00000143842.13	SOX13
ENSG00000164609.8	SLU7
ENSG00000133056.12	PIK3C2B
ENSG00000141219.14	C17orf80
ENSG00000077721.14	UBE2A
ENSG00000141699.9	RETREG3
ENSG00000136270.12	TBRG4
ENSG00000127452.7	FBXL12
ENSG00000074590.12	NUAK1
ENSG00000135966.11	TGFBRAP1
ENSG00000124766.5	SOX4
ENSG00000060749.13	QSER1
ENSG00000012963.12	UBR7
ENSG00000138757.13	G3BP2
ENSG00000112851.13	ERBIN
ENSG00000086200.15	IPO11
ENSG00000103365.14	GGA2
ENSG00000092098.15	RNF31
