ENSG00000078237.5	TIGAR
ENSG00000167700.7	MFSD3
ENSG00000060642.9	PIGV
ENSG00000088179.7	PTPN4
ENSG00000022567.8	SLC45A4
ENSG00000184178.14	SCFD2
ENSG00000166913.11	YWHAB
ENSG00000138495.5	COX17
ENSG00000112511.16	PHF1
ENSG00000174013.7	FBXO45
ENSG00000203780.9	FANK1
ENSG00000143183.15	TMCO1
ENSG00000183696.12	UPP1
ENSG00000278126.1	
ENSG00000178075.18	GRAMD1C
ENSG00000110395.4	CBL
ENSG00000079819.15	EPB41L2
ENSG00000197927.11	
ENSG00000251359.4	
ENSG00000146535.12	GNA12
ENSG00000064102.13	INTS13
ENSG00000224650.2	IGHV3-74
ENSG00000204519.9	ZNF551
ENSG00000181381.12	DDX60L
ENSG00000135905.17	DOCK10
ENSG00000174197.15	MGA
ENSG00000184979.9	USP18
ENSG00000184014.6	DENND5A
ENSG00000102921.6	N4BP1
ENSG00000136874.9	STX17
ENSG00000159082.16	SYNJ1
ENSG00000136861.16	CDK5RAP2
ENSG00000131849.10	ZNF132
ENSG00000197782.13	ZNF780A
ENSG00000121064.11	SCPEP1
ENSG00000197498.11	RPF2
ENSG00000142856.15	ITGB3BP
ENSG00000198113.2	TOR4A
ENSG00000125686.10	MED1
ENSG00000244462.6	RBM12
ENSG00000172809.11	RPL38
ENSG00000171467.14	ZNF318
ENSG00000106615.8	RHEB
ENSG00000004700.14	RECQL
ENSG00000137726.14	FXYD6
ENSG00000163297.15	ANTXR2
ENSG00000173436.12	MICOS10
ENSG00000092140.13	G2E3
ENSG00000118849.8	RARRES1
ENSG00000243649.7	CFB
ENSG00000153107.10	ANAPC1
ENSG00000165282.12	PIGO
ENSG00000170906.14	NDUFA3
ENSG00000134986.12	NREP
ENSG00000163682.14	RPL9
ENSG00000136485.13	DCAF7
ENSG00000155366.15	RHOC
ENSG00000101290.12	CDS2
ENSG00000055332.15	EIF2AK2
ENSG00000165632.7	TAF3
ENSG00000150787.6	PTS
ENSG00000165410.13	CFL2
ENSG00000148337.18	CIZ1
ENSG00000186132.13	C2orf76
ENSG00000172331.10	BPGM
ENSG00000186350.9	RXRA
ENSG00000130714.14	POMT1
ENSG00000168743.11	NPNT
ENSG00000164938.12	TP53INP1
ENSG00000106692.12	FKTN
ENSG00000172432.17	GTPBP2
ENSG00000150893.10	FREM2
ENSG00000101544.7	ADNP2
ENSG00000162733.15	DDR2
ENSG00000151651.14	ADAM8
ENSG00000134240.10	HMGCS2
ENSG00000058272.14	PPP1R12A
ENSG00000079387.12	SENP1
ENSG00000119669.4	IRF2BPL
ENSG00000166881.8	NEMP1
ENSG00000126003.6	PLAGL2
ENSG00000137834.13	SMAD6
ENSG00000025039.13	RRAGD
ENSG00000171812.9	COL8A2
ENSG00000132182.10	NUP210
ENSG00000185201.15	IFITM2
ENSG00000196371.3	FUT4
ENSG00000101577.8	LPIN2
ENSG00000139641.11	ESYT1
ENSG00000105967.14	TFEC
ENSG00000070366.12	SMG6
ENSG00000068903.18	SIRT2
ENSG00000136827.11	TOR1A
ENSG00000090971.4	NAT14
ENSG00000066739.10	ATG2B
ENSG00000211673.2	IGLV3-1
ENSG00000211662.2	IGLV3-21
ENSG00000110344.8	UBE4A
ENSG00000183943.5	PRKX
ENSG00000143294.13	PRCC
ENSG00000185774.13	KCNIP4
ENSG00000163875.14	MEAF6
ENSG00000128739.19	SNRPN
ENSG00000099849.13	RASSF7
ENSG00000184083.10	FAM120C
ENSG00000140575.11	IQGAP1
ENSG00000106333.11	PCOLCE
ENSG00000102984.13	ZNF821
ENSG00000126814.6	TRMT5
ENSG00000169129.13	AFAP1L2
ENSG00000083312.16	TNPO1
ENSG00000174851.13	YIF1A
ENSG00000234284.5	ZNF879
ENSG00000260552.1	
ENSG00000174004.5	NRROS
ENSG00000198677.9	TTC37
ENSG00000162086.13	ZNF75A
ENSG00000183807.7	FAM162B
ENSG00000129003.14	VPS13C
ENSG00000058063.14	ATP11B
ENSG00000119328.10	ABITRAM
ENSG00000153147.5	SMARCA5
ENSG00000196367.11	TRRAP
ENSG00000167447.11	SMG8
ENSG00000232838.3	PET117
ENSG00000136811.15	ODF2
ENSG00000133315.9	MACROD1
ENSG00000167323.8	STIM1
ENSG00000228952.1	
ENSG00000113555.5	PCDH12
ENSG00000140968.9	IRF8
ENSG00000253729.6	PRKDC
ENSG00000115548.15	KDM3A
ENSG00000133027.16	PEMT
ENSG00000013523.8	ANGEL1
ENSG00000217648.1	
ENSG00000106682.13	EIF4H
ENSG00000251991.1	
ENSG00000137574.9	TGS1
ENSG00000180891.11	CUEDC1
ENSG00000156172.5	C8orf37
ENSG00000169976.6	SF3B5
ENSG00000005007.11	UPF1
ENSG00000214578.5	
ENSG00000172113.7	NME6
ENSG00000139324.10	TMTC3
ENSG00000136840.17	ST6GALNAC4
ENSG00000132676.14	DAP3
ENSG00000164944.10	VIRMA
ENSG00000115760.12	BIRC6
ENSG00000150456.9	EEF1AKMT1
ENSG00000134248.12	LAMTOR5
ENSG00000205765.7	C5orf51
ENSG00000110906.11	KCTD10
ENSG00000132670.19	PTPRA
ENSG00000012223.11	LTF
ENSG00000198000.10	NOL8
ENSG00000168118.10	RAB4A
ENSG00000233913.7	
ENSG00000121653.10	MAPK8IP1
ENSG00000116641.14	DOCK7
ENSG00000188760.9	TMEM198
ENSG00000157823.15	AP3S2
ENSG00000145882.9	PCYOX1L
ENSG00000107223.11	EDF1
ENSG00000127914.15	AKAP9
ENSG00000089195.13	TRMT6
ENSG00000151445.14	VIPAS39
ENSG00000196639.6	HRH1
ENSG00000148358.18	GPR107
ENSG00000107201.8	DDX58
ENSG00000125817.7	CENPB
ENSG00000179044.14	EXOC3L1
ENSG00000269858.4	EGLN2
ENSG00000241837.5	ATP5PO
ENSG00000164308.15	ERAP2
ENSG00000047457.12	CP
ENSG00000096968.11	JAK2
ENSG00000231025.1	
ENSG00000226976.3	
ENSG00000198876.11	DCAF12
ENSG00000243056.1	EIF4EBP3
ENSG00000085491.14	SLC25A24
ENSG00000165983.13	PTER
ENSG00000033327.11	GAB2
ENSG00000205060.9	SLC35B4
ENSG00000088256.7	GNA11
ENSG00000204843.11	DCTN1
ENSG00000091527.14	CDV3
ENSG00000126351.11	THRA
ENSG00000152766.5	ANKRD22
ENSG00000198836.7	OPA1
ENSG00000141428.15	C18orf21
ENSG00000140044.11	JDP2
ENSG00000170471.13	RALGAPB
ENSG00000139437.16	TCHP
ENSG00000047644.16	WWC3
ENSG00000151532.12	
ENSG00000166529.13	ZSCAN21
ENSG00000082516.8	GEMIN5
ENSG00000138688.14	KIAA1109
ENSG00000139719.8	VPS33A
ENSG00000099999.13	RNF215
ENSG00000153140.7	CETN3
ENSG00000115318.10	LOXL3
ENSG00000166340.13	TPP1
ENSG00000196998.14	WDR45
ENSG00000114439.17	BBX
ENSG00000236540.6	
ENSG00000135940.5	COX5B
ENSG00000163539.14	CLASP2
ENSG00000146676.6	PURB
ENSG00000124762.12	CDKN1A
ENSG00000110717.9	NDUFS8
ENSG00000100316.14	RPL3
ENSG00000178718.6	RPP25
ENSG00000232888.4	
ENSG00000107164.15	FUBP3
ENSG00000149503.11	INCENP
ENSG00000211598.2	IGKV4-1
ENSG00000111796.3	KLRB1
ENSG00000082929.7	
ENSG00000176731.10	RBIS
ENSG00000276529.1	
ENSG00000131043.10	AAR2
ENSG00000121769.6	FABP3
ENSG00000110921.10	MVK
ENSG00000168818.8	STX18
ENSG00000114354.11	TFG
ENSG00000101138.10	CSTF1
ENSG00000167258.12	CDK12
ENSG00000162482.4	AKR7A3
ENSG00000122687.16	MRM2
ENSG00000116128.8	BCL9
ENSG00000143320.7	CRABP2
ENSG00000161021.10	MAML1
ENSG00000136868.10	SLC31A1
ENSG00000153179.10	RASSF3
ENSG00000047648.20	ARHGAP6
ENSG00000089048.13	ESF1
ENSG00000166133.16	RPUSD2
ENSG00000269609.4	
ENSG00000165092.11	ALDH1A1
ENSG00000267045.1	
ENSG00000173432.9	SAA1
ENSG00000196756.10	
ENSG00000095539.14	SEMA4G
ENSG00000107099.14	DOCK8
ENSG00000211640.3	IGLV6-57
ENSG00000101811.12	CSTF2
ENSG00000176387.6	HSD11B2
ENSG00000184661.12	CDCA2
ENSG00000095319.13	NUP188
ENSG00000134901.11	POGLUT2
ENSG00000106771.11	TMEM245
ENSG00000101266.15	CSNK2A1
ENSG00000196152.9	ZNF79
ENSG00000154721.13	JAM2
ENSG00000185220.10	PGBD2
ENSG00000121879.3	PIK3CA
ENSG00000104517.11	UBR5
ENSG00000005469.10	CROT
ENSG00000112695.10	COX7A2
ENSG00000175104.13	TRAF6
ENSG00000197375.11	SLC22A5
ENSG00000124126.12	PREX1
ENSG00000134533.5	RERG
ENSG00000001629.8	ANKIB1
