gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new	gene_ensembl	gene_name
ENSG00000146083.10	0.48173701008772	1.6188839791573502	0.15616886789045098	3.08471859081189	0.00203744829199075	age	0.013376551715095	1.0134664180364201	0.013675168221579999	0.978163595383515	0.32799341849962604	gender	0.4782072154746971	1.6131797245548503	0.3754156913165779	1.27380721300602	0.20273174825310897	Interaction	-0.974707821080239	0.377302577319308	0.33819193571369605	-2.882114320743	0.00395016387679986	0.0417469814779341	ENSG00000146083	RNF44
ENSG00000273055.1	0.14134549265584198	1.1518225254723	0.155331183106401	0.9099621198341179	0.362842487221461	age	0.00140691987169441	1.00140791004777	0.0135576648754027	0.103773023203055	0.9173494752254591	gender	0.20340591137590602	1.22556984003627	0.467685282613428	0.43492048806683203	0.663620142637055	Interaction	-1.5215554547466998	0.218371954952453	0.700196136237193	-2.17304177501384	0.0297771732806561	0.0759593676511343	ENSG00000273055	
ENSG00000120662.14	0.0020229656650065397	1.00202501324054	0.18102566426553102	0.0111750213607239	0.9910838085673249	age	0.00345352911707172	1.00345949941965	0.0130193624796473	0.265261000488349	0.790808405743355	gender	0.031275103764323	1.0317693084675499	0.45848447124193	0.0682140960621979	0.9456152060740459	Interaction	-1.09551754936517	0.334366510984126	0.49319970337433006	-2.22124535329188	0.0263343479047276	0.0716683563730115	ENSG00000120662	MTRF1
ENSG00000013392.7	0.24685401319956699	1.27999223716663	0.163031374421828	1.5141503534212801	0.129987710095798	age	0.00119194140020616	1.00119265204468	0.013577609743758998	0.08778727793042099	0.930045749465061	gender	0.375000287919442	1.4549918335385799	0.376858816289091	0.995068369667055	0.319703013133088	Interaction	-0.973981779237934	0.3775766142467511	0.43578717250120796	-2.23499414553152	0.0254177330983763	0.0713441950486614	ENSG00000013392	RWDD2A
ENSG00000109618.10	-0.316790778647485	0.7284831534133	0.21445068351267102	-1.47721971997709	0.139616749368388	age	0.00720116219279865	1.0072271529116	0.0131740666672679	0.5466164985099521	0.584642231898797	gender	-0.6922863649324019	0.500430593117825	0.6411022526340401	-1.07983767345703	0.280214471659307	Interaction	-1.37006251806261	0.25409107377457296	0.549884542174745	-2.4915457936754	0.0127188570122301	0.0587562879793735	ENSG00000109618	SEPSECS
ENSG00000164114.17	0.14469104182718803	1.15568245756398	0.21206867161242998	0.68228390703376	0.49505944701112703	age	0.005520841860299871	1.0055361097920699	0.0136918834056277	0.403220046267021	0.686786353830055	gender	0.649304994307815	1.9142099797615901	0.33786606022325605	1.92178224080502	0.0546331638558097	Interaction	-0.832491937284891	0.43496403160184793	0.39492288081823296	-2.10798608467574	0.0350321931106872	0.0799813752843852	ENSG00000164114	MAP9
ENSG00000149089.11	0.23109255543774102	1.25997585166909	0.16450793379456102	1.4047502154293101	0.160095567833141	age	0.0043512822113115105	1.0043607627856501	0.0135619911130522	0.320843906697727	0.748328684202144	gender	0.5639842127097541	1.75766146543907	0.34125972244777697	1.65265390437648	0.0984013207585878	Interaction	-0.6803424395046022	0.506443536394484	0.33136587564565395	-2.0531457506871496	0.0400584439477025	0.0840359978886846	ENSG00000149089	APIP
ENSG00000152942.17	-0.0989861789835352	0.905755226394937	0.20503790235793698	-0.482770150519458	0.629258947297643	age	0.010870180012193	1.01092947507351	0.0133228649903637	0.8159040882013949	0.41455499375427	gender	0.339408042247784	1.40411616705398	0.39531581203447996	0.8585744154807059	0.390575358364302	Interaction	-0.9686513954945849	0.379594616077156	0.404981127856778	-2.3918432955649997	0.016763998193611	0.0628289674419576	ENSG00000152942	RAD17
ENSG00000142507.8	-0.7602158542412328	0.46756549012237697	0.256268656065464	-2.96648004446956	0.0030122990870284	age	0.0069585327261187605	1.00698279956952	0.0132681967289306	0.52445203129571	0.5999641752190921	gender	0.7008383827051661	2.01544171082957	0.357331185022493	1.9613132356781298	0.0498424942464065	Interaction	0.824222570743207	2.28010745386325	0.41114892780089796	2.00468130891574	0.0449971279625917	0.0879719889982417	ENSG00000142507	PSMB6
ENSG00000150773.9	-0.13977531332046303	0.869553590560076	0.21375497076280703	-0.653904387915095	0.513173406801062	age	0.0077878464864110705	1.00781825063923	0.0132241607307742	0.588910452992896	0.555921345271285	gender	-0.311138734683773	0.732612230092528	0.521663757755632	-0.596435405101542	0.550884394150704	Interaction	-1.3555812748052298	0.25779739975771	0.456887105263687	-2.9669939448671205	0.00300726881530588	0.036854534531171	ENSG00000150773	PIH1D2
