ENSG00000146083.10	RNF44
ENSG00000273055.1	
ENSG00000120662.14	MTRF1
ENSG00000013392.7	RWDD2A
ENSG00000109618.10	SEPSECS
ENSG00000164114.17	MAP9
ENSG00000149089.11	APIP
ENSG00000152942.17	RAD17
ENSG00000142507.8	PSMB6
ENSG00000150773.9	PIH1D2
ENSG00000251615.3	
ENSG00000272734.1	
ENSG00000255153.1	
ENSG00000175309.13	PHYKPL
ENSG00000119471.13	HSDL2
ENSG00000075914.11	EXOSC7
ENSG00000158483.14	FAM86C1
ENSG00000165195.12	PIGA
ENSG00000204308.7	RNF5
ENSG00000117682.15	DHDDS
ENSG00000272335.1	
ENSG00000276291.3	
ENSG00000260541.1	
ENSG00000023041.10	ZDHHC6
ENSG00000253549.4	
ENSG00000159202.16	UBE2Z
ENSG00000136861.16	CDK5RAP2
ENSG00000131849.10	ZNF132
ENSG00000134463.13	ECHDC3
ENSG00000015285.9	WAS
ENSG00000186951.15	PPARA
ENSG00000163069.11	SGCB
ENSG00000184898.6	RBM43
ENSG00000162601.8	MYSM1
ENSG00000254595.1	
ENSG00000155926.12	SLA
ENSG00000140104.12	CLBA1
ENSG00000280746.1	
ENSG00000278107.1	
ENSG00000154556.16	SORBS2
ENSG00000155275.17	TRMT44
ENSG00000119522.14	DENND1A
ENSG00000197586.11	ENTPD6
ENSG00000116688.15	MFN2
ENSG00000137507.10	LRRC32
ENSG00000206630.1	
ENSG00000180776.14	ZDHHC20
ENSG00000136819.13	C9orf78
ENSG00000204390.9	HSPA1L
ENSG00000280306.1	
ENSG00000235944.6	
ENSG00000132128.15	LRRC41
ENSG00000221988.11	PPT2
ENSG00000253716.4	
ENSG00000148337.18	CIZ1
ENSG00000167553.13	TUBA1C
ENSG00000229391.6	
ENSG00000130714.14	POMT1
ENSG00000072818.10	ACAP1
ENSG00000170043.10	TRAPPC1
ENSG00000144152.11	FBLN7
ENSG00000106692.12	FKTN
ENSG00000172432.17	GTPBP2
ENSG00000157399.13	ARSL
ENSG00000106477.17	CEP41
ENSG00000135835.9	KIAA1614
ENSG00000178988.10	MRFAP1L1
ENSG00000177692.10	DNAJC28
ENSG00000148343.17	MIGA2
ENSG00000197956.8	S100A6
ENSG00000148057.14	IDNK
ENSG00000119139.15	TJP2
ENSG00000177034.13	MTX3
ENSG00000146950.11	SHROOM2
ENSG00000205133.10	TRIQK
ENSG00000189298.12	ZKSCAN3
ENSG00000172171.9	TEFM
ENSG00000092850.10	TEKT2
ENSG00000189283.8	FHIT
ENSG00000227329.2	
ENSG00000103187.7	COTL1
ENSG00000125741.4	OPA3
ENSG00000158079.13	PTPDC1
ENSG00000256164.1	
ENSG00000125753.12	VASP
ENSG00000196810.4	
ENSG00000168000.13	BSCL2
ENSG00000215447.6	
ENSG00000185774.13	KCNIP4
ENSG00000136732.13	GYPC
ENSG00000198863.6	RUNDC1
ENSG00000140365.14	COMMD4
ENSG00000060762.17	MPC1
ENSG00000106333.11	PCOLCE
ENSG00000225342.2	
ENSG00000164975.14	SNAPC3
ENSG00000164172.17	MOCS2
ENSG00000198677.9	TTC37
ENSG00000119227.6	PIGZ
ENSG00000261652.2	C15orf65
ENSG00000240875.4	
ENSG00000090776.5	EFNB1
ENSG00000119328.10	ABITRAM
ENSG00000152778.8	IFIT5
ENSG00000071242.10	RPS6KA2
ENSG00000174514.11	MFSD4A
ENSG00000099622.12	CIRBP
ENSG00000213462.4	ERV3-1
ENSG00000109089.7	CDR2L
ENSG00000117010.14	ZNF684
ENSG00000163848.17	ZNF148
ENSG00000136811.15	ODF2
ENSG00000133315.9	MACROD1
ENSG00000100104.11	SRRD
ENSG00000175970.8	UNC119B
ENSG00000100218.10	RSPH14
ENSG00000124357.11	NAGK
ENSG00000182700.4	IGIP
ENSG00000156172.5	C8orf37
ENSG00000149292.15	TTC12
ENSG00000086475.13	SEPHS1
ENSG00000267595.1	
ENSG00000153944.9	MSI2
ENSG00000112667.11	DNPH1
ENSG00000105707.12	HPN
ENSG00000162645.11	GBP2
ENSG00000136828.17	RALGPS1
ENSG00000259943.1	
ENSG00000198000.10	NOL8
ENSG00000126858.15	RHOT1
ENSG00000141232.4	TOB1
ENSG00000243335.7	KCTD7
ENSG00000269194.1	
ENSG00000119242.7	CCDC92
ENSG00000157823.15	AP3S2
ENSG00000171097.12	KYAT1
ENSG00000198887.8	SMC5
ENSG00000101004.13	NINL
ENSG00000151552.10	QDPR
ENSG00000105499.12	PLA2G4C
ENSG00000004139.12	SARM1
ENSG00000084070.10	SMAP2
ENSG00000278978.1	
ENSG00000148358.18	GPR107
ENSG00000177042.13	TMEM80
ENSG00000226944.1	
ENSG00000061938.15	TNK2
ENSG00000196865.4	NHLRC2
ENSG00000254941.1	
ENSG00000279259.1	
ENSG00000188938.14	FAM120AOS
ENSG00000136936.9	XPA
ENSG00000163449.9	TMEM169
ENSG00000174796.11	THAP6
ENSG00000112874.8	NUDT12
ENSG00000073792.14	IGF2BP2
ENSG00000125633.9	CCDC93
ENSG00000130254.10	SAFB2
ENSG00000266338.5	NBPF15
ENSG00000163867.15	ZMYM6
ENSG00000116791.12	CRYZ
ENSG00000139437.16	TCHP
ENSG00000132570.13	PCBD2
ENSG00000149573.7	MPZL2
ENSG00000163071.9	SPATA18
ENSG00000130159.12	ECSIT
ENSG00000140563.13	MCTP2
ENSG00000157796.16	WDR19
ENSG00000072210.17	ALDH3A2
ENSG00000261188.1	
ENSG00000196998.14	WDR45
ENSG00000108588.12	CCDC47
ENSG00000096872.14	IFT74
ENSG00000236540.6	
ENSG00000180096.10	SEPTIN1
ENSG00000107262.15	BAG1
ENSG00000205269.5	TMEM170B
ENSG00000128915.10	ICE2
ENSG00000117143.12	UAP1
ENSG00000118640.9	VAMP8
ENSG00000162989.4	KCNJ3
ENSG00000274828.1	
ENSG00000109680.9	TBC1D19
ENSG00000277310.1	
ENSG00000141542.9	RAB40B
ENSG00000107164.15	FUBP3
ENSG00000111796.3	KLRB1
ENSG00000250222.1	
ENSG00000120915.12	EPHX2
ENSG00000124279.10	FASTKD3
ENSG00000168818.8	STX18
ENSG00000278035.1	
ENSG00000126603.7	GLIS2
ENSG00000151287.15	TEX30
ENSG00000176024.15	ZNF613
ENSG00000123472.11	ATPAF1
ENSG00000221990.4	
ENSG00000163811.10	WDR43
ENSG00000153179.10	RASSF3
ENSG00000099812.7	MISP
ENSG00000166135.12	HIF1AN
ENSG00000047648.20	ARHGAP6
ENSG00000234684.5	
ENSG00000197603.12	CPLANE1
ENSG00000065029.13	ZNF76
ENSG00000124406.15	ATP8A1
ENSG00000241388.4	
ENSG00000257151.1	
ENSG00000272323.1	
ENSG00000261879.4	
ENSG00000152583.11	SPARCL1
ENSG00000226580.1	
ENSG00000269609.4	
ENSG00000165113.11	GKAP1
