ENSG00000167578.15	RAB4B
ENSG00000070087.12	PFN2
ENSG00000121644.17	DESI2
ENSG00000138495.5	COX17
ENSG00000231982.1	
ENSG00000105053.9	VRK3
ENSG00000255153.1	
ENSG00000188186.9	LAMTOR4
ENSG00000128973.10	CLN6
ENSG00000104998.3	IL27RA
ENSG00000079819.15	EPB41L2
ENSG00000197927.11	
ENSG00000266392.1	
ENSG00000166896.6	ATP23
ENSG00000228929.1	
ENSG00000132300.17	PTCD3
ENSG00000149923.12	PPP4C
ENSG00000139613.10	SMARCC2
ENSG00000228502.1	
ENSG00000168172.7	HOOK3
ENSG00000232573.1	
ENSG00000166140.16	ZFYVE19
ENSG00000157500.9	APPL1
ENSG00000150593.14	PDCD4
ENSG00000170419.9	VSTM2A
ENSG00000155926.12	SLA
ENSG00000160949.15	TONSL
ENSG00000004700.14	RECQL
ENSG00000152082.12	MZT2B
ENSG00000278107.1	
ENSG00000260081.1	
ENSG00000221916.3	C19orf73
ENSG00000106853.15	PTGR1
ENSG00000185565.10	LSAMP
ENSG00000105258.7	POLR2I
ENSG00000138172.9	CALHM2
ENSG00000173818.15	ENDOV
ENSG00000167705.10	RILP
ENSG00000140931.18	CMTM3
ENSG00000167555.12	ZNF528
ENSG00000150787.6	PTS
ENSG00000118503.13	TNFAIP3
ENSG00000143369.13	ECM1
ENSG00000114978.16	MOB1A
ENSG00000170043.10	TRAPPC1
ENSG00000181350.10	LRRC75A
ENSG00000129911.7	KLF16
ENSG00000197180.2	
ENSG00000118482.10	PHF3
ENSG00000131165.13	CHMP1A
ENSG00000058272.14	PPP1R12A
ENSG00000116977.17	LGALS8
ENSG00000176165.9	FOXG1
ENSG00000141756.17	FKBP10
ENSG00000143891.15	GALM
ENSG00000139514.11	SLC7A1
ENSG00000149571.9	KIRREL3
ENSG00000189298.12	ZKSCAN3
ENSG00000072135.11	PTPN18
ENSG00000120327.6	PCDHB14
ENSG00000168273.6	SMIM4
ENSG00000103187.7	COTL1
ENSG00000125741.4	OPA3
ENSG00000158079.13	PTPDC1
ENSG00000198315.9	ZKSCAN8
ENSG00000114739.12	ACVR2B
ENSG00000113312.9	TTC1
ENSG00000116852.13	KIF21B
ENSG00000099849.13	RASSF7
ENSG00000239697.9	TNFSF12
ENSG00000136732.13	GYPC
ENSG00000106105.12	GARS1
ENSG00000173113.5	TRMT112
ENSG00000126814.6	TRMT5
ENSG00000152208.10	GRID2
ENSG00000012983.10	MAP4K5
ENSG00000228300.12	FAM174C
ENSG00000165140.8	FBP1
ENSG00000157873.16	TNFRSF14
ENSG00000071967.10	CYBRD1
ENSG00000090776.5	EFNB1
ENSG00000181481.12	RNF135
ENSG00000126214.19	KLC1
ENSG00000153147.5	SMARCA5
ENSG00000157916.17	RER1
ENSG00000166997.6	CNPY4
ENSG00000173852.12	DPY19L1
ENSG00000077092.17	RARB
ENSG00000132386.9	SERPINF1
ENSG00000138028.13	CGREF1
ENSG00000156172.5	C8orf37
