ENSG00000146083.10	RNF44
ENSG00000166391.13	MOGAT2
ENSG00000161558.9	TMEM143
ENSG00000184178.14	SCFD2
ENSG00000166913.11	YWHAB
ENSG00000106069.19	CHN2
ENSG00000143033.16	MTF2
ENSG00000143183.15	TMCO1
ENSG00000166126.9	AMN
ENSG00000076984.16	MAP2K7
ENSG00000125843.9	AP5S1
ENSG00000105053.9	VRK3
ENSG00000143224.16	PPOX
ENSG00000116285.11	ERRFI1
ENSG00000249915.6	PDCD6
ENSG00000213753.9	
ENSG00000119772.15	DNMT3A
ENSG00000182220.12	ATP6AP2
ENSG00000168306.11	ACOX2
ENSG00000148426.11	PROSER2
ENSG00000100197.19	CYP2D6
ENSG00000197444.8	OGDHL
ENSG00000158483.14	FAM86C1
ENSG00000149925.15	ALDOA
ENSG00000054983.15	GALC
ENSG00000211679.2	IGLC3
ENSG00000156467.8	UQCRB
ENSG00000165716.8	DIPK1B
ENSG00000132964.10	CDK8
ENSG00000111785.17	RIC8B
ENSG00000082515.15	MRPL22
ENSG00000117682.15	DHDDS
ENSG00000136631.11	VPS45
ENSG00000142875.18	PRKACB
ENSG00000109606.11	DHX15
ENSG00000276291.3	
ENSG00000113732.7	ATP6V0E1
ENSG00000121766.13	ZCCHC17
ENSG00000125746.13	EML2
ENSG00000173546.7	CSPG4
ENSG00000090382.5	LYZ
ENSG00000143319.15	ISG20L2
ENSG00000159202.16	UBE2Z
ENSG00000136861.16	CDK5RAP2
ENSG00000188352.11	FOCAD
ENSG00000121060.13	TRIM25
ENSG00000132953.15	XPO4
ENSG00000121064.11	SCPEP1
ENSG00000145321.11	GC
ENSG00000166819.10	PLIN1
ENSG00000142856.15	ITGB3BP
ENSG00000150593.14	PDCD4
ENSG00000086619.12	ERO1B
ENSG00000161996.16	WDR90
ENSG00000232187.1	
ENSG00000162601.8	MYSM1
ENSG00000055070.15	SZRD1
ENSG00000144136.9	SLC20A1
ENSG00000179195.14	ZNF664
ENSG00000075131.8	TIPIN
ENSG00000173436.12	MICOS10
ENSG00000129596.4	CDO1
ENSG00000125834.11	STK35
ENSG00000213445.7	SIPA1
ENSG00000184209.14	SNRNP35
ENSG00000136485.13	DCAF7
ENSG00000155366.15	RHOC
ENSG00000103222.17	ABCC1
ENSG00000145192.11	AHSG
ENSG00000140931.18	CMTM3
ENSG00000070269.12	TMEM260
ENSG00000132128.15	LRRC41
ENSG00000146215.12	CRIP3
ENSG00000162695.10	SLC30A7
ENSG00000186132.13	C2orf76
ENSG00000180432.5	CYP8B1
ENSG00000257103.7	LSM14A
ENSG00000119777.17	TMEM214
ENSG00000060566.12	CREB3L3
ENSG00000173933.18	RBM4
ENSG00000095203.13	EPB41L4B
ENSG00000100354.19	TNRC6B
ENSG00000074582.11	BCS1L
ENSG00000090372.13	STRN4
ENSG00000101544.7	ADNP2
ENSG00000065923.8	SLC9A7
ENSG00000089163.4	SIRT4
ENSG00000123384.12	LRP1
ENSG00000198642.6	KLHL9
ENSG00000134240.10	HMGCS2
ENSG00000143515.15	ATP8B2
ENSG00000256210.3	
ENSG00000058272.14	PPP1R12A
ENSG00000134717.16	BTF3L4
ENSG00000112305.13	SMAP1
ENSG00000110931.17	CAMKK2
ENSG00000197956.8	S100A6
ENSG00000148057.14	IDNK
ENSG00000186625.12	KATNA1
ENSG00000172081.12	MOB3A
ENSG00000177034.13	MTX3
ENSG00000101695.7	RNF125
ENSG00000159720.10	ATP6V0D1
ENSG00000105852.9	PON3
ENSG00000172171.9	TEFM
ENSG00000149124.9	GLYAT
ENSG00000166454.8	ATMIN
ENSG00000198732.9	SMOC1
ENSG00000114857.16	NKTR
ENSG00000273179.1	
ENSG00000104856.12	RELB
ENSG00000090971.4	NAT14
ENSG00000151655.16	ITIH2
ENSG00000125741.4	OPA3
ENSG00000163956.9	LRPAP1
ENSG00000204611.5	ZNF616
ENSG00000129473.8	BCL2L2
ENSG00000113312.9	TTC1
ENSG00000151224.11	MAT1A
ENSG00000136732.13	GYPC
ENSG00000198863.6	RUNDC1
ENSG00000163349.20	HIPK1
ENSG00000215012.7	RTL10
ENSG00000264364.2	DYNLL2
ENSG00000176407.16	KCMF1
ENSG00000211584.12	SLC48A1
ENSG00000140575.11	IQGAP1
ENSG00000124253.10	PCK1
ENSG00000256020.1	
ENSG00000164975.14	SNAPC3
ENSG00000140464.18	PML
ENSG00000178719.15	GRINA
ENSG00000111875.7	ASF1A
ENSG00000174807.3	CD248
ENSG00000012983.10	MAP4K5
ENSG00000083312.16	TNPO1
ENSG00000106012.16	IQCE
ENSG00000165140.8	FBP1
ENSG00000036549.11	ZZZ3
ENSG00000058668.13	ATP2B4
ENSG00000100916.12	BRMS1L
ENSG00000139597.15	N4BP2L1
ENSG00000007384.14	RHBDF1
ENSG00000151151.5	IPMK
ENSG00000117155.15	SSX2IP
ENSG00000183723.11	CMTM4
ENSG00000158887.14	MPZ
ENSG00000229638.1	
ENSG00000113558.17	SKP1
ENSG00000101474.10	APMAP
ENSG00000167378.7	IRGQ
ENSG00000213465.6	ARL2
ENSG00000115207.12	GTF3C2
ENSG00000167257.9	RNF214
ENSG00000100104.11	SRRD
ENSG00000171603.15	CLSTN1
ENSG00000173442.10	EHBP1L1
ENSG00000175970.8	UNC119B
ENSG00000133027.16	PEMT
ENSG00000157617.15	C2CD2
ENSG00000188612.10	SUMO2
ENSG00000171681.11	ATF7IP
ENSG00000180891.11	CUEDC1
ENSG00000140092.13	FBLN5
ENSG00000149292.15	TTC12
ENSG00000149231.10	CCDC82
ENSG00000065491.8	TBC1D22B
ENSG00000119844.13	AFTPH
ENSG00000061273.16	HDAC7
ENSG00000116574.5	RHOU
ENSG00000153944.9	MSI2
ENSG00000162645.11	GBP2
ENSG00000134248.12	LAMTOR5
ENSG00000171262.10	FAM98B
ENSG00000154429.9	CCSAP
ENSG00000110906.11	KCTD10
ENSG00000132357.12	CARD6
ENSG00000143379.11	SETDB1
ENSG00000133065.9	SLC41A1
ENSG00000146233.6	CYP39A1
ENSG00000130762.13	ARHGEF16
ENSG00000188786.9	MTF1
ENSG00000188760.9	TMEM198
ENSG00000117475.12	BLZF1
ENSG00000137642.11	SORL1
ENSG00000105499.12	PLA2G4C
ENSG00000183597.14	TANGO2
ENSG00000104824.15	HNRNPL
ENSG00000183747.10	ACSM2A
ENSG00000168876.7	ANKRD49
ENSG00000084072.15	PPIE
ENSG00000171992.11	SYNPO
ENSG00000137124.6	ALDH1B1
ENSG00000122121.9	XPNPEP2
ENSG00000169359.12	SLC33A1
ENSG00000148358.18	GPR107
ENSG00000006015.16	REX1BD
ENSG00000184708.16	EIF4ENIF1
ENSG00000179044.14	EXOC3L1
ENSG00000206053.11	JPT2
ENSG00000269858.4	EGLN2
ENSG00000241837.5	ATP5PO
ENSG00000164308.15	ERAP2
ENSG00000137700.15	SLC37A4
ENSG00000171824.12	EXOSC10
ENSG00000167920.7	
ENSG00000196865.4	NHLRC2
ENSG00000226976.3	
ENSG00000112874.8	NUDT12
ENSG00000182827.8	ACBD3
ENSG00000143258.14	USP21
ENSG00000204843.11	DCTN1
ENSG00000125633.9	CCDC93
ENSG00000143933.15	CALM2
ENSG00000143493.11	INTS7
ENSG00000005194.13	CIAPIN1
ENSG00000114771.12	AADAC
ENSG00000126351.11	THRA
ENSG00000204128.5	C2orf72
ENSG00000142892.13	PIGK
ENSG00000135862.5	LAMC1
ENSG00000160959.6	LRRC14
ENSG00000101126.14	ADNP
ENSG00000170471.13	RALGAPB
ENSG00000140459.16	CYP11A1
ENSG00000165915.12	SLC39A13
ENSG00000144837.7	PLA1A
ENSG00000123737.11	EXOSC9
ENSG00000181035.12	SLC25A42
ENSG00000152234.14	ATP5F1A
ENSG00000099999.13	RNF215
ENSG00000100888.11	CHD8
ENSG00000100908.12	EMC9
ENSG00000139218.16	SCAF11
ENSG00000135387.18	CAPRIN1
ENSG00000142396.9	ERVK3-1
ENSG00000136040.7	PLXNC1
ENSG00000213398.6	LCAT
ENSG00000122566.19	HNRNPA2B1
ENSG00000117724.11	CENPF
ENSG00000107262.15	BAG1
ENSG00000218283.2	
ENSG00000139977.12	NAA30
ENSG00000260077.1	
ENSG00000146676.6	PURB
ENSG00000187147.16	RNF220
ENSG00000105726.15	ATP13A1
ENSG00000132600.15	PRMT7
ENSG00000187049.8	TMEM216
ENSG00000131043.10	AAR2
ENSG00000121769.6	FABP3
ENSG00000144867.10	SRPRB
ENSG00000134744.12	TUT4
ENSG00000253738.1	
ENSG00000204634.11	TBC1D8
ENSG00000120915.12	EPHX2
ENSG00000113648.15	MACROH2A1
ENSG00000101138.10	CSTF1
ENSG00000140682.17	TGFB1I1
ENSG00000136689.17	IL1RN
ENSG00000152601.16	MBNL1
ENSG00000174233.10	ADCY6
ENSG00000131462.6	TUBG1
ENSG00000185753.11	CXorf38
ENSG00000213189.5	
ENSG00000049323.14	LTBP1
ENSG00000120705.11	ETF1
ENSG00000123472.11	ATPAF1
ENSG00000113734.16	BNIP1
ENSG00000105483.15	CARD8
ENSG00000155508.12	CNOT8
ENSG00000079277.18	MKNK1
ENSG00000136240.8	KDELR2
ENSG00000071073.11	MGAT4A
ENSG00000166847.8	DCTN5
ENSG00000198612.9	COPS8
ENSG00000037241.6	RPL26L1
ENSG00000122176.10	FMOD
ENSG00000126107.13	HECTD3
ENSG00000068796.15	KIF2A
ENSG00000100949.13	RABGGTA
ENSG00000173542.7	MOB1B
ENSG00000175606.9	TMEM70
ENSG00000176387.6	HSD11B2
ENSG00000157837.14	SPPL3
ENSG00000166170.9	BAG5
ENSG00000104960.14	PTOV1
ENSG00000118961.13	LDAH
ENSG00000172115.7	CYCS
ENSG00000149346.13	SLX4IP
ENSG00000184831.12	APOO
ENSG00000138030.11	KHK
ENSG00000060339.12	CCAR1
ENSG00000275023.3	MLLT6
ENSG00000101266.15	CSNK2A1
ENSG00000168397.15	ATG4B
ENSG00000100554.10	ATP6V1D
ENSG00000129292.19	PHF20L1
ENSG00000134905.15	CARS2
ENSG00000168661.13	ZNF30
ENSG00000104517.11	UBR5
ENSG00000112695.10	COX7A2
ENSG00000116266.9	STXBP3
ENSG00000078699.20	CBFA2T2
ENSG00000108448.19	TRIM16L
ENSG00000156804.6	FBXO32
ENSG00000203797.8	DDO
