ENSG00000121644.17	DESI2
ENSG00000174013.7	FBXO45
ENSG00000200693.2	
ENSG00000255153.1	
ENSG00000110395.4	CBL
ENSG00000167880.6	EVPL
ENSG00000181991.14	MRPS11
ENSG00000143793.11	MMTAG2
ENSG00000138735.14	PDE5A
ENSG00000146535.12	GNA12
ENSG00000075914.11	EXOSC7
ENSG00000145982.10	FARS2
ENSG00000181381.12	DDX60L
ENSG00000101236.15	RNF24
ENSG00000173846.11	PLK3
ENSG00000113441.14	LNPEP
ENSG00000082515.15	MRPL22
ENSG00000143157.10	POGK
ENSG00000184014.6	DENND5A
ENSG00000102921.6	N4BP1
ENSG00000088356.5	PDRG1
ENSG00000258999.1	
ENSG00000009844.14	VTA1
ENSG00000121766.13	ZCCHC17
ENSG00000249042.4	
ENSG00000124486.11	USP9X
ENSG00000021762.18	OSBPL5
ENSG00000272654.1	
ENSG00000121064.11	SCPEP1
ENSG00000167004.11	PDIA3
ENSG00000086619.12	ERO1B
ENSG00000055070.15	SZRD1
ENSG00000127947.14	PTPN12
ENSG00000161267.10	BDH1
ENSG00000140104.12	CLBA1
ENSG00000137726.14	FXYD6
ENSG00000198833.6	UBE2J1
ENSG00000152082.12	MZT2B
ENSG00000170906.14	NDUFA3
ENSG00000100802.13	C14orf93
ENSG00000198517.8	MAFK
ENSG00000054523.15	KIF1B
ENSG00000076067.10	RBMS2
ENSG00000105258.7	POLR2I
ENSG00000055332.15	EIF2AK2
ENSG00000149262.15	INTS4
ENSG00000180776.14	ZDHHC20
ENSG00000272667.1	
ENSG00000123815.10	COQ8B
ENSG00000167705.10	RILP
ENSG00000074657.12	ZNF532
ENSG00000205078.5	SYCE1L
ENSG00000240137.4	
ENSG00000253716.4	
ENSG00000162695.10	SLC30A7
ENSG00000167553.13	TUBA1C
ENSG00000124596.15	OARD1
ENSG00000134698.10	AGO4
ENSG00000224152.1	
ENSG00000224043.6	
ENSG00000157800.16	SLC37A3
ENSG00000197180.2	
ENSG00000198642.6	KLHL9
ENSG00000040933.14	INPP4A
ENSG00000260549.1	
ENSG00000206190.10	ATP10A
ENSG00000171812.9	COL8A2
ENSG00000173482.15	PTPRM
ENSG00000118777.9	ABCG2
ENSG00000101695.7	RNF125
ENSG00000101577.8	LPIN2
ENSG00000166454.8	ATMIN
ENSG00000114902.12	SPCS1
ENSG00000068903.18	SIRT2
ENSG00000168273.6	SMIM4
ENSG00000263004.1	
ENSG00000167470.11	MIDN
ENSG00000163956.9	LRPAP1
ENSG00000176108.8	CHMP6
ENSG00000211673.2	IGLV3-1
ENSG00000091972.17	CD200
ENSG00000112531.15	QKI
ENSG00000110344.8	UBE4A
ENSG00000152104.10	PTPN14
ENSG00000110497.13	AMBRA1
ENSG00000112685.12	EXOC2
ENSG00000007080.9	CCDC124
ENSG00000253930.1	
ENSG00000106105.12	GARS1
ENSG00000140365.14	COMMD4
ENSG00000138621.10	PPCDC
ENSG00000140575.11	IQGAP1
ENSG00000099817.10	POLR2E
ENSG00000058668.13	ATP2B4
ENSG00000256234.1	
ENSG00000058063.14	ATP11B
ENSG00000090776.5	EFNB1
ENSG00000181481.12	RNF135
ENSG00000068120.13	COASY
ENSG00000071242.10	RPS6KA2
ENSG00000109436.7	TBC1D9
ENSG00000044574.7	HSPA5
ENSG00000099622.12	CIRBP
ENSG00000196367.11	TRRAP
ENSG00000173852.12	DPY19L1
ENSG00000146054.16	TRIM7
ENSG00000010282.13	HHATL
ENSG00000232838.3	PET117
ENSG00000230424.1	
ENSG00000127955.14	GNAI1
ENSG00000088387.16	DOCK9
ENSG00000170647.3	
ENSG00000090013.8	BLVRB
ENSG00000073921.16	PICALM
ENSG00000136193.15	SCRN1
ENSG00000163840.8	DTX3L
ENSG00000238142.1	
ENSG00000113300.10	CNOT6
ENSG00000179091.4	CYC1
ENSG00000160753.14	RUSC1
ENSG00000204272.9	NBDY
ENSG00000112667.11	DNPH1
ENSG00000145354.8	CISD2
ENSG00000135046.12	ANXA1
ENSG00000134248.12	LAMTOR5
ENSG00000211941.3	IGHV3-11
ENSG00000147526.18	TACC1
ENSG00000259943.1	
ENSG00000188542.8	DUSP28
ENSG00000162512.14	SDC3
ENSG00000140876.10	NUDT7
ENSG00000128805.13	ARHGAP22
ENSG00000165895.16	ARHGAP42
ENSG00000116641.14	DOCK7
ENSG00000205213.12	LGR4
ENSG00000110713.14	NUP98
ENSG00000104824.15	HNRNPL
ENSG00000084072.15	PPIE
ENSG00000171992.11	SYNPO
ENSG00000228782.6	
ENSG00000006015.16	REX1BD
ENSG00000140830.7	TXNL4B
ENSG00000204859.10	ZBTB48
ENSG00000177042.13	TMEM80
ENSG00000197879.13	MYO1C
ENSG00000243056.1	EIF4EBP3
ENSG00000033327.11	GAB2
ENSG00000149115.12	TNKS1BP1
ENSG00000232442.1	
ENSG00000274712.1	
ENSG00000105649.8	RAB3A
ENSG00000170296.8	GABARAP
ENSG00000233929.1	
ENSG00000171817.15	ZNF540
ENSG00000130748.6	TMEM160
ENSG00000267100.1	
ENSG00000135862.5	LAMC1
ENSG00000101126.14	ADNP
ENSG00000166797.9	CIAO2A
ENSG00000140044.11	JDP2
ENSG00000174996.10	KLC2
ENSG00000047644.16	WWC3
ENSG00000168894.8	RNF181
ENSG00000275055.1	
ENSG00000171984.13	SHLD1
ENSG00000222020.2	
ENSG00000100908.12	EMC9
ENSG00000197217.11	ENTPD4
ENSG00000150753.10	CCT5
ENSG00000135940.5	COX5B
ENSG00000125743.9	SNRPD2
ENSG00000267673.5	FDX2
ENSG00000260461.1	
ENSG00000254470.2	AP5B1
ENSG00000274828.1	
ENSG00000277310.1	
ENSG00000280798.1	
ENSG00000231991.4	
ENSG00000178718.6	RPP25
ENSG00000185267.8	CDNF
ENSG00000276529.1	
ENSG00000132205.9	EMILIN2
ENSG00000250222.1	
