gene frequency
ENSG00000196865.4 5
ENSG00000186395.6 5
ENSG00000185591.8 5
ENSG00000165671.17 5
ENSG00000120800.4 5
ENSG00000118058.19 5
ENSG00000097007.16 5
ENSG00000269858.4 4
ENSG00000256053.6 4
ENSG00000241553.11 4
ENSG00000230733.2 4
ENSG00000205544.3 4
ENSG00000205423.10 4
ENSG00000198081.9 4
ENSG00000197102.9 4
ENSG00000183011.12 4
ENSG00000182150.14 4
ENSG00000178996.11 4
ENSG00000177302.13 4
ENSG00000177125.5 4
ENSG00000177034.13 4
ENSG00000175505.10 4
ENSG00000173706.11 4
ENSG00000170852.9 4
ENSG00000169429.9 4
ENSG00000168813.15 4
ENSG00000167384.9 4
ENSG00000163781.11 4
ENSG00000161981.9 4
ENSG00000161544.8 4
ENSG00000161021.10 4
ENSG00000160014.15 4
ENSG00000157191.18 4
ENSG00000155827.10 4
ENSG00000154930.13 4
ENSG00000154640.13 4
ENSG00000153147.5 4
ENSG00000151612.14 4
ENSG00000149091.14 4
ENSG00000148358.18 4
ENSG00000148153.12 4
ENSG00000146872.16 4
ENSG00000146083.10 4
ENSG00000141027.19 4
ENSG00000136861.16 4
ENSG00000135862.5 4
ENSG00000134313.13 4
ENSG00000134248.12 4
ENSG00000131495.7 4
ENSG00000130772.12 4
ENSG00000130725.6 4
ENSG00000129493.13 4
ENSG00000128908.14 4
ENSG00000128059.7 4
ENSG00000127990.14 4
ENSG00000127946.15 4
ENSG00000121064.11 4
ENSG00000120868.12 4
ENSG00000120733.12 4
ENSG00000120685.18 4
ENSG00000119402.15 4
ENSG00000113810.14 4
ENSG00000113649.10 4
ENSG00000111737.10 4
ENSG00000111605.15 4
ENSG00000109689.13 4
ENSG00000109458.7 4
ENSG00000109390.10 4
ENSG00000108578.13 4
ENSG00000108055.9 4
ENSG00000104824.15 4
ENSG00000104611.10 4
ENSG00000104517.11 4
ENSG00000101577.8 4
ENSG00000101384.10 4
ENSG00000101266.15 4
ENSG00000100503.22 4
ENSG00000100335.11 4
ENSG00000100281.12 4
ENSG00000100104.11 4
ENSG00000094880.9 4
ENSG00000090776.5 4
ENSG00000083312.16 4
ENSG00000067836.11 4
ENSG00000064607.15 4
ENSG00000058804.11 4
ENSG00000042753.10 4
ENSG00000039123.14 4
ENSG00000031003.9 4
ENSG00000012983.10 4
ENSG00000011454.15 4
ENSG00000010072.14 4
ENSG00000009830.10 4
ENSG00000008256.14 4
ENSG00000280798.1 3
ENSG00000276291.3 3
ENSG00000272523.1 3
ENSG00000271601.3 3
ENSG00000271122.1 3
ENSG00000270673.1 3
ENSG00000269293.2 3
ENSG00000263753.5 3
ENSG00000258708.1 3
ENSG00000257151.1 3
ENSG00000255153.1 3
ENSG00000254415.3 3
ENSG00000254087.6 3
ENSG00000253948.1 3
ENSG00000253797.2 3
ENSG00000253729.6 3
ENSG00000253716.4 3
ENSG00000253352.7 3
ENSG00000247556.5 3
ENSG00000247516.4 3
ENSG00000244313.3 3
ENSG00000243056.1 3
ENSG00000232859.8 3
ENSG00000232388.4 3
ENSG00000231025.1 3
ENSG00000226950.5 3
ENSG00000215845.9 3
ENSG00000215305.8 3
ENSG00000215114.6 3
ENSG00000215012.7 3
ENSG00000214517.7 3
ENSG00000213654.8 3
ENSG00000213079.8 3
ENSG00000211450.8 3
ENSG00000205659.9 3
ENSG00000205189.10 3
ENSG00000204386.9 3
ENSG00000198900.5 3
ENSG00000198863.6 3
ENSG00000198856.11 3
ENSG00000198824.5 3
ENSG00000198690.8 3
ENSG00000198624.11 3
ENSG00000198315.9 3
ENSG00000198015.11 3
ENSG00000197956.8 3
ENSG00000197927.11 3
ENSG00000197894.9 3
ENSG00000197785.12 3
ENSG00000197603.12 3
ENSG00000197582.5 3
ENSG00000197579.6 3
ENSG00000197555.8 3
ENSG00000196998.14 3
ENSG00000196914.7 3
ENSG00000196367.11 3
ENSG00000196323.10 3
ENSG00000196247.10 3
ENSG00000196116.7 3
ENSG00000188938.14 3
ENSG00000188641.11 3
ENSG00000188157.12 3
ENSG00000188070.9 3
ENSG00000187231.12 3
ENSG00000186812.11 3
ENSG00000186577.10 3
ENSG00000186575.16 3
ENSG00000186566.10 3
ENSG00000186153.15 3
ENSG00000185963.12 3
ENSG00000185950.8 3
ENSG00000185305.9 3
ENSG00000185262.8 3
ENSG00000184924.5 3
ENSG00000184708.16 3
ENSG00000184178.14 3
ENSG00000184014.6 3
ENSG00000183696.12 3
ENSG00000183530.12 3
ENSG00000183258.10 3
ENSG00000183155.4 3
ENSG00000182606.13 3
ENSG00000182504.9 3
ENSG00000182247.8 3
ENSG00000181751.8 3
ENSG00000181192.10 3
ENSG00000180776.14 3
ENSG00000180626.9 3
ENSG00000179562.2 3
ENSG00000179163.11 3
ENSG00000178980.13 3
ENSG00000178966.14 3
ENSG00000178691.9 3
ENSG00000178202.11 3
ENSG00000177888.7 3
ENSG00000177283.5 3
ENSG00000177200.14 3
ENSG00000176953.9 3
ENSG00000176903.4 3
ENSG00000176871.7 3
ENSG00000176834.12 3
ENSG00000176533.11 3
ENSG00000176485.9 3
ENSG00000176401.5 3
ENSG00000176105.12 3
ENSG00000176055.9 3
ENSG00000175970.8 3
ENSG00000175387.14 3
ENSG00000175348.9 3
ENSG00000175115.10 3
ENSG00000174953.12 3
ENSG00000174243.8 3
ENSG00000174106.2 3
ENSG00000173947.12 3
ENSG00000173852.12 3
ENSG00000173581.6 3
ENSG00000173517.9 3
ENSG00000173436.12 3
ENSG00000172594.11 3
ENSG00000172361.5 3
