gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	p_adjusted_new
hsa-mir-106a	0.0202643765327403	1.02047109297633	0.00528730186917837	3.83264981537536	0.00012677034891276	age	0.0292517915343882	1.02968382750828	0.00652773711106916	4.48115342831218	7.42407142348634e-06	gender	-0.0665833077548129	0.935584971126294	0.160380207422788	-0.415159132319167	0.678025413852526	0.000513419913096678
hsa-mir-1249	0.075667147427001	1.07860349845126	0.0464496327464744	1.62901497714735	0.103309848411612	age	0.0289024048296973	1.0293241325089	0.00648625796522209	4.4559443957773	8.35246807189378e-06	gender	-0.0388746656324797	0.961871257117454	0.159989826647009	-0.242982109845336	0.808019256479336	0.146808731953343
hsa-mir-1251	-0.0152529136130021	0.984862822887038	0.0076510629446253	-1.99356791643139	0.0461992944922031	age	0.0308385734411491	1.0313190081699	0.0065839210532863	4.68392211746773	2.81436981182777e-06	gender	-0.00680805914528366	0.993215063186888	0.160360439374567	-0.0424547299311243	0.966136199469128	0.074842857077369
hsa-mir-1266	0.0622257114564004	1.06420252032259	0.0197634495410414	3.14852482240919	0.00164096786142871	age	0.0309745881703773	1.03145929228568	0.00655089974880846	4.72829525074189	2.26412786418224e-06	gender	-0.0730069995913144	0.92959432322267	0.160965875532096	-0.453555757392547	0.650148603285184	0.00402783020532502
hsa-mir-1277	0.12721204979222	1.13565780825307	0.0352810661315145	3.6056747638527	0.000311342876660453	age	0.030581250830081	1.0310536606113	0.00650430423565504	4.70169440452091	2.5801145219374e-06	gender	-0.0736772445740204	0.928971476044992	0.160243056580267	-0.459784318561815	0.645671040127705	0.000969952808057565
hsa-mir-1301	0.0304757351892177	1.03094487406298	0.0102996550767194	2.95890832869762	0.00308730926266202	age	0.0298415099594618	1.03029123011402	0.00651266727287471	4.58207193905818	4.60391447070693e-06	gender	-0.0848078680667575	0.918688776896746	0.161208438229889	-0.526075861772314	0.598835499166444	0.00714491572216068
hsa-mir-130b	0.0271022494809645	1.02747285595881	0.0041860342699878	6.47444519871154	9.51609400969247e-11	age	0.0257807811101739	1.02611597980973	0.00654406423541353	3.93956724487206	8.16287202912253e-05	gender	-0.0629615335534889	0.938979592202712	0.162145332263562	-0.38830309003991	0.69779175080306	3.85401807392545e-09
hsa-mir-135b	0.0145932591278427	1.0147002606003	0.00360443759766643	4.04869240551995	5.15045827062443e-05	age	0.026904706094096	1.02726990553734	0.00662251348121791	4.06261250662612	4.85265463473566e-05	gender	0.0615650671883346	1.06349969321239	0.162904452320241	0.377921329414057	0.705489036913187	0.000278124746613719
hsa-mir-1468	-0.0341764473224148	0.966400970729159	0.0120410634836143	-2.83832465204778	0.00453510294944289	age	0.0299806649143714	1.03043461021948	0.00647143838723006	4.63276680089106	3.60810892081316e-06	gender	-0.0240321924993572	0.97625428118671	0.160723298282782	-0.149525257110354	0.881139181096894	0.0096669299711809
hsa-mir-149	0.0156678614237206	1.01579124591265	0.00395722383087489	3.95930634539231	7.51677670199402e-05	age	0.0287229217282626	1.02913940279964	0.0065125999807591	4.41036173158523	1.03198083483586e-05	gender	-0.0375820100790853	0.963115429309417	0.159943761163253	-0.234970153294855	0.814231898952497	0.000358152301683245
hsa-mir-151b	-0.11905616763832	0.887757936094903	0.0313739816732045	-3.79474205341306	0.000147797031894712	age	0.0318421651839875	1.03235455095491	0.00647588432750644	4.91703736101914	8.78637877581672e-07	gender	-0.0299576416299589	0.970486640910137	0.160833606611314	-0.186264812815878	0.85223709985363	0.000570074265879603
hsa-mir-154	0.0209296230111028	1.0211501836335	0.00448846696584918	4.66297806586241	3.11665982928879e-06	age	0.0294982523261286	1.02993763547522	0.0065187132299963	4.52516490377125	6.03484314809583e-06	gender	-0.0566127368829717	0.944959946650969	0.160450504427584	-0.352836141493857	0.724211287126598	2.29499496520356e-05
hsa-mir-18a	0.0376373534713935	1.03835460889756	0.00644738175998835	5.83761825691263	5.29523092993294e-09	age	0.0288144115764405	1.02923356291464	0.00647042599264613	4.4532479946744	8.45809667966622e-06	gender	-0.0348281918958935	0.965771329345647	0.159647655566144	-0.218156613527367	0.82730708828145	1.42971235108189e-07
hsa-mir-190a	-0.0423045741761399	0.958577778069509	0.0110236403362427	-3.83762286193736	0.000124231082242625	age	0.0323981333416532	1.03292866679294	0.0065448796172833	4.95014961865735	7.4156450101155e-07	gender	-0.00161279933708354	0.998388500524868	0.159930102974471	-0.0100844012921131	0.991953948278386	0.000513419913096678
hsa-mir-1976	0.0271750840058916	1.02754769418152	0.0159658122776641	1.70207963950003	0.0887404401115588	age	0.029657146530172	1.03010129959832	0.0064792631741024	4.57724061104842	4.71149441208871e-06	gender	-0.0316787897606869	0.96881772627888	0.160615252093598	-0.197234007030828	0.84364441950838	0.130690466346114
hsa-mir-19a	0.0165142890451432	1.01665140366007	0.00457348920753227	3.61087307650035	0.000305167985847762	age	0.028790630633745	1.02920908706129	0.0065090081845156	4.42319779259697	9.72506319239458e-06	gender	-0.0354716237643836	0.965150121168673	0.160295934836106	-0.221288355195355	0.824867916454271	0.000969952808057565
hsa-mir-212	0.0750522615421548	1.07794048424464	0.0287314493317698	2.61219894184613	0.0089961887246987	age	0.0307009086646975	1.03117704164131	0.00656914783657233	4.67349942922227	2.96110529061255e-06	gender	-0.0339311087041451	0.96663809529473	0.160488476271721	-0.211423956986773	0.83255646426567	0.0177729582122096
