gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	p_adjusted_new
hsa-mir-1226	0.153787909711147	1.16624351162318	0.0474940624351104	3.23804496448924	0.00120351839557382	age	0.0583846509947897	1.06012269454343	0.00735131755983525	7.9420662377287	1.98840699142359e-15	gender	-0.0642703719615298	0.937751423560543	0.18433447058001	-0.348661711286569	0.727343292449391	0.00240703679114764
hsa-mir-1249	-0.018563874286935	0.981607373118299	0.0105503638369115	-1.75954825576606	0.078484431494195	age	0.0567012366932833	1.05833957012776	0.00735286589505358	7.71144714218537	1.24398980453952e-14	gender	-0.0353437683623534	0.965273528714427	0.1842168278894	-0.191859607872377	0.847852177837722	0.101375724013335
hsa-mir-1266	0.0749278411341691	1.07780637479296	0.0150874839003863	4.96622509285664	6.82687121488315e-07	age	0.0537413329712412	1.05521161839661	0.0074593240865296	7.20458480524928	5.82209783552345e-13	gender	-0.10333008677139	0.901829242442698	0.18485976857567	-0.558964709128116	0.576185805498748	5.29082519153444e-06
hsa-mir-1271	0.018311390227166	1.01848007175794	0.0131040017776495	1.39738917453432	0.16229657272499	age	0.0569800655758225	1.05863470691186	0.007348097071775	7.7543975017274	8.87638839317454e-15	gender	-0.0714984997294192	0.930997674342236	0.183970525258991	-0.388641058825944	0.697541689297658	0.19350745209518
hsa-mir-141	0.135822387374677	1.14547842409587	0.0388512966635349	3.49595506556561	0.000472368238227569	age	0.0576681238760182	1.05936335995797	0.00734855474343052	7.84754633930876	4.24255674894659e-15	gender	-0.00482791415339428	0.995183721491313	0.186711837400352	-0.0258575686502519	0.979370944031787	0.00108469743592997
hsa-mir-187	0.0257619312762692	1.02609663787624	0.00604227560511441	4.26361406859086	2.01146741283107e-05	age	0.0565878204902418	1.05821954407876	0.00734689878641513	7.70227304544826	1.33666885110146e-14	gender	-0.178711924664396	0.836346795581063	0.188655644237112	-0.947291693217417	0.343490162511362	7.7944362247204e-05
hsa-mir-188	0.180794230972574	1.19816860793655	0.0441953476116043	4.09079780436218	4.29891806164513e-05	age	0.0556837027961575	1.05726322144399	0.00735148154863589	7.57448718707455	3.60548974681146e-14	gender	-0.109466264894077	0.896312401045877	0.185812407297637	-0.589122472961303	0.555779119048215	0.000140280484116841
hsa-mir-18a	0.066546194815726	1.06881033643133	0.0168491093235126	3.94953783835103	7.8302232714646e-05	age	0.0551691737337098	1.05671936871591	0.00731458611831909	7.54235070054624	4.61574425790984e-14	gender	-0.0645713664381424	0.937469208036403	0.184574886684167	-0.349838310065621	0.726460046255988	0.000220750030376938
hsa-mir-190a	0.0645131062981863	1.06663955784914	0.0188831867167936	3.41643109638969	0.000634477179859985	age	0.057697421942529	1.05939439771082	0.00733890510825258	7.86185692435897	3.7848020167526e-15	gender	-0.0737810972414055	0.92887500488876	0.18434771028707	-0.400227901537328	0.688988665769367	0.00136203766328872
hsa-mir-193b	0.0159969417925905	1.01612557787857	0.00468388428749028	3.41531532606711	0.000637082132828593	age	0.0542014541739041	1.05569725535289	0.00747382192638257	7.25217361448941	4.10135684512696e-13	gender	-0.0875502700867834	0.916172814406348	0.183635971126431	-0.476759915553288	0.63353309232533	0.00136203766328872
hsa-mir-1976	0.0852019001836483	1.08893690106566	0.0176147438539983	4.83696503848442	1.31836605630075e-06	age	0.0553993958556951	1.05696267689771	0.00742661686017714	7.45957370613215	8.68028610506524e-14	gender	-0.186247558822466	0.830068078868148	0.187845532590594	-0.991493150004207	0.321444835538749	9.0820772767385e-06
hsa-mir-200a	0.128547553465151	1.13717549664082	0.0202783412421023	6.33915525586769	2.31028341742044e-10	age	0.0526898784144782	1.05410269442584	0.00752526053563397	7.00173477914534	2.52812331596544e-12	gender	-0.0619155494086533	0.939962263808346	0.184177428665847	-0.336173383769987	0.736740122765246	4.77458572933558e-09
hsa-mir-200b	0.141570244585052	1.15208142890044	0.0205383989636202	6.89295425781804	5.46454503578968e-12	age	0.0533307916529814	1.05477849934047	0.00746263051301008	7.14637975979199	8.90963604394407e-13	gender	-0.0862189878224936	0.917393311257839	0.18438431298705	-0.467604789288929	0.640067239364078	1.6940089610948e-10
hsa-mir-200c	0.0299136080182289	1.03036551478953	0.00765928621765483	3.90553468928702	9.40172695646231e-05	age	0.0595598326853165	1.06136926365291	0.00742450852872544	8.02205727892686	1.03988626945448e-15	gender	-0.0980311646662649	0.906620648783697	0.184805974906743	-0.530454519750963	0.595796834102072	0.000253437857087245
hsa-mir-2110	0.10612475057049	1.11196058557175	0.0525714872277082	2.01867506830881	0.0435210029599926	age	0.057360674461739	1.05903770937655	0.00730764007153264	7.84941156108536	4.17993811680241e-15	gender	-0.135769298969105	0.873044021413267	0.187516149725233	-0.72404056486893	0.469040831572396	0.0613250496254441
hsa-mir-222	0.0207011122245127	1.02091686646057	0.00348290044985979	5.94364166375932	2.78758623896498e-09	age	0.0598976782795091	1.06172790316142	0.00732667398629252	8.17528914096243	2.95157194246508e-16	gender	-0.242113010883789	0.784967462672348	0.190215649804497	-1.27283433898647	0.203076833117337	4.32075867039572e-08
hsa-mir-3074	0.0218214619524769	1.02206129135253	0.00552518873310595	3.94945096114574	7.83306559402039e-05	age	0.0593154902239621	1.06110995775563	0.00745887676241661	7.95233546729688	1.83027825966245e-15	gender	-0.0724141578752918	0.930145588906955	0.184102720361926	-0.393335621184378	0.69407161216424	0.000220750030376938
hsa-mir-32	0.0145348496786951	1.01464099424791	0.00492434648160319	2.95163017732315	0.00316101272039635	age	0.0556789048835832	1.05725814879965	0.00732534685695084	7.60085576435891	2.94178847628929e-14	gender	-0.0563947199213979	0.945165986406611	0.184093031421581	-0.306338156778197	0.759347189857802	0.00559950824755925
hsa-mir-320b-1	0.0536525094560098	1.05511789495384	0.0207410291236402	2.58678145313714	0.00968770156655949	age	0.0567251714371122	1.0583649015174	0.0074124067441645	7.65273323428585	1.9675180450953e-14	gender	-0.0673307925332928	0.934885896907621	0.183986358782816	-0.365955351139769	0.714398392565707	0.0150159374281672
hsa-mir-320b-2	0.0285935772908113	1.0290062979509	0.0116683675330866	2.45052079562388	0.0142649722332546	age	0.0567343960852438	1.05837466460624	0.00740479030960652	7.66185046612867	1.83272959022913e-14	gender	-0.0637166428344823	0.938270827629008	0.184170729775331	-0.345965088546969	0.729368951763757	0.021057816153852
hsa-mir-346	-0.084111650003146	0.919328607322964	0.0251171410753456	-3.34877483670735	0.000811697314879704	age	0.0546604500327427	1.05618192724397	0.00741455996886308	7.37204234132374	1.68033626234896e-13	gender	-0.0654763271286269	0.936621219010829	0.1832287214042	-0.357347508768492	0.720831667803656	0.00167750778408472
hsa-mir-3613	0.0668920596236334	1.06918006424726	0.0174063683701237	3.84296472424697	0.000121556946067979	age	0.0536113515662697	1.05507446942151	0.00744584067971719	7.20017441580632	6.01355862942144e-13	gender	-0.0233183065460709	0.976951464229867	0.184922850648524	-0.126097485866639	0.899654757574726	0.000314022110675612
hsa-mir-3677	0.0247725304718625	1.02508191910189	0.00865663301254404	2.86168195370711	0.00421399541956894	age	0.0586105769013054	1.06036223078192	0.00742629770792754	7.89230101006305	2.96665124944968e-15	gender	-0.0693621516930892	0.932988735438112	0.184402362704882	-0.376145677721583	0.7068085976545	0.00687546621087564
hsa-mir-376a-1	0.018092266960438	1.0182569235269	0.0117283925743485	1.54260414167992	0.122926852530435	age	0.0572998851507699	1.05897333316062	0.00733220453728573	7.81482361265134	5.50400504224323e-15	gender	-0.0991192074937724	0.905634743140562	0.184591291267171	-0.53696578431921	0.591291248786892	0.152429297137739
hsa-mir-377	0.0182095958587299	1.01837640149889	0.00791264757803862	2.30132780199516	0.0213731094211948	age	0.0574420067452885	1.05912384683465	0.00729244166476749	7.8769237226555	3.35539605719891e-15	gender	-0.118636538118713	0.888130543704261	0.184952920974781	-0.64144181932055	0.521235669953972	0.0308170414910251
hsa-mir-421	0.0722676293686555	1.07494299188485	0.0234810970239778	3.07769391246326	0.00208609065583409	age	0.0587845249083426	1.0605466947218	0.00729026991067835	8.06342229143514	7.41876952077401e-16	gender	-0.09552570156585	0.908895001328747	0.184941476533676	-0.516518540655511	0.605492292982124	0.00391932183823374
hsa-mir-4326	0.0930907096634597	1.09756129016798	0.0222097970127694	4.19142550514701	2.77207210039705e-05	age	0.0597499887822291	1.06157110867989	0.00748724759032512	7.9802341329592	1.46055975435351e-15	gender	-0.00587581737922968	0.994141411474658	0.186344510894442	-0.0315320121372296	0.974845262837865	0.000101099100132128
hsa-mir-450a-1	0.049742503664619	1.05100043277015	0.0136716578569819	3.63836662568442	0.000274372656265743	age	0.0567900302687584	1.05843354805451	0.00741612107764231	7.65764604895215	1.89371937721493e-14	gender	-0.0456410313105791	0.955384853892234	0.185102763838735	-0.246571311870537	0.805240008932801	0.000680444187539043
hsa-mir-450a-2	0.0506171434164012	1.0519200816499	0.0142561307599441	3.55055268983795	0.000384423177187175	age	0.0569647633386306	1.05861850755642	0.00742093276943308	7.67622684486096	1.63842882096406e-14	gender	-0.0429787418190747	0.957931753737118	0.185099551605698	-0.232192576622923	0.816388443217511	0.000916701422523263
hsa-mir-450b	0.0273361942380435	1.02771325596556	0.00572850892982383	4.77195629315082	1.82445101289163e-06	age	0.0567977309679474	1.05844169876426	0.00745228687750433	7.62151697882143	2.50711653541969e-14	gender	-0.132521483923247	0.875884116476934	0.184762941407352	-0.717251429934064	0.473218970555622	1.13115962799281e-05
hsa-mir-500b	0.128134620008507	1.13670601577103	0.0323013495482308	3.96685035766639	7.28286863852284e-05	age	0.0549591272812143	1.05649743187057	0.00734021815542849	7.4873969843211	7.02529653789399e-14	gender	-0.0863361215026093	0.917285859896387	0.184851322149633	-0.467057094851191	0.640459029789948	0.000220750030376938
hsa-mir-502	0.0769788479356886	1.08001923151475	0.0275132922163385	2.79787847017361	0.00514394632099991	age	0.0563498251582553	1.0579677227344	0.00739118850832971	7.62391935948464	2.46087133298793e-14	gender	-0.123376845884221	0.88393049421952	0.186190394098653	-0.662638083352735	0.507562373340967	0.00817755568979473
hsa-mir-503	0.0301337969578359	1.03059241485917	0.00689550065422899	4.37006657948107	1.2420865931394e-05	age	0.0569535662055432	1.05860665413046	0.00743260689509222	7.66266358619744	1.82115938039228e-14	gender	-0.122346290419289	0.884841903169033	0.18499940924315	-0.661333411386659	0.508398519110888	5.22027483073671e-05
hsa-mir-550a-1	0.0291665782531171	1.02959608850899	0.016069020161594	1.81508131546359	0.0695114141115796	age	0.0572628854789186	1.05893415221963	0.00737618621327577	7.7632103939914	8.28060751907559e-15	gender	-0.104578683299837	0.900703924261716	0.184852053051783	-0.565742611852634	0.571568763499079	0.0936892972808247
hsa-mir-550a-2	0.0264513860252219	1.02680432900858	0.0184801504969022	1.43134040113233	0.152332680327402	age	0.0571107649686542	1.05877307886765	0.0073594386358502	7.76020669435971	8.47910815238882e-15	gender	-0.0960430178882816	0.908424936705717	0.184767636829346	-0.5198043311935	0.60319996025948	0.185188748633312
hsa-mir-551b	0.020278186991238	1.02048518624733	0.00398709902998237	5.08595017047462	3.65790090126275e-07	age	0.0560289288245534	1.057628279237	0.00733183335206712	7.64187156664667	2.14086677552303e-14	gender	-0.0258501127860115	0.974481140926161	0.184685096375295	-0.139968591366366	0.888684806513533	3.23985508397558e-06
hsa-mir-574	0.0165243675734419	1.01666165006165	0.00292092203093165	5.6572436369249	1.53823332515692e-08	age	0.0581988010736123	1.0599256891315	0.00738782635017488	7.87766229402977	3.33562782279835e-15	gender	-0.0857158088547779	0.91785504043365	0.184015329176303	-0.465807980446316	0.641352952255201	1.90740932319458e-07
hsa-mir-590	0.0294864425256103	1.02992547218903	0.00647074224652283	4.5568872012257	5.19172867752631e-06	age	0.0558372477537779	1.0574255713442	0.00738219608367728	7.56377196173903	3.91545916278862e-14	gender	-0.0100440717191024	0.990006201512479	0.186034961891246	-0.053990237195168	0.956942942487568	2.92624707278756e-05
hsa-mir-616	0.0677332189534729	1.07007979338831	0.0128924592165628	5.25370821933313	1.49066973914315e-07	age	0.0563120296753503	1.05792773708906	0.00746724551886577	7.54120505788643	4.65648228447498e-14	gender	-0.0355592619543474	0.965065540865297	0.185296695406414	-0.191904458287045	0.84781704514463	1.54035873044792e-06
hsa-mir-664a	0.0177846159158315	1.01794370390434	0.0024752979660953	7.18483841518528	6.72867174858134e-13	age	0.0535977360258312	1.0550601041102	0.00731747748124567	7.32461919605486	2.39578037400293e-13	gender	-0.095312821448586	0.909088507599298	0.183793478991375	-0.518586524242564	0.604049108345435	4.17177648412043e-11
hsa-mir-664b	0.0474345098300681	1.04857752735213	0.0265157164980375	1.78892053826186	0.0736276136310572	age	0.057123058185032	1.05878609467421	0.00733047641138799	7.79254375558601	6.56734170994796e-15	gender	-0.0686491226445322	0.933654220735435	0.183977743784512	-0.373138191785519	0.709045595068083	0.0971257881941606
hsa-mir-671	0.0850298031511845	1.08874951438125	0.0194735544039168	4.36642440242354	1.26296971711372e-05	age	0.0531321240851905	1.05456896987549	0.00742382948069224	7.15696989314956	8.2479802204677e-13	gender	-0.181799397070465	0.833768580060507	0.187758945170437	-0.968259578287671	0.332914746815801	5.22027483073671e-05
hsa-mir-6720	-0.0751479767051828	0.927606212061139	0.0235433851236294	-3.19189344737687	0.00141343463480604	age	0.0577115384069228	1.05940935271967	0.00727680350547738	7.93089140904826	2.17578411816178e-15	gender	-0.117846333224776	0.888832626164317	0.18364275158492	-0.641715135542831	0.521058160011301	0.0027385296049367
hsa-mir-6820	-0.225152943379709	0.798394100328969	0.0779959496810707	-2.88672609668028	0.00389272947481182	age	0.0556596748813053	1.05723781791852	0.00733423289335139	7.58902474064625	3.22322220647862e-14	gender	-0.0226233477119151	0.977630641253176	0.184559497995196	-0.122580240831084	0.902439501959202	0.00670414520662036
hsa-mir-6837	0.208834209219293	1.23224068744868	0.0829016908360497	2.51905850306833	0.0117669103902273	age	0.0581185466280704	1.05984062879629	0.00732614959366235	7.93302755902597	2.1386694849115e-15	gender	-0.116091157188914	0.890394053778968	0.185533735306503	-0.625714547260803	0.531502189799162	0.0177938644925388
hsa-mir-760	0.0632290220288331	1.06527078177183	0.0220344720342146	2.86955012721215	0.00411056171875791	age	0.0583010440173368	1.06003406459431	0.00733337483495454	7.95009737391914	1.86364972079766e-15	gender	-0.135143673119715	0.873590391214433	0.186305614727867	-0.72538701164276	0.468214638941011	0.00687546621087564
hsa-mir-877	0.21018325390549	1.2339041569953	0.0476282524255709	4.41299529588967	1.01950212509989e-05	age	0.0581408831043791	1.05986430216577	0.00724689816709555	8.02286464688673	1.03307164431788e-15	gender	-0.0725963475853564	0.92997614138806	0.184236477226978	-0.394038947541958	0.693552284609569	4.86224090432255e-05
hsa-mir-887	0.0137322575212145	1.01382697804847	0.00305538265620028	4.49444768999644	6.9750746457482e-06	age	0.0545506542745056	1.0560659693144	0.0072962663356484	7.4765163119087	7.63186738880827e-14	gender	0.0372307553384984	1.03793250167212	0.188613558983879	0.197391722732301	0.84352100650059	3.6037885669699e-05
hsa-mir-892a	-0.0193883857411934	0.980798360161635	0.0116754439285327	-1.66061229533308	0.096791337991262	age	0.0595501182435381	1.06135895309307	0.00746856303254301	7.97343719053563	1.54321058527804e-15	gender	-0.0879049994642088	0.915847878629819	0.183725295673402	-0.478458881462204	0.632323633554321	0.122470672560372
hsa-mir-937	0.103002760879458	1.10849446949139	0.0250137491099018	4.11784576661818	3.82430490021878e-05	age	0.0591502774734033	1.0609346633417	0.00736603261097148	8.03014059227769	9.73610292933117e-16	gender	-0.140735514316783	0.868719045065893	0.185724061595367	-0.757766727196613	0.448590644513881	0.000131726057674202
hsa-mir-940	0.0322122606273426	1.03273669138	0.0164146838657936	1.96240517884535	0.0497153303058388	age	0.0574335235124929	1.0591148620786	0.00732227643911981	7.84367047461497	4.37564415373907e-15	gender	-0.115587384625662	0.890842722877847	0.185661215325349	-0.622571517821366	0.533566132854962	0.0684966773102668
hsa-mir-942	0.122503206415199	1.13032274435223	0.0407199123858534	3.00843492133244	0.00262597036903011	age	0.0574454862517045	1.05912753206928	0.0073711476078442	7.79328936386681	6.52868743935393e-15	gender	-0.14032494145222	0.869075790762766	0.187057488170775	-0.750170136595173	0.453152242296828	0.00478853420234902
