gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new
hsa-mir-1301	0.0429336638178959	1.04386864629318	0.0079001477385938	5.43453935780927	5.49381704583509e-08	age	0.0182288093061291	1.01839596820828	0.00721886693212989	2.52516211720096	0.0115644927444612	gender	0.429069598403612	1.53582792184929	0.256466592368607	1.67300385769906	0.0943265366091523	Interaction	-0.0334856373435582	0.967068800808599	0.010798465407048	-3.10096259804682	0.00192892653454971	0.0355900911949997
hsa-mir-212	0.167875775835663	1.18278967046284	0.026724486728867	6.28172123711278	3.34844859422474e-10	age	0.00904629922004463	1.00908734064916	0.00709151375883032	1.27565136692857	0.202078787367933	gender	0.849223946913474	2.33783186611893	0.300856083100643	2.82269162770888	0.00476223527546708	Interaction	-0.169847675484766	0.843793337218764	0.0551277791422426	-3.08098164169682	0.00206319369246375	0.0355900911949997
hsa-mir-3130-1	0.0838474190027836	1.08746295496749	0.0402876565503481	2.08121857120178	0.0374139044518899	age	0.0115949884921982	1.01166247093845	0.00730054635116214	1.58823572024201	0.112233046646572	gender	0.439938468088058	1.55261168040685	0.247581034252218	1.77694737166289	0.0755768992325498	Interaction	-0.132672540248149	0.875751818633723	0.0599594393608519	-2.21270481616232	0.0269180031429898	0.18573422168663
hsa-mir-3130-2	0.112841805469631	1.11945482730971	0.0382010908107818	2.95388961609919	0.00313796224214511	age	0.0111702651345244	1.01123288549091	0.00726492380046569	1.53756122449741	0.12415593445307	gender	0.446610784983711	1.56300583554075	0.254298853071687	1.75624380365495	0.0790467881882471	Interaction	-0.144543729124001	0.86541706764539	0.0622980964807695	-2.32019495440955	0.020330333429607	0.17534912583036
hsa-mir-3170	0.190039559830075	1.20929743631209	0.0377131020517532	5.03908587443392	4.67760585667592e-07	age	0.0133568159747077	1.01344641672368	0.0073379697780113	1.82023316786234	0.0687235040965716	gender	0.31432300874449	1.36933197132153	0.256304268232608	1.22636665753544	0.220060727398631	Interaction	-0.125293916839037	0.882237559998972	0.0613238510154473	-2.04315147800283	0.0410374453229231	0.188772248485446
hsa-mir-326	0.0831744921076449	1.08673141806066	0.0159837217804826	5.20369994235058	1.95359350291365e-07	age	0.0104283448226783	1.01048290951876	0.00721927966440829	1.44451320733438	0.148594667324578	gender	0.596524478255721	1.81579697905642	0.236765887350225	2.51946969612788	0.0117531756869111	Interaction	-0.0996499420188484	0.905154219041913	0.0261314742140471	-3.81340682131439	0.000137064215841739	0.00945743089307999
hsa-mir-3613	0.0284127189110966	1.02882021036739	0.00956904913537297	2.96923116488828	0.00298545914378957	age	0.00890844051765329	1.00894823876621	0.00714262250534583	1.24722264280184	0.212315872698142	gender	0.714990722836142	2.04416771809172	0.302263339530328	2.36545630689826	0.018007868047099	Interaction	-0.0322753671522198	0.968239923895922	0.0121321318163921	-2.66032117361365	0.0078066170172111	0.0769509391696523
hsa-mir-3928	0.247367216887032	1.28064930249243	0.0443398594420564	5.57889041597647	2.42057667351415e-08	age	0.0126830419520668	1.01276381284095	0.00721561676988188	1.75772111470859	0.0787949733584976	gender	0.545303732031581	1.72513228074243	0.283462097087888	1.92372714953318	0.0543887930929059	Interaction	-0.249276587989302	0.779364380743904	0.112307919203164	-2.21958157321358	0.0264471842587907	0.18573422168663
hsa-mir-491	0.218378526891882	1.24405788786999	0.0521141245522698	4.19039039354583	2.78474910105654e-05	age	0.00926443290498171	1.0093074805983	0.00729536395514328	1.26990688359698	0.20411780088862	gender	0.511547671296375	1.66787051378242	0.290372908294908	1.76169214373415	0.0781213259407868	Interaction	-0.199754015777586	0.818932172697653	0.093710695911159	-2.13160316264175	0.0330394835444101	0.188772248485446
hsa-mir-5000	0.239493289615325	1.27060515834792	0.0935302001974105	2.56059849235687	0.0104492039998798	age	0.0137350372217602	1.01382979618779	0.00740935884631726	1.85374166734913	0.0637761274593634	gender	0.577064588610001	1.78080336049895	0.298157876776327	1.93543298218113	0.0529371852274681	Interaction	-0.322154128975292	0.724586501947861	0.155808829364204	-2.06762434638575	0.0386753608746452	0.188772248485446
hsa-mir-500b	0.0117687576480561	1.01183828194686	0.0157445782254377	0.747480020077132	0.454773858849733	age	0.0108798553224871	1.01093925617718	0.00715379511318708	1.52085084215391	0.128297272342085	gender	-0.375062492112676	0.687246329973916	0.315426356780423	-1.18906516228055	0.234414025993192	Interaction	0.0525896761745583	1.05399707626643	0.0253091969150001	2.07788798479772	0.0377196774317487	0.188772248485446
hsa-mir-550a-2	0.206124198202954	1.22890582241239	0.04693883517378	4.39133603209001	1.1265627557494e-05	age	0.0140150522311982	1.01411372349784	0.00714834297882966	1.96060153698624	0.0499255229528023	gender	0.49658180666813	1.64309524354865	0.303846269453707	1.63431924822031	0.10219183410456	Interaction	-0.154424135009966	0.856908499030931	0.0775772676208149	-1.99058486778325	0.0465265452317907	0.197935936097371
hsa-mir-5588	-0.214884381172009	0.806634696944382	0.0788035674023583	-2.72683570370417	0.00639448695771787	age	0.0114334608957816	1.01149907272815	0.0070604413753577	1.61936914251375	0.105367862024076	gender	-0.346449244860579	0.707194712142603	0.272424874428335	-1.27172397743627	0.203471208227687	Interaction	0.231865903765168	1.26095062875912	0.117661120105114	1.97062465118493	0.0487668248355841	0.197935936097371
hsa-mir-598	0.0259660104351871	1.02630606418411	0.00498856299157042	5.20510826044775	1.93883541032791e-07	age	0.0135802083311677	1.01367283819633	0.00709788235064412	1.91327605337602	0.0557127216788814	gender	0.515986138069355	1.67528975448624	0.254026297544162	2.03123118770666	0.0422315480525423	Interaction	-0.0273121140034339	0.973057489255591	0.00939374071136939	-2.90748008089872	0.00364353547948287	0.041900658014053
hsa-mir-618	-0.00398403778293292	0.996023887966606	0.0169727473736872	-0.234731460689114	0.8144171677537	age	0.0125999145682397	1.01267962793384	0.00730117274457033	1.72573845449827	0.0843944765636662	gender	-0.279866738185799	0.755884465279426	0.286951686525942	-0.975309612478955	0.329406703757104	Interaction	0.0721547030192028	1.07482160935068	0.0348724932177402	2.06910078292012	0.0385366302900357	0.188772248485446
hsa-mir-628	0.0513807387223576	1.05272362964018	0.0118809884478872	4.32461818709156	1.52796270246305e-05	age	0.00843806236560317	1.00847376315837	0.00721219054670411	1.16997218958105	0.242012160689959	gender	0.706387976384383	2.02665768667738	0.298510411405434	2.36637634532946	0.0179631738255851	Interaction	-0.051077781246909	0.950204759547003	0.0161579824832341	-3.16114844782809	0.00157148387146016	0.0355900911949997
hsa-mir-6509	0.250971243969024	1.28527312444601	0.0552288731947167	4.54420359228029	5.51433414805275e-06	age	0.0106354505114653	1.01069220795044	0.00733868777692121	1.44923054839747	0.147273209086693	gender	0.559541307581991	1.74986966423528	0.271659838901083	2.0597130214221	0.0394259838374508	Interaction	-0.236392357023701	0.789470858721264	0.0802494403835178	-2.94571969466659	0.00322204242359019	0.041900658014053
