gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	p_adjusted_new
hsa-mir-138-1	0.0260620561156525	1.02640464118228	0.0105516397507343	2.46995317612494	0.0135130738521749	age	0.00737480756094735	1.00740206842757	0.00811357482716496	0.908946761205165	0.363378228903456	gender	-0.0618669341099537	0.940007961465361	0.153800011505045	-0.402255718348399	0.687495840079144	0.0660639166106329
hsa-mir-138-2	0.0346966973255535	1.03530565020205	0.01656925825143	2.09404046934684	0.0362563753535226	age	0.00710111265541358	1.00712638534187	0.00809952460920903	0.87673203033913	0.380632204920344	gender	-0.0666280599693893	0.935543102563775	0.153652098449474	-0.433629352555176	0.664557616229655	0.14502550141409
hsa-mir-1468	-0.071996259410359	0.930534376551945	0.0257610269955772	-2.79477442505378	0.00519359401784072	age	0.00611631997224097	1.00613506285024	0.00819045954796323	0.746761513981465	0.455207530684483	gender	-0.101071772960141	0.90386815726451	0.153071279816697	-0.660292205573606	0.509066331042317	0.032880798892879
hsa-mir-195	-0.00722958734820685	0.992796483254008	0.00343495272244718	-2.10471233008885	0.035316356528431	age	0.0083931174043891	1.00842843836277	0.00804076706157493	1.04382048878122	0.296568450364193	gender	-0.0443404092567602	0.956628256926515	0.153747773940861	-0.288397081272968	0.773042801674297	0.14502550141409
hsa-mir-1976	-0.0329126800656081	0.967623048681314	0.0115542890278362	-2.84852490588698	0.0043922415378523	age	0.00919445550877196	1.00923685435998	0.00815004719577859	1.12814751717442	0.259257624334733	gender	-0.0317810758482545	0.96871863477202	0.15397553473422	-0.20640341274419	0.836475805243512	0.0322097712775835
hsa-mir-212	0.0370876407434567	1.03778396901131	0.00898250465150214	4.12887520601	3.6454218258944e-05	age	0.00837036350034589	1.0084054929399	0.00802909973752184	1.0425033657546	0.297178365827092	gender	-0.114128447815244	0.892143354657637	0.153649563724009	-0.742784066866899	0.457612423377157	0.00106932373559569
hsa-mir-219a-1	0.0522769979656597	1.05366756586649	0.0279063265448389	1.87330273949396	0.0610265918065176	age	0.00634087501948937	1.00636102092588	0.00808247943119866	0.784521021484246	0.432734452057392	gender	-0.0804994865903946	0.922655377283768	0.153055931942409	-0.525948165280419	0.598924222296172	0.188584508641875
hsa-mir-299	0.0492872798753111	1.05052210125279	0.0109017365793822	4.52104850602656	6.15340849493546e-06	age	0.0070829028887174	1.00710804597233	0.00818660760173668	0.865181676377753	0.38693908092521	gender	-0.124102095952144	0.883289655980627	0.154600682586826	-0.802726701303186	0.422132716262322	0.00054149994755432
hsa-mir-376c	0.0122750849938467	1.01235073306159	0.00622722406634448	1.97119693511405	0.0487013543619202	age	0.00712102373380294	1.00714643851391	0.00811419927691396	0.877600301740587	0.380160665483899	gender	-0.0960961639463148	0.908376658784214	0.153572105674754	-0.62573970399178	0.531485686390857	0.171428767353959
hsa-mir-377	0.0154849139231486	1.01560542644123	0.00836948988339368	1.85016221285755	0.0642901734006392	age	0.00727675503522119	1.00730329495291	0.0081383817286737	0.894128006994712	0.37125340591171	gender	-0.0992313993376775	0.905533144008228	0.153761725720217	-0.6453582572183	0.518695047759908	0.188584508641875
hsa-mir-411	0.0165085336460067	1.0166455524423	0.00495898671481592	3.32901348509047	0.000871541844412465	age	0.00658511055937432	1.00660684007081	0.00816077277295979	0.806922425434227	0.41971117785731	gender	-0.128752680405249	0.879191379914847	0.154772683728947	-0.831882456924592	0.40547529494851	0.00852174247869966
hsa-mir-412	0.0154261756104946	1.01554577324414	0.00411547984712824	3.74832976554577	0.000178016101092089	age	0.00831241720776168	1.00834706127312	0.008192545920405	1.01463175043769	0.310281398568896	gender	-0.107320333975254	0.898237890785279	0.153663212324067	-0.698412667235676	0.484919156766033	0.0027638154979406
hsa-mir-421	0.0282516912506547	1.02865455519379	0.0137212430835828	2.05897461903123	0.0394966699522186	age	0.00843673307251387	1.00847242260206	0.00816608172659507	1.03314335503615	0.301536816747045	gender	-0.0538406761729723	0.947583067036341	0.154399710842269	-0.348709695628734	0.727307264588954	0.146513077054412
hsa-mir-450a-1	0.0331431593207896	1.03369851222611	0.00931258751406636	3.558963528743	0.000372321224276188	age	0.00973909944837473	1.00978667881202	0.00813416751200595	1.19730746065899	0.231186737547448	gender	-0.153482907708528	0.857715424395573	0.15629747074416	-0.981992267550899	0.326103657628451	0.00468060967661493
hsa-mir-450a-2	0.0341856981564719	1.03477674502161	0.00999737244122892	3.41946830103988	0.00062743642400508	age	0.0105236060920387	1.01057917398845	0.00820460557071763	1.2826461919873	0.199616059210052	gender	-0.140633859466263	0.86880735905926	0.155634260144476	-0.903617618226941	0.366198195854586	0.00690180066405588
hsa-mir-4661	0.0421504979363432	1.04305144402882	0.0110489111971382	3.81490059828345	0.000136237762060148	age	0.00872648547712911	1.00876467224947	0.00796574041762657	1.0955021152609	0.273296719326948	gender	-0.0130790435091325	0.987006115509955	0.154631785057929	-0.0845818568558386	0.932593823503758	0.0027638154979406
hsa-mir-4709	-0.0869234902706467	0.916747233032706	0.030308767804592	-2.86793217167599	0.00413164099019294	age	0.0107954017165712	1.01085388231675	0.00807048000664058	1.33764059977702	0.181013622936252	gender	0.00900593204654206	1.00904660746755	0.15502177284685	0.0580946268459932	0.953673254322265	0.0322097712775835
hsa-mir-485	0.0081854333674259	1.00821902562029	0.00313568758008378	2.61041100504254	0.00904334986244449	age	0.00703607097438131	1.00706088227899	0.00816663157746521	0.861563412973895	0.388927811675003	gender	-0.109574303992738	0.89621556949284	0.154077969145554	-0.711161398351669	0.4769842261915	0.0496552034112081
hsa-mir-495	0.00890786996742679	1.00894766311072	0.00343908857023291	2.59018335396448	0.00959248247716521	age	0.00691221626814717	1.00693616077309	0.00818742135673828	0.844248264132442	0.398530689545444	gender	-0.105814649349203	0.899591372470548	0.153699205160522	-0.688452807798785	0.491167678914614	0.0496552034112081
hsa-mir-496	0.0213194145272919	1.02154829689738	0.00895302373626216	2.38125298841134	0.0172538578896614	age	0.00772979247440272	1.00775974444469	0.00817278434819375	0.945796700987353	0.344252288565711	gender	-0.0938826528179412	0.910389587625499	0.153352477124763	-0.612201736666837	0.540404292715625	0.0759169747145102
hsa-mir-497	-0.0142309634819371	0.985869818039742	0.00692780180914597	-2.05418166887361	0.0399581119239306	age	0.00671268245464425	1.00673526300459	0.00809238509465226	0.829506057377353	0.406818110606782	gender	-0.0696370764359774	0.932732269006003	0.153273479272753	-0.454332196061505	0.649589746235196	0.146513077054412
hsa-mir-548b	-0.0766462318668768	0.92621746187675	0.0274476533860823	-2.79245117200953	0.00523103618750348	age	0.00675051920841886	1.00677335531949	0.00801022743303192	0.842737520857601	0.399375257781707	gender	-0.0639182750572462	0.938081661068156	0.153253165565079	-0.417076376997272	0.676622543177086	0.032880798892879
hsa-mir-548v	-0.0547170168108696	0.946753025239713	0.0294194977110294	-1.85988956535978	0.062901151946074	age	0.00557877880364656	1.00559436916837	0.00810924772604236	0.687952692051896	0.491482573110012	gender	-0.135067280127096	0.873657129947894	0.154236296079991	-0.875716569704491	0.381184135204323	0.188584508641875
