gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..
ENSG00000146083.10	-0.263406827084798	0.768429215894062	0.283647861574775	-0.928640271153107	0.353075544285767	age	-0.0552662284497004	0.946233200219195	0.0238832359444967	-2.31401760540892	0.0206667564414228
ENSG00000273055.1	-1.50066244045591	0.222982398650414	0.667408614448885	-2.24849126602163	0.0245448813987599	age	-0.0625417908512963	0.939373804762181	0.0221125453871218	-2.82833973911119	0.00467901217205411
ENSG00000120662.14	-0.764260999833072	0.46567793992266	0.402920490916339	-1.89680350605887	0.0578538764312285	age	-0.0508581942322258	0.950413435083871	0.0223771759079173	-2.27277090020245	0.0230399895151142
ENSG00000013392.7	-1.13048318702442	0.322877208647459	0.479915049597224	-2.35559019866786	0.0184933067038419	age	-0.0708065786794684	0.931642074141752	0.0232130749498022	-3.05028863399555	0.0022862153761175
ENSG00000109618.10	-1.31389503154682	0.268771142854859	0.463928813135275	-2.83210482803902	0.00462426857241314	age	-0.0358476171914747	0.964787299280554	0.0219472990229548	-1.63334983288747	0.102395441620638
ENSG00000164114.17	-0.815113645021099	0.442589026463931	0.381868710601738	-2.13453897214219	0.0327986870063381	age	-0.0669600178334592	0.935232593214564	0.0254973015102052	-2.6261609608632	0.00863539715209206
ENSG00000149089.11	-0.436918303137768	0.646024207405449	0.309998316944872	-1.40942153313518	0.158710560540096	age	-0.0566279022223261	0.944945616121366	0.0229661677850526	-2.46570968009656	0.0136742115444855
ENSG00000152942.17	-0.735163792547807	0.479426925985816	0.350341065425974	-2.0984231227759	0.0358677844540021	age	-0.0361215760454693	0.964523023459698	0.0233828879523567	-1.54478677394632	0.122397847480674
ENSG00000142507.8	0.0013566427797243	1.00135756343583	0.287121887213848	0.00472497165886166	0.996230032090815	age	-0.0591149926292419	0.942598371059721	0.0238323792713225	-2.48044863486941	0.0131217167852421
ENSG00000150773.9	-1.18254606564805	0.306497381875253	0.39881012243966	-2.96518568388888	0.00302500285950253	age	-0.0401562240179246	0.960639352489635	0.0220933507939192	-1.81757056195282	0.0691297943928698
ENSG00000251615.3	-0.947982534833225	0.387522047577457	0.398134722411342	-2.38105968023004	0.0172629149229972	age	-0.0544853541814183	0.946972377941912	0.0211928287851937	-2.57093353292621	0.0101424790930577
ENSG00000272734.1	-1.99023580423326	0.136663195885619	0.913441494664194	-2.17883226879783	0.0293441308339727	age	-0.0378609923712166	0.962846774636052	0.0231608668431221	-1.63469669022599	0.102112646685489
ENSG00000255153.1	-1.57450862350905	0.207109296321159	0.660464559174287	-2.38394112392268	0.0171283424466031	age	-0.0628102210751709	0.939121682281628	0.022055190958991	-2.84786566536464	0.00440134986469076
ENSG00000175309.13	-0.819848746398601	0.440498276418189	0.442381357997846	-1.85326242070669	0.0638447546714064	age	-0.0465985869982524	0.954470457554049	0.0234574263037187	-1.98651746337854	0.0469758957068757
ENSG00000119471.13	-0.301054416372297	0.740037501494815	0.427581685088956	-0.704086322850017	0.481379017108454	age	-0.0509225329024585	0.950352288714345	0.0255384830298592	-1.99395292362983	0.0461571994323413
