gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..
ENSG00000167578.15	-0.361739910202259	0.696463487334639	0.117270102481441	-3.0846729264137	0.00203776110604149	age	0.033951391343183	1.03453431818226	0.00774346007710674	4.38452461885341	1.16239337274158e-05	gender	0.10983200137151	1.1160905530258	0.166141048186411	0.661076853495457	0.508563028372147
ENSG00000078237.5	-0.0398297336681879	0.960953043173504	0.0709893948316857	-0.561065969961054	0.574752565675916	age	0.0321647550725993	1.03268763181588	0.00780650431237043	4.12025072754139	3.78460326466999e-05	gender	0.0948642041222447	1.09950953612532	0.166887519628147	0.568431985409201	0.569741676803552
ENSG00000146083.10	-0.156422636207162	0.855197676479608	0.0821905314266346	-1.90317100391046	0.057018235392444	age	0.0306353335756378	1.031109424332	0.00784230565389931	3.90641922511723	9.36739370466242e-05	gender	0.0758463344650096	1.07879678753426	0.166354152938086	0.455932918568244	0.648438216993522
ENSG00000198242.12	-0.0646386210329718	0.937406161044775	0.0873602647552744	-0.739908712662975	0.459355387400049	age	0.0326973879860688	1.03323782174955	0.00782196602197768	4.180200718617	2.91251901074585e-05	gender	0.0903542887474665	1.09456200602047	0.166371799315226	0.54308656346423	0.587070203452081
ENSG00000134108.11	0.0248183231468036	1.02512886141979	0.0743709180669394	0.333710054842476	0.73859836146401	age	0.0319671645451587	1.03248360267981	0.00778053394871911	4.10860806672804	3.98050936226044e-05	gender	0.0935758077182324	1.09809384417484	0.167528119578348	0.558567767332157	0.576456743075054
ENSG00000167700.7	0.0254278352981158	1.02575388037646	0.0737152546947717	0.344946719690561	0.73013442647912	age	0.0319817395764155	1.03249865127025	0.00778098366596266	4.11024376215018	3.95241656385845e-05	gender	0.0843386254069717	1.08799725495033	0.166432379679246	0.506744093724502	0.612334387703306
ENSG00000060642.9	0.166644173428567	1.18133384054345	0.073744205536885	2.25975955962012	0.0238361775512759	age	0.0337205835645308	1.0342955671682	0.0077829233523991	4.33263724152396	1.47333761769648e-05	gender	0.128908504482754	1.13758603538126	0.167511655912933	0.769549460783535	0.441567194176096
ENSG00000182141.8	-0.229441618625688	0.794977379155015	0.0918726773466299	-2.49738687553449	0.0125112376876351	age	0.0316355480361576	1.03214127083647	0.00776314955941551	4.07509191907664	4.59961752244693e-05	gender	0.0453737850375772	1.04641892255377	0.166776600363759	0.272063256707546	0.785573381145784
ENSG00000070087.12	0.0929199625553807	1.0973739007503	0.0776866275477319	1.19608696488066	0.231662623864275	age	0.0325314455831168	1.03306637800787	0.00779327485433267	4.17429722307701	2.98907314719837e-05	gender	0.0777131892042796	1.08081262548264	0.166548611778727	0.466609648524286	0.640779182638352
ENSG00000153561.11	0.0182308122935583	1.01839800804464	0.0779847467214224	0.233774078393593	0.815160374463548	age	0.0321461221346531	1.03266838999059	0.0077746958273727	4.13471122837693	3.554012382872e-05	gender	0.0895015948383119	1.09362907747251	0.166631782479923	0.537121991412986	0.59118335112218
ENSG00000179262.8	0.137416598094626	1.14730601447405	0.0704396831707878	1.95084066124271	0.051076003217576	age	0.0320329432472951	1.03255152034491	0.00782734115579006	4.09244245392314	4.26853195230174e-05	gender	0.109778868643516	1.11603125366541	0.166890234447069	0.657790846823539	0.510672536787296
ENSG00000127511.8	-0.108596659521488	0.897092178125373	0.0832440668438216	-1.30455735332143	0.192043617990805	age	0.0325404768022418	1.03307570789883	0.00780459610256103	4.16939920716254	3.05403641197292e-05	gender	0.0572154978488216	1.05888397302868	0.167569535636593	0.341443315644823	0.732769871000135
ENSG00000064601.15	0.0918112926126053	1.09615794945942	0.061203128087106	1.50010784549994	0.133586469017499	age	0.0318999600240135	1.03241421744523	0.00777300418623034	4.1039422158711	4.06168952705052e-05	gender	0.0967079423075371	1.10153861381138	0.166454362536325	0.580987730414291	0.561248722892576
ENSG00000227766.1	-0.00313721787756358	0.996867698048322	0.0660816678985406	-0.0474748591754729	0.96213476720808	age	0.0320642718866326	1.03258386928581	0.0077771622111042	4.12287554461078	3.74171884572482e-05	gender	0.0860914974657625	1.08990604738429	0.167141874700374	0.515080362836028	0.606496864355159
ENSG00000008517.15	-0.190044382571373	0.826922432185043	0.0917387532243722	-2.07158235633056	0.038304406745723	age	0.0311815924515798	1.03167283087601	0.00770209516395723	4.04845587957642	5.15566504465028e-05	gender	0.118279593536206	1.12555876633323	0.16709277006765	0.707867811924594	0.479027350185098
ENSG00000088179.7	-0.0175314075441256	0.982621373456277	0.0770961668765189	-0.227396617165219	0.82011535050758	age	0.0319257548275424	1.0324408487106	0.00780912157310314	4.08826454149514	4.34612372408232e-05	gender	0.0802258366789592	1.08353174125578	0.1688276888325	0.475193596700564	0.63464899072334
ENSG00000070081.14	0.0570463189203215	1.05870484732529	0.0776894975624692	0.73428610957937	0.462774381851694	age	0.0323563764683373	1.03288553582197	0.00782090098417976	4.13716738439577	3.51619613978709e-05	gender	0.0849748309149061	1.08868966503074	0.166296107243909	0.510985087523862	0.609361498919361
ENSG00000275479.1	-0.0537051570633931	0.947711491351616	0.0762952287732812	-0.703912393040767	0.481487333112849	age	0.0318739453712898	1.03238735989724	0.00777189176358025	4.10118235571086	4.11044466053008e-05	gender	0.0843842289648898	1.08804687262752	0.166329513911099	0.50733166339915	0.611922125416337
ENSG00000161558.9	0.0119496565937937	1.01202133898224	0.0832756667581426	0.143495177630929	0.885899119531355	age	0.0321141616676072	1.03263538595396	0.00777871612972574	4.12846556321621	3.6519211937452e-05	gender	0.0862315271924392	1.09005867731633	0.16635996911216	0.518343010356668	0.604218969226483
ENSG00000179833.4	-0.085339395462901	0.918200598394913	0.0800949727181765	-1.06547755204534	0.286659878649323	age	0.0323316590028264	1.03286000582488	0.00778100237232458	4.15520487666518	3.24996194096295e-05	gender	0.0795382723066304	1.08278699949249	0.166434834228745	0.477894382358171	0.632725379931856
ENSG00000057294.12	-0.0231737096631192	0.977092738580059	0.0768865104008604	-0.301401501281555	0.763108349653435	age	0.0320308472719132	1.03254935614461	0.00778131034684653	4.11638218296923	3.84865923315162e-05	gender	0.089683761688225	1.09382831858354	0.16648185273185	0.538699925647016	0.590093925049501
ENSG00000022567.8	0.000888195879691043	1.00088859044246	0.0771979937849776	0.0115054269695786	0.990820199985083	age	0.0320698936985626	1.03258967429444	0.00779739392731114	4.11289900157983	3.90721353920027e-05	gender	0.0868793942640573	1.09076511925502	0.166292314197398	0.522449847928189	0.601357156632515
ENSG00000120662.14	-0.139834277282105	0.869502319747095	0.0834515140262138	-1.67563499492868	0.093809709795419	age	0.0306337040315145	1.03110774409507	0.00781835541956333	3.918177466691	8.92210103321014e-05	gender	0.0741637822659583	1.07698318179808	0.166393570730834	0.445713028094873	0.65580455254522
ENSG00000225630.1	-0.0219356623229923	0.978303174780165	0.0941514491148384	-0.232982737166764	0.815774810690638	age	0.0320275614701053	1.03254596339765	0.00777970517880208	4.11680915073402	3.84153923454019e-05	gender	0.0897767862782128	1.0939300762473	0.166722698236818	0.538479686495303	0.590245925451489
ENSG00000164283.11	-0.115067912948869	0.891305610658996	0.0930111286316558	-1.23714134686573	0.216034611995031	age	0.0313342153778739	1.03183029981882	0.00778471213638379	4.02509621793536	5.69520243284542e-05	gender	0.0654498927047189	1.06763923945857	0.166796722281383	0.39239315862758	0.69476774019289
ENSG00000013392.7	-0.111210395101874	0.894750478006114	0.0793707758980591	-1.40115040886974	0.161169100203105	age	0.0320535997326906	1.0325728494506	0.00776827983819531	4.12621589339361	3.6878108888507e-05	gender	0.0740286797984619	1.07683768854124	0.166497683521715	0.444622881427698	0.656592308923069
ENSG00000184178.14	0.0743735659263856	1.07720913897241	0.0726350039889472	1.02393559361135	0.305865696921156	age	0.0329171360324917	1.03346489869131	0.00784453843108764	4.19618519580989	2.71448314568202e-05	gender	0.0572563478791023	1.05892722935455	0.169020281988653	0.338754303361925	0.734794828526929
ENSG00000166913.11	-0.147330773114356	0.863008470200463	0.0840530438861012	-1.75283090656421	0.0796310363266621	age	0.0336315475749627	1.03420348173839	0.00788424128085955	4.26566696488723	1.99305897043219e-05	gender	0.0610722673844066	1.06297572988721	0.166788502908591	0.366165930620993	0.714241262860165
ENSG00000130204.11	-0.107947561625941	0.897674667796264	0.0765662853690791	-1.40985762996849	0.158581725723325	age	0.0340833488605453	1.03467084176997	0.00791382492111348	4.30681108064617	1.65624947696563e-05	gender	0.0895995004105357	1.0937361550948	0.166188531866616	0.539143702662038	0.589787702385183
