gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..
ENSG00000167578.15	-0.0719725181512239	0.930556468871962	0.08627793421305	-0.834193804101741	0.404171782031403	age	0.0223396522978899	1.02259105089242	0.00837023176975807	2.66894070706665	0.00760908814818031	gender	-0.244237914926205	0.783301253032492	0.180335512290378	-1.35435284944283	0.175623832708018
ENSG00000078237.5	-0.145119353890819	0.864919055495442	0.089937520199459	-1.61355742930181	0.106623456994591	age	0.0220106278171303	1.02225464874817	0.00836155461099849	2.63236070816045	0.00847937848499531	gender	-0.242081649838348	0.784992080458633	0.180441174532446	-1.34160980976555	0.179722543805813
ENSG00000146083.10	-0.0757259553250861	0.927070230410766	0.0874096106126029	-0.866334431584435	0.386306789554635	age	0.0217960880863739	1.02203535803519	0.00826086275502703	2.63847599611919	0.00832795959475317	gender	-0.260850045147182	0.770396435637886	0.180702030049066	-1.443536882659	0.148869290452947
ENSG00000198242.12	-0.011335101317679	0.988728898898705	0.0806330621160147	-0.140576346975017	0.888204635033021	age	0.0219162526191267	1.02215817781559	0.00832590963075601	2.63229527956535	0.00848101176899492	gender	-0.2489745094956	0.779599845524717	0.180361036245496	-1.38042292658327	0.167456465180702
ENSG00000134108.11	0.128921260545146	1.13760054659225	0.0850965815100239	1.51499928971835	0.129772583990651	age	0.0220297136442525	1.02227415950986	0.00832951849083047	2.64477636594526	0.00817449226514345	gender	-0.257517736958358	0.772967916092155	0.180370169031302	-1.42771799982994	0.15337304312849
ENSG00000167700.7	-0.134495819917715	0.874156532915172	0.0913374389259554	-1.47251577774966	0.140881649562957	age	0.0233066912678829	1.02358041458852	0.00837143250366158	2.78407444098592	0.00536807123845257	gender	-0.252657619516042	0.776733774788578	0.180272932632455	-1.4015283150198	0.16105614644282
ENSG00000060642.9	-0.0724418173261069	0.930119861946586	0.0879452791725566	-0.823714678123535	0.410101697306677	age	0.0219121991861596	1.02215403457433	0.0083363127952609	2.62852411183712	0.00857562757512313	gender	-0.258148832337567	0.77248025350902	0.180578014597792	-1.42956955702803	0.152840598149741
ENSG00000182141.8	-0.0915376586911972	0.912526950934286	0.08999447725204	-1.01714751267275	0.309083260650115	age	0.021594188575424	1.02182903042566	0.00829740923030625	2.60252182049203	0.00925409260241719	gender	-0.263536058400226	0.768329917192069	0.180669090265102	-1.45866710245527	0.144656754829266
ENSG00000269416.4	-0.0807718098185456	0.922404151001884	0.090507991832129	-0.8924273777763	0.372163902083997	age	0.0230296590687402	1.02329688912992	0.00839535421603547	2.74314322851948	0.00608541358984108	gender	-0.242564750766384	0.784612941644592	0.180447347432167	-1.34424115520772	0.178870417277917
ENSG00000166391.13	-0.138900310392729	0.870314785472959	0.103539097271073	-1.34152522142508	0.179749986593389	age	0.0210511294452063	1.02127426748933	0.00834996357593757	2.52110434419979	0.0116987155650521	gender	-0.250711509381952	0.778246856093068	0.180247179581823	-1.39093166374979	0.164246149997784
ENSG00000070087.12	0.0426239421969194	1.04354538766664	0.0661980730762968	0.64388493827899	0.519650049353354	age	0.0214680340378418	1.02170013018768	0.00833982444121029	2.57415898729953	0.0100484087283745	gender	-0.246599301321818	0.781453758292878	0.180383005810089	-1.36708721652772	0.171597969677672
ENSG00000153561.11	-0.155979038908788	0.855577124013199	0.0910957659501113	-1.71225344319746	0.0868499724178515	age	0.0214730994648846	1.02170530554826	0.00827641971571184	2.5944913625055	0.0094730993828668	gender	-0.283439557389808	0.753188645451975	0.181123881681015	-1.5648933468033	0.117607918966933
ENSG00000179262.8	-0.268304391332833	0.7646749852362	0.101527850192991	-2.64266790661697	0.00822556696036594	age	0.0251328540105265	1.02545134679915	0.00839251761273382	2.99467396677165	0.00274738334776278	gender	-0.273318627242303	0.760850321363106	0.180450772077141	-1.51464371194523	0.129862656099675
ENSG00000127511.8	0.0154124941292043	1.01553187916869	0.0821202438851122	0.187682030642368	0.851125917414321	age	0.0218165261836261	1.0220562467067	0.00831211366832391	2.62466648726969	0.00867338779525806	gender	-0.245822527448131	0.782061006972735	0.181492985966176	-1.35444643295441	0.175593992293599
ENSG00000064601.15	-0.088000470255428	0.915760446081904	0.0930439808748765	-0.945794337559236	0.344253494261987	age	0.0221618805367832	1.02240927923782	0.00827479066327208	2.67824062730062	0.00740100278878449	gender	-0.25861710412544	0.772118607480537	0.180701786808435	-1.4311817757486	0.152378125192811
ENSG00000227766.1	-0.0894865420582883	0.914400570991084	0.086370127201452	-1.0360820917812	0.300163846111569	age	0.0225730164725845	1.02282971485579	0.0083379412873306	2.70726498241046	0.00678400848469184	gender	-0.261261077765972	0.770079842642921	0.180524798697692	-1.44723096023767	0.147832248059511
ENSG00000008517.15	-0.145268600346356	0.864789979024425	0.093713568870109	-1.55013411715975	0.121109328817256	age	0.02347135353089	1.02374897353322	0.00840437455532494	2.79275434196573	0.00522613642294811	gender	-0.218701729388202	0.803561361151426	0.181113072543134	-1.2075424833628	0.227223294420523
ENSG00000088179.7	-0.0124880573886016	0.987589594822206	0.0866926961290127	-0.144049705986965	0.885461219204244	age	0.0217930076508634	1.02203220972603	0.00831227728146095	2.62178545216109	0.00874704768090492	gender	-0.249720970130674	0.779018122072762	0.180284479902131	-1.38514957175591	0.166006736711913
ENSG00000070081.14	0.0747090610556742	1.07757059802225	0.0942390740930667	0.792760983431295	0.427917092403589	age	0.0217809808416102	1.02201991801351	0.00827843759652631	2.63104971048518	0.008512158421223	gender	-0.251787549193177	0.777409881882495	0.180360255155128	-1.39602568745877	0.162706759916626
ENSG00000161558.9	-0.0478655403453332	0.953261953733796	0.0914775770966786	-0.523248886388259	0.600801065617169	age	0.021855444678943	1.02209602437199	0.00835151963760639	2.61694226048745	0.00887213475516217	gender	-0.256859198743764	0.77347711264785	0.180742312182584	-1.42113485017436	0.155277560231461
ENSG00000196167.8	-0.202496815806011	0.81668908309044	0.121171831908908	-1.67115419991537	0.0946912240583726	age	0.0212009303446088	1.02142726675257	0.00834536374268286	2.54044413141339	0.011071178008284	gender	-0.259249587097765	0.771630410013258	0.180520641814561	-1.43612156754948	0.150967751996933
ENSG00000179833.4	0.123172296203272	1.13107928482623	0.0827749979304398	1.48803744225739	0.136741019595854	age	0.0223172476813965	1.02256814038874	0.00835888831889811	2.66988226543723	0.00758778475475509	gender	-0.256190854427944	0.77399423446797	0.180414208591346	-1.4200148448853	0.155603359333016
ENSG00000057294.12	-0.174895547891522	0.839544708404503	0.0934879612653641	-1.87078149447589	0.0613753736303554	age	0.0231774305396246	1.02344811438949	0.00831099882668702	2.7887659501528	0.00529092863582577	gender	-0.225697672738112	0.797959310055208	0.180727363257471	-1.24882955558077	0.211727421366805
ENSG00000273055.1	0.0358858118672712	1.03653747945371	0.0768214500227161	0.467132706511784	0.640404935407934	age	0.0220089418162799	1.02225292522742	0.00831785691605081	2.6459870659484	0.00814529308041986	gender	-0.24143887509838	0.785496815737192	0.181256567568472	-1.33202828640774	0.182850893678088
ENSG00000264091.1	-0.0369965637524382	0.963679446784513	0.0890689752380039	-0.415369814838204	0.677871200244635	age	0.0218490197442312	1.02208945749286	0.00829760027595144	2.63317332934864	0.00845911657475211	gender	-0.24822344947107	0.780185591741569	0.1802592092373	-1.37703616098914	0.168501068134168
ENSG00000022567.8	-0.141296777033456	0.868231602259167	0.0887329797285597	-1.59238174425893	0.11129895561624	age	0.0231288336910266	1.02339837924493	0.00830785777102238	2.78397082960417	0.00536978632718729	gender	-0.237535530388593	0.788568872324857	0.180338681688003	-1.31716350682625	0.187783823410973
ENSG00000120662.14	-0.313358692945475	0.730987665419777	0.136200874314822	-2.30070984875736	0.0214080370330112	age	0.0225238018174123	1.02277937788274	0.00824347139319189	2.73232000732292	0.00628900240732808	gender	-0.298665187279303	0.741807734527322	0.181174663540434	-1.64849312504807	0.0992515203214425
ENSG00000225630.1	-0.112353136343953	0.893728593719388	0.0931697956086777	-1.20589656347265	0.227857375863657	age	0.0217664840803771	1.02200510214218	0.00829015520535363	2.62558221664182	0.00865009158267383	gender	-0.248179782867752	0.780219660540147	0.180332838489991	-1.37623177756129	0.168749886751015
ENSG00000164283.11	0.0454877717171982	1.04653820717054	0.0851403683735223	0.534267969309661	0.593156149661608	age	0.021297247408231	1.02152565236564	0.00836174810647368	2.54698504870562	0.0108658088493865	gender	-0.236067542220682	0.789727332193664	0.182361215166592	-1.29450520498576	0.195490972579117
ENSG00000013392.7	-0.138380255456752	0.870767514684825	0.100794127308311	-1.37289998090337	0.169783442536553	age	0.0224610879664424	1.02271523746053	0.00832043647134665	2.69950837841168	0.00694420072209528	gender	-0.239838348196015	0.78675503115772	0.180449789481981	-1.32911403712091	0.183810349856186
ENSG00000184178.14	0.0991109713158006	1.10418882604721	0.0736933186286662	1.34491122343413	0.178653905350983	age	0.0216460700465785	1.02188204579427	0.0083071392514993	2.60571893539304	0.00916816597805973	gender	-0.250554805045019	0.778368820306533	0.180362247573802	-1.38917544228592	0.164779407385642
ENSG00000166913.11	-0.0442968079949232	0.956669968034948	0.0872047388629436	-0.507963312229428	0.611479072487765	age	0.0221909320849239	1.02243898224167	0.00833643108931218	2.66192233189261	0.00776958038894212	gender	-0.257863702686542	0.772700541938015	0.181012448577697	-1.42456336408188	0.15428345651725
ENSG00000130204.11	-0.0674534248027098	0.934771256757872	0.0918866132808492	-0.734094144884196	0.462891361801508	age	0.0226306812412649	1.02288869779529	0.00838276818679271	2.69966683283932	0.00694089455658126	gender	-0.243127971700475	0.784171155633943	0.180440048744513	-1.34741690324371	0.177845999625869
ENSG00000111863.11	0.144627702112696	1.15560925928528	0.079252495085614	1.82489777711678	0.0680164567371013	age	0.0221455297075547	1.02239256213496	0.00828216776188944	2.67388084185614	0.00749790875856113	gender	-0.232016761945201	0.792932832098611	0.18079853754223	-1.28328893086875	0.199390869247451
ENSG00000164182.9	0.0182072890640142	1.01837405231629	0.0810890971623702	0.224534366532119	0.822341528859255	age	0.0218171159685017	1.02205684950019	0.008296110660013	2.62980050081294	0.0085434987987224	gender	-0.253198881291167	0.776313472243948	0.180954188457688	-1.39924299873485	0.161740126372194
ENSG00000109618.10	-0.095042197056327	0.909334562416893	0.087843753001207	-1.08194599853926	0.279276523941675	age	0.0226097827557908	1.02286732119407	0.00828384195624257	2.72938364532081	0.00634528367737004	gender	-0.257733490676921	0.772801163379334	0.180415415382568	-1.42855581453725	0.153131941599239
ENSG00000153015.14	0.0554097426871971	1.05697361316901	0.079415013884171	0.697723767548713	0.48534996139374	age	0.0224890274443925	1.02274381198953	0.00837990830673217	2.68368419095057	0.00728158528649926	gender	-0.249212085387532	0.77941465339553	0.180331462538139	-1.38196675100345	0.166981910356317
ENSG00000149089.11	0.0384370518257613	1.03918531148102	0.0910547899683706	0.422131025057694	0.672929383527549	age	0.0215680476696228	1.02180231923835	0.00832929180555555	2.58942154664784	0.00961373262979597	gender	-0.244141189321379	0.783377021984292	0.180827596458362	-1.35013235868341	0.176973530415738
ENSG00000179632.8	-0.0317717927279302	0.968727627545408	0.0815131054299542	-0.38977527061869	0.696702731556518	age	0.0220875618842319	1.02233329798128	0.00833738712291163	2.6492187010885	0.00806781041250631	gender	-0.242114712066263	0.784966127300594	0.18130511069175	-1.33539926780056	0.181745704289207
ENSG00000114861.17	0.00183680568525544	1.00183849364615	0.0816547803518761	0.0224947722269299	0.982053282104862	age	0.0218773413597155	1.02211840512738	0.00843739350902625	2.59290281249907	0.00951696601277176	gender	-0.249967917614795	0.778825769258932	0.18064827870259	-1.38372709338863	0.166442034311712
ENSG00000138193.13	0.0456768165726678	1.04673606853641	0.0803362446383026	0.568570472497417	0.569647667954324	age	0.022557213698611	1.0228135514367	0.00841695484824657	2.67997323323056	0.00736280474440028	gender	-0.245528603208922	0.78229090744423	0.180447836761938	-1.3606624918028	0.173620373071916
ENSG00000152942.17	0.0128608410849467	1.01294389737765	0.0849637413058612	0.151368582495078	0.879684971405081	age	0.0218074720861924	1.02204699295175	0.00831455364990146	2.62280730925958	0.00872085796831239	gender	-0.248981676953384	0.77959425779576	0.180356109094565	-1.38050037896325	0.167432633048663
ENSG00000118363.10	-0.0886758228051689	0.915142193722343	0.0981190479833326	-0.903757472455625	0.366124016660042	age	0.0227500915247796	1.02301084851758	0.0083979040520258	2.70902017739672	0.00674822356464651	gender	-0.24654305581468	0.781497712791928	0.1802704837861	-1.36762852485166	0.171428383042861
ENSG00000136169.15	-0.186054996234496	0.830227934316201	0.0887827888849629	-2.09562009226326	0.0361159054179782	age	0.0228778039491158	1.02314150805642	0.00829690977154863	2.75738854333059	0.00582650727650155	gender	-0.27359602276738	0.76063929415906	0.18078236094084	-1.51339998738546	0.130178088211961
ENSG00000121644.17	0.0878865296366705	1.09186422076893	0.0791560070285089	1.11029513660305	0.266871868137189	age	0.0221216990276105	1.02236819811535	0.00830982327021264	2.66211426022836	0.00776515145015701	gender	-0.250480059877287	0.778427001788929	0.180285263704637	-1.38935404220087	0.164725118008295
ENSG00000138495.5	-0.00151307295359799	0.998488071164166	0.0847670306763412	-0.0178497812359999	0.985758691390458	age	0.021853359141124	1.0220938927543	0.00832304702561944	2.625644078888	0.00864851982186583	gender	-0.249697943027011	0.779036060810353	0.180285381805472	-1.38501491649742	0.166047906311428
ENSG00000204528.3	0.0425102370735258	1.04342673795524	0.0792315206270028	0.536531884496458	0.591591005943973	age	0.0217847894869513	1.02202381053232	0.00832646961266739	2.61632966915645	0.00888806970652621	gender	-0.244629147267295	0.782994860188792	0.180620203953574	-1.35438418245931	0.175613841315341
ENSG00000169992.8	0.130961642810287	1.13992405619013	0.0829452260807625	1.57889307195054	0.114360585379826	age	0.0236485055147686	1.0239303487599	0.00845850140910724	2.79582686943887	0.00517671237463114	gender	-0.281824343356115	0.75440618935442	0.181534862097491	-1.55245301150346	0.120553867552523
ENSG00000127564.15	-0.213936146876769	0.807399938384505	0.0976435932959629	-2.19099010652257	0.0284525084008809	age	0.0249680332137274	1.02528234501898	0.00846678579560747	2.94893880824063	0.00318867105110717	gender	-0.223917448963826	0.799381121385548	0.180482675844825	-1.24065896028905	0.214731761069731
ENSG00000277998.1	0.144753874487688	1.15575507444881	0.0794084152885338	1.82290345376769	0.0683180147475599	age	0.0223943837366902	1.02264702030357	0.0083465270659317	2.68307807065025	0.00729479589363035	gender	-0.27422225154906	0.760163109056551	0.180832875232039	-1.51644025566251	0.129408066510369
ENSG00000176973.7	-0.0681897356131291	0.934083227908877	0.0814183733290391	-0.837522696966094	0.402298824449117	age	0.0223439612798995	1.02259545722835	0.00837326023645723	2.66849000854097	0.00761930446905429	gender	-0.239593087697284	0.7869480147537	0.180616301815641	-1.32653080197513	0.184663939438482
ENSG00000159479.15	-0.109497881310315	0.896284063307897	0.0860376974225465	-1.27267331170604	0.203133991799202	age	0.0226321334429447	1.02289018323706	0.00832907789176583	2.71724358170776	0.0065828141295799	gender	-0.24960969935614	0.779104808845344	0.180299950299478	-1.38441357827076	0.166231853635997
ENSG00000112511.16	0.130487232963467	1.1393833932513	0.0783322397287842	1.66581771969324	0.0957497257039442	age	0.0229776594786428	1.02324367949459	0.00834694792610045	2.75282171184906	0.00590840630722185	gender	-0.278469469981033	0.756941376831735	0.181476724892116	-1.53446382805606	0.124915585462932
ENSG00000211950.2	0.0226255560938891	1.0228834553534	0.0813065769763044	0.278274611173005	0.780801564059045	age	0.0217223731751757	1.02196002156628	0.0083192284359668	2.61110430400765	0.00902503629250581	gender	-0.249519873254768	0.77917479593617	0.180281357864805	-1.38405809790874	0.166340665919915
