gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
hsa-let-7a-1	-1.4591576597067e-05	0.99998540852986	1.57914678487115e-05	-0.924016483892445	0.355477733543067	age	0.0188193343851219	1.01899753417026	0.00647164771552403	2.90796644260758	0.0036378737237665	gender	-0.438333154598461	0.645110825414249	0.375462321194774	-1.16744911501006	0.243029046343527	Interaction	6.15723291453813e-05	1.00006157422476	3.11364798746435e-05	1.9774980792072	0.0479853574169204
hsa-let-7a-2	-1.47273272447784e-05	0.999985272781202	1.58251207480494e-05	-0.930629691820437	0.352045150031672	age	0.0188086623243698	1.0189866594247	0.00647151223752052	2.90637823649949	0.00365639174444997	gender	-0.434384631949015	0.647663095652221	0.374465341458848	-1.16001291403026	0.246043548287931	Interaction	6.13872061949549e-05	1.00006138909043	3.11373046000319e-05	1.9715003268103	0.0486666756626848
hsa-let-7a-3	-1.47770313314412e-05	0.999985223077848	1.57856413406811e-05	-0.936105858009039	0.34921868721931	age	0.0187949159242529	1.01897265212264	0.00647206734835222	2.9040049975744	0.00368422279054907	gender	-0.433507608571587	0.64823136048215	0.375399122020522	-1.15479121591523	0.248175935100282	Interaction	6.08929945724888e-05	1.00006089484859	3.1031811026016e-05	1.96227653363312	0.0497302977305533
hsa-let-7b	-1.05749884288866e-05	0.999989425067486	9.53264636320646e-06	-1.10934445965638	0.267281612299347	age	0.0188973581683727	1.01907704331476	0.00651738645141022	2.89953009680494	0.00373722464198057	gender	-0.0393209896539298	0.961442046660454	0.323697989847923	-0.121474309038506	0.90331536241311	Interaction	1.46916867847399e-05	1.00001469179471	1.53108599239002e-05	0.959559871735632	0.337276773304167
hsa-let-7c	-0.00013738338049479	0.99986262605617	5.41474308330419e-05	-2.5372095846689	0.0111740035930326	age	0.0182733533840271	1.01844133272797	0.00647580899248091	2.82178696209915	0.00477568901297978	gender	0.0170286728976128	1.01717448724704	0.231760472299218	0.0734753115088048	0.941427889523682	Interaction	0.000108519256065066	1.00010852514449	0.000108641024300387	0.998879168931765	0.317853228452834
hsa-let-7d	0.000218883372795007	1.00021890732951	0.000345444987605482	0.6336272942104	0.526324083885188	age	0.0199774802275744	1.02017836558344	0.00652891781265733	3.05984556718496	0.0022145114843329	gender	-0.365788823364324	0.693649268262813	0.404844779894379	-0.903528565836406	0.366245434453652	Interaction	0.00123505038438333	1.00123581337319	0.000725588496122604	1.70213611569531	0.0887298550654453
hsa-let-7e	0.000123602282382937	1.00012360992146	0.000122853633730434	1.00609382587857	0.314370438395119	age	0.0216427703555959	1.02187867390486	0.00659043790602254	3.28396544572829	0.00102357471352202	gender	-0.326453740158531	0.721477749722979	0.263448378919973	-1.23915638235032	0.215287590084171	Interaction	0.000587638613538696	1.00058781130693	0.000205755736170964	2.85600112285775	0.00429013616942875
hsa-let-7f-1	5.73417471273825e-06	1.00000573419115	1.88651671147488e-05	0.303955680745349	0.761161656219124	age	0.019195587621597	1.01938100742746	0.0064990790619206	2.95358579865072	0.00314105280268101	gender	-0.0395773769448021	0.961195576736008	0.229516412227195	-0.172438112641919	0.863093111359102	Interaction	5.77666918258907e-05	1.00005776836035	3.25548458514863e-05	1.77444218564018	0.0759900371625887
hsa-let-7f-2	5.20135336761683e-06	1.00000520136689	1.85859402552166e-05	0.2798541960317	0.779589369810764	age	0.0191740389887155	1.01935904139703	0.00649753620922104	2.95097070201847	0.00316776963367652	gender	-0.0414979065924205	0.959351343652744	0.229628310527066	-0.180717728128428	0.856589142868658	Interaction	5.74433186236835e-05	1.00005744496852	3.21833928932539e-05	1.78487454117134	0.0742816690151819
hsa-let-7g	-0.000816440534965489	0.999183892661923	0.000392823815964347	-2.0783885848703	0.0376735832450286	age	0.0186819284874769	1.01885752751847	0.00644322286709268	2.89946954697015	0.00373794653796347	gender	-0.386727524251704	0.679276155992069	0.328852357698822	-1.17599133835582	0.239598337309618	Interaction	0.00120630848646314	1.0012070363692	0.000575049014539653	2.09774898480407	0.0359273252046615
hsa-let-7i	7.53256161334496e-05	1.00007532845318	0.000355455474309915	0.211912944313736	0.832174951831039	age	0.019112372508461	1.01929618305098	0.0064717472492309	2.95320131835067	0.00314496787770167	gender	-0.0358155437094585	0.964818243864895	0.426907612137491	-0.0838953035532279	0.93313967361955	Interaction	0.000366244867308352	1.00036631194315	0.000567028591623129	0.645901939900367	0.518342863219856
hsa-mir-1-1	0.000309454915691888	1.0003095028018	0.000118140582187905	2.61937862469386	0.008809011441593	age	0.0212887754215482	1.02151699805057	0.00658385957902396	3.23347956711801	0.00122292083861156	gender	0.19053035417875	1.20989109833077	0.165748682715784	1.14951353493084	0.250344288923889	Interaction	0.000197766294553327	1.0001977858516	0.000322108421588706	0.613974305849882	0.539232306283103
hsa-mir-1-2	0.00028329054905508	1.00028333067961	0.000110992868418586	2.55233109200051	0.0107004779270632	age	0.0211915767222927	1.02141771275237	0.00657853956115202	3.22131934075983	0.00127601881480165	gender	0.194103460743988	1.21422190075908	0.165287045338755	1.17434164514329	0.24025820884103	Interaction	0.000174154370918875	1.00017416953667	0.000300200731190672	0.58012640484963	0.561829378561849
hsa-mir-100	1.66407062474508e-05	1.0000166408447	2.62944348487486e-05	0.632860388259789	0.526824817336147	age	0.019047381091641	1.01922993970053	0.0064993844695203	2.93064384496196	0.00338260347589466	gender	0.0372164324025878	1.03791763553788	0.237762279614454	0.156527908728569	0.875616922380322	Interaction	7.21792347889585e-05	1.00007218183977	6.74059884825564e-05	1.07081338637497	0.284253346658188
hsa-mir-101-1	-7.28108807897835e-05	0.999927191769858	3.74870339090092e-05	-1.94229506038046	0.0521013906737625	age	0.0184839675386488	1.01865585347806	0.00644181319023213	2.86937341906724	0.00411285917538286	gender	-0.111374768777579	0.894603416668043	0.2914926741624	-0.382084280840376	0.702398850973431	Interaction	9.14603542336561e-05	1.00009146453686	6.74717007842685e-05	1.35553651635503	0.175246682476183
