gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..
hsa-let-7a-1	3.96782416348707e-05	1.00003967902883	1.80471732702313e-05	2.19858484432683	0.0279074555946148	age	0.0561048221054799	1.05770854916304	0.00735669616102817	7.62636119222826	2.41472668823058e-14	gender	-0.0849119618304652	0.918593152101341	0.184008475079068	-0.461456798628316	0.644470909388019
hsa-let-7a-2	3.97054999351369e-05	1.00003970628821	1.80506317660873e-05	2.19967369838732	0.0278300541718545	age	0.0561219719223793	1.05772668882654	0.00735707971133975	7.62829466641178	2.37879348804871e-14	gender	-0.0845250914484691	0.918948597336177	0.18400440675786	-0.459364495328092	0.645972440063871
hsa-let-7a-3	3.95377473883623e-05	1.00003953852902	1.80149438072926e-05	2.19471944022146	0.0281837293447173	age	0.0561125040180455	1.05771667441885	0.00735646919782682	7.62764072126092	2.39088765904759e-14	gender	-0.0846340569969625	0.918848469053597	0.18400500427878	-0.459955191592159	0.645548383437214
hsa-let-7b	1.07454449064593e-05	1.00001074550264	1.0386865871524e-05	1.03452235153227	0.300892033115568	age	0.0564358664894339	1.05805875560184	0.00738667912602398	7.64022174600829	2.16847948164227e-14	gender	-0.0966702028574184	0.907855364871943	0.185233108691842	-0.521884038658776	0.601751072172539
hsa-let-7c	5.47841747910777e-05	1.00005478567547	1.4963615379432e-05	3.66115897808897	0.000251076895617723	age	0.0607192426006348	1.06260053933969	0.00736330000464035	8.24619974228532	1.63511271420821e-16	gender	-0.139121492083601	0.870122309064031	0.186833638801502	-0.744627642945006	0.45649685214351
hsa-let-7d	0.000821713209230116	1.00082205090802	0.000370252433613818	2.21933236524566	0.0264641212794691	age	0.0572159962219883	1.05888450074817	0.00734434471478764	7.7904834868093	6.67532643647522e-15	gender	-0.0758621901169407	0.926943939793675	0.183900917190231	-0.412516649052202	0.679960780156259
hsa-let-7e	0.000259154825273936	1.00025918840879	5.23992292914551e-05	4.94577551575166	7.58413185649994e-07	age	0.056949245361074	1.05860208006564	0.00727994572055149	7.8227568648355	5.1678859990658e-15	gender	-0.0733828964154155	0.929244957335745	0.184490644147976	-0.397759446037583	0.690807513361376
hsa-let-7f-1	0.000180896423902781	1.00018091278665	3.42085747881328e-05	5.28804327637571	1.23631732605968e-07	age	0.0563847130371627	1.05800463362806	0.00731550463768234	7.70756302261415	1.28242980937406e-14	gender	-0.0636339115059646	0.93834845523216	0.184701063463148	-0.344523795980531	0.730452403541734
hsa-let-7f-2	0.000177958638734387	1.00017797447431	3.34787734047213e-05	5.31556627189008	1.06326142107275e-07	age	0.0565093210587676	1.05813647770655	0.00731609241438064	7.72397584094098	1.1275622163302e-14	gender	-0.0645070590500973	0.93752949617101	0.184675483938537	-0.349299526252041	0.726864454076268
hsa-let-7g	0.00106307236198316	1.00106363762369	0.000346022601111501	3.07226279025803	0.00212442607181045	age	0.0562238516960639	1.05783445527174	0.00727586012413562	7.72745087684645	1.09721481660651e-14	gender	-0.037813403249263	0.962892596758942	0.184394377455896	-0.205068092481872	0.837518925153875
hsa-let-7i	0.00175894717293018	1.00176049502791	0.000441814783604666	3.98118677374111	6.85720396278338e-05	age	0.0578641208743006	1.05957101234557	0.00735646589112425	7.86574990364803	3.66892885708169e-15	gender	-0.186785038836008	0.82962205374141	0.188546744972631	-0.990656395914556	0.321853389610309
