gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
hsa-let-7a-1	3.7891661091691e-05	1.00003789237899	2.36955851805945e-05	1.59910214510011	0.109797908139656	age	0.0561152935863045	1.05771962499582	0.00735702588723751	7.62744272568752	2.39456133604036e-14	gender	-0.134048280155984	0.8745478402779	0.459252124851216	-0.291883853992862	0.770375428857501	Interaction	4.29494272513233e-06	1.00000429495195	3.67522024603827e-05	0.116862186144139	0.90696926386151
hsa-let-7a-2	3.79210467589557e-05	1.00003792176577	2.36982474765365e-05	1.60016249288058	0.109562540392976	age	0.0561329352764048	1.05773828512226	0.00735741963428948	7.62943233722805	2.35789646109139e-14	gender	-0.133572176181702	0.874964315115151	0.459009410051621	-0.291000953916566	0.771050589944998	Interaction	4.29080765707426e-06	1.00000429081686	3.67606539170071e-05	0.11672283269937	0.907079696074468
hsa-let-7a-3	3.78749894126274e-05	1.00003787570668	2.36955173203172e-05	1.59840314522918	0.109953285109292	age	0.0561219545922997	1.05772667049605	0.0073567681601801	7.62861536075995	2.37288452445393e-14	gender	-0.130360386002577	0.877779034634151	0.460254527955382	-0.283235423194392	0.776996375847847	Interaction	3.9759173819908e-06	1.00000397592529	3.66570237610527e-05	0.108462634825666	0.913628718703019
hsa-let-7b	2.32157741885961e-05	1.00002321604368	1.54459726552294e-05	1.50303090046816	0.132831075843886	age	0.0560896177810574	1.05769246754137	0.00741267667948715	7.56671580405933	3.82778051593365e-14	gender	0.253840517839544	1.28896622075715	0.37857131081413	0.670522331165697	0.502524875780653	Interaction	-2.27181815700208e-05	0.999977282076486	2.14250632961929e-05	-1.06035540039957	0.288982944186322
hsa-let-7c	8.0378292435975e-05	1.00008038152286	2.70230880184775e-05	2.97443032347062	0.00293533110226206	age	0.0608553281773465	1.06274515378665	0.00733959616958206	8.2913728182421	1.11948791700181e-16	gender	0.189094554976164	1.20815518416687	0.350099818745556	0.540116117893774	0.589116955862024	Interaction	-3.62018993393251e-05	0.999963798755942	3.24095455611124e-05	-1.11701348206385	0.26398856069739
hsa-let-7d	0.000993921888769858	1.00099441599282	0.00038351831666321	2.59158909910078	0.00955337998568766	age	0.0570303856398642	1.05868797881842	0.00736197462277643	7.74661535281907	9.43742809111128e-15	gender	0.207274599040043	1.23032037019167	0.365717940662303	0.566760817543368	0.570876694717325	Interaction	-0.000760482532386733	0.999239806561166	0.000864384006752606	-0.87979708838411	0.3789692422597
hsa-let-7e	0.000257300067095416	1.0002573331716	6.47196407848829e-05	3.97561024713715	7.01990137049658e-05	age	0.0570081220553076	1.05866440889146	0.00737688438908617	7.7279402859626	1.09300590312116e-14	gender	-0.0833212950245674	0.920055490474732	0.273854469163122	-0.304253917342268	0.760934450490515	Interaction	5.52091615604329e-06	1.0000055209314	0.000112323621953615	0.0491518708177271	0.960798266395009
hsa-let-7f-1	0.000174730110980299	1.00017474537718	4.45292350339949e-05	3.92394144761088	8.71119161453201e-05	age	0.0565166895836858	1.05814427464028	0.00733946449391273	7.70038326782017	1.35658717492011e-14	gender	-0.129170872116684	0.878823786234674	0.351386347268529	-0.367603559787632	0.713168860091198	Interaction	1.51638202192924e-05	1.00001516393519	6.90274559609706e-05	0.219678097768319	0.826121863454531
hsa-let-7f-2	0.000172572978035304	1.00017258786961	4.37165456236302e-05	3.94754378630554	7.89570806976222e-05	age	0.0566273653486609	1.05826139204824	0.00734074030609151	7.71412187155978	1.21818029100242e-14	gender	-0.122062407235566	0.885093130563525	0.349666623486931	-0.349082237298888	0.727027571373804	Interaction	1.3091058602432e-05	1.00001309114429	6.74184474991166e-05	0.194176209747393	0.84603791020451
hsa-let-7g	0.000900905588705011	1.00090131152604	0.000459946941949909	1.95871633559665	0.0501460162787929	age	0.0566973265585933	1.05833543188558	0.00732566471541767	7.7395470255781	9.97716319367154e-15	gender	-0.251515338657141	0.777621529848258	0.433098805049455	-0.580734316799652	0.561419529484585	Interaction	0.000385472104998504	1.00038554640892	0.000704643858937264	0.54704529119131	0.584347616677583
hsa-let-7i	0.00378013432204902	1.00378728804096	0.000594623961584302	6.35718465158606	2.05484932353783e-10	age	0.0601056877448038	1.06194877558583	0.00737094585421533	8.15440635891122	3.50899171435306e-16	gender	1.17883993589603	3.25060110913445	0.392978045332983	2.99976029169048	0.00270192152916774	Interaction	-0.0034921454979949	0.996513944950455	0.000896227760726111	-3.89649333687858	9.75954912957874e-05
hsa-mir-1-1	0.000199226413062937	1.00019924625996	0.0237331254605772	0.00839444486120757	0.993302280709858	age	0.0580094870253279	1.05972504930098	0.00736037924194028	7.88131767651091	3.23946540911921e-15	gender	-0.217484000168797	0.804540477328683	0.218671120498134	-0.994571206629238	0.319944857270408	Interaction	0.042806511856036	1.04373592478496	0.0344550617544723	1.2423867401857	0.21409390555772
hsa-mir-1-2	0.000865539099848003	1.00086591378691	0.0225186069115722	0.0384366183595134	0.969339565313577	age	0.0578310230138292	1.0595359433924	0.00735925898935021	7.85826712954634	3.8948399539078e-15	gender	-0.204191216641564	0.815306456118605	0.21932919904265	-0.930980542184253	0.351863629388739	Interaction	0.0379506962326376	1.03868002077792	0.0342118774832289	1.10928423180638	0.267307585216795
hsa-mir-100	3.17167918610205e-05	1.00003171729484	1.5899704100066e-05	1.99480390712988	0.0460642710750269	age	0.058173197857176	1.05989855197208	0.007455203503798	7.80303285182491	6.04368086285399e-15	gender	-0.198842182698394	0.819679242692138	0.281417612829797	-0.70657334023601	0.479831661232509	Interaction	1.03693641097495e-05	1.00001036941787	2.0060297740572e-05	0.516909780894099	0.60521913954639
hsa-mir-101-1	-2.4378493430876e-05	0.999975621803722	3.1404708998702e-05	-0.776268725555889	0.437590334839055	age	0.0579685659528977	1.05968168510274	0.00747836310487206	7.75150459264701	9.08100607711004e-15	gender	-0.2182575645128	0.803918354159288	0.341036854326377	-0.639982341333483	0.522184079782833	Interaction	2.50411455930388e-05	1.00002504145913	5.04590691299529e-05	0.496266499259975	0.619706398903859
hsa-mir-101-2	-2.43195471724587e-05	0.999975680748545	3.11784355756651e-05	-0.780011784537394	0.435383938706088	age	0.0579643610502067	1.05967722925374	0.00747605638483599	7.75333385229388	8.95108817844392e-15	gender	-0.222314121341447	0.800663819235939	0.341493771484149	-0.651004908157649	0.515043318554774	Interaction	2.55406065873514e-05	1.00002554093275	5.01806970811906e-05	0.508972733998246	0.610771336100222
hsa-mir-103a-1	8.26635102496074e-05	1.00008266692697	2.68329391218453e-05	3.08067296967514	0.00206533355059286	age	0.0575152768742573	1.05920145181853	0.00729924673597972	7.87961812425806	3.28383126080056e-15	gender	0.610333219491873	1.84104476858488	0.411786262436309	1.48216022526073	0.138297667078788	Interaction	-7.82692484885625e-05	0.999921733814469	3.90774446629457e-05	-2.00292647494373	0.0451851809073366
hsa-mir-103a-2	8.2256025480854e-05	1.0000822594086	2.67753621439486e-05	3.07207891488573	0.00212573518504682	age	0.0575076759321172	1.05919340092017	0.00729949126176843	7.87831286727029	3.31830992429197e-15	gender	0.604773113282435	1.83083676921372	0.411620985365851	1.46924752328871	0.141765664595508	Interaction	-7.75627269228869e-05	0.999922440280988	3.90026730662016e-05	-1.98865156732296	0.0467396753124716
hsa-mir-105-1	-0.00953996358351721	0.99050539750675	0.00593565513842463	-1.6072300969374	0.108003902102398	age	0.0560518849623081	1.05765255857615	0.00737242848038918	7.60290657432721	2.89552531156095e-14	gender	-0.403124338186866	0.668229007774703	0.323914259688813	-1.24454026375421	0.213300790215718	Interaction	0.00991305614028812	1.00996235324163	0.00738582134584111	1.34217383228069	0.179539638969128
hsa-mir-105-2	-0.0116003581376153	0.988466666596195	0.00598786770453893	-1.93731035988354	0.0527074166379416	age	0.0562262720090309	1.05783701556528	0.00737538694381724	7.62350130743515	2.46885798306218e-14	gender	-0.471743635952743	0.623913441391894	0.323853251855196	-1.45665863550962	0.145210633309559	Interaction	0.0119009469740993	1.01197204500825	0.00737516880644042	1.61365079043435	0.106603193425352
hsa-mir-106a	0.0129436071419091	1.0130277382195	0.00462160292823627	2.80067486170837	0.00509958707895513	age	0.0558041322978883	1.05739055479414	0.00731859886929022	7.62497484758314	2.44081973007092e-14	gender	0.0574657252477076	1.05914896796409	0.328113834033164	0.175139598782962	0.860969943782526	Interaction	-0.0047030246549882	0.995308017248568	0.0140594399992813	-0.334510098213627	0.737994672085186
hsa-mir-106b	0.00179707688974101	1.00179869260012	0.000441582913178293	4.06962506045931	4.70888576965822e-05	age	0.055031673718544	1.05657407977553	0.00739434940149496	7.44239563624326	9.8875567563072e-14	gender	0.606095754767929	1.83325991199919	0.308678554335518	1.96351753711122	0.0495860687711746	Interaction	-0.00176074261156251	0.99824080658633	0.00059412467258289	-2.96359113299887	0.00304072008939896
hsa-mir-107	0.00549100073150799	1.00550610390722	0.00238292093337526	2.30431511788783	0.0212049609279055	age	0.0571087607781557	1.05877095688684	0.00728951515197582	7.8343702684638	4.71198304716325e-15	gender	0.126590365787836	1.13495200737452	0.292793099473841	0.432354334905171	0.665483902120664	Interaction	-0.00379418091325354	0.996213007896392	0.00339042077615303	-1.11908850368674	0.263102383848711
hsa-mir-10a	0.000108357815861411	1.00010836368678	2.80970049374768e-05	3.85656108551555	0.000114993371431398	age	0.052662237884982	1.05407355887189	0.00738081699614216	7.13501471619032	9.6776805233926e-13	gender	-0.0547662711776611	0.946706394667336	0.192807451787616	-0.284046444625948	0.776374788147164	Interaction	-6.58848261033153e-05	0.999934117344254	3.50527967205941e-05	-1.87958828587868	0.0601642109790195
hsa-mir-10b	1.25828206290826e-05	1.00001258289979	3.66041473137566e-06	3.43753961025987	0.000587024854109078	age	0.0523018051855419	1.05369370475369	0.00756462596309289	6.91399752488987	4.71183397531842e-12	gender	-0.0268316675711339	0.973525103577549	0.235267486540348	-0.114047495324146	0.909200143209162	Interaction	-3.46443384629892e-06	0.999996535572155	5.40940964713327e-06	-0.64044582908135	0.521882796320977
