gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..
hsa-let-7a-1	6.7555307501143e-06	1.00000675555357	1.1522146793304e-05	0.586308339175145	0.557668328066656	age	0.00621415418562834	1.00623350209796	0.00819002595370912	0.758746580383431	0.448004166720214	gender	-0.0782022578881373	0.924777364110088	0.153337350074588	-0.510001365290957	0.610050505294703
hsa-let-7a-2	6.64517072075786e-06	1.0000066451928	1.15334648342144e-05	0.576164302425821	0.564504131419485	age	0.00622457448300639	1.00624398740491	0.00819053665877189	0.759971506426262	0.447271616945476	gender	-0.0782277872151103	0.924753755467741	0.153339427474489	-0.510160944928041	0.609938711020603
hsa-let-7a-3	6.74592918096098e-06	1.00000674595193	1.15311330582457e-05	0.585018761546344	0.558535101594352	age	0.00621942036813429	1.00623880112118	0.00818905037210024	0.7594800478116	0.447565445000332	gender	-0.0782266394192457	0.924754816896886	0.153335456915179	-0.510166669816743	0.609934700591673
hsa-let-7b	-1.00474065698294e-05	0.999989952643905	9.04442781518475e-06	-1.11089466079444	0.266613693959982	age	0.00819221089234729	1.00822585887302	0.00815923786674774	1.0040411894025	0.315358760472033	gender	-0.0789549635131568	0.924081540894109	0.153179522083504	-0.515440722357885	0.606245082228969
hsa-let-7c	-0.000165160148058383	0.999834853490128	8.82744871435319e-05	-1.87098394341093	0.0613473066092843	age	0.00848530788908674	1.00852141015477	0.00809299974273267	1.04847499800137	0.294419815579533	gender	-0.0393263078379973	0.961436933548275	0.154584630211284	-0.254399857115462	0.799186661339424
hsa-let-7d	8.08836489438974e-05	1.00008088692011	0.000275455051501426	0.293636469917774	0.769035704673189	age	0.0071018106982413	1.00712708835946	0.00811542042053877	0.875100774849299	0.381519075519632	gender	-0.0834443886906902	0.919942244441451	0.153166809798363	-0.54479419399373	0.585895072313889
hsa-let-7e	8.86808701515053e-05	1.00008868480242	7.2608409296859e-05	1.22135811829914	0.221950457278987	age	0.00644824578906214	1.00646908048428	0.00808834067498338	0.797227274193095	0.425319048632707	gender	-0.074545833634057	0.928164931912226	0.153408931325258	-0.485928902509626	0.627017575457602
hsa-let-7f-1	1.47285738399578e-05	1.00001472868231	1.90269982155426e-05	0.774088149539344	0.438878664873701	age	0.00629832771822126	1.00631820389122	0.00814464716959626	0.77330884777093	0.439339620740075	gender	-0.0805984815148063	0.922564043605296	0.153175174914587	-0.526185013725294	0.59875966544985
hsa-let-7f-2	1.44418409973904e-05	1.00001444194528	1.88866251139865e-05	0.764659694902054	0.444474212561312	age	0.00631716018186249	1.00633715552066	0.00814309951231766	0.775768510787181	0.437885679713357	gender	-0.0803900488536574	0.922756356125394	0.153179327154708	-0.524810040276943	0.599715251162844
hsa-let-7g	-0.000150580898019164	0.999849430438715	0.000259560934856425	-0.580136984413534	0.561822244673313	age	0.00736173764899598	1.00738890185728	0.00812101036261645	0.906505141636607	0.36466854468319	gender	-0.0885992838201251	0.91521224045764	0.153471708816331	-0.57730043213474	0.563736521817714
hsa-let-7i	0.000120745527642926	1.00012075281768	0.000264166020838216	0.45708197920305	0.647612122532457	age	0.00661005622695753	1.00663195086363	0.00813082378895693	0.812962671252959	0.416239460565909	gender	-0.0904264238735604	0.913541546276626	0.154326740981525	-0.585941381891721	0.557914907186492
hsa-mir-1-1	-0.0114675108913583	0.988597990393678	0.0101934063871852	-1.12499300584885	0.260591998079848	age	0.00804916900438507	1.00808165065683	0.00813564710790569	0.989370470182196	0.322481916932672	gender	-0.0608602011944221	0.940954774935205	0.153848901765074	-0.395584242046493	0.692411763837522
hsa-mir-1-2	-0.0104547054500337	0.989599755028336	0.00973625560447453	-1.07379118572328	0.282916281327762	age	0.00790130850316166	1.00793260621785	0.00812136945861662	0.972903467010545	0.330601281698699	gender	-0.0576449667838122	0.943985033992502	0.15427231525137	-0.373657235194051	0.708659345685417
hsa-mir-100	9.77064979683251e-06	1.00000977069753	7.46739194117567e-06	1.30844207372544	0.190723409919032	age	0.00698901020658706	1.00701349033581	0.00805147825300768	0.868040623965701	0.385372093872878	gender	-0.0680115179736189	0.934249712851697	0.153661221619346	-0.442606906654035	0.658050088238978
hsa-mir-101-1	-0.000101109603786641	0.999898895507617	2.97977696446912e-05	-3.39319368503992	0.00069082773348121	age	0.00936059861398452	1.00940454603488	0.0081583233979321	1.14736792811586	0.251229590490676	gender	-0.0166790977719234	0.983459228260447	0.154343829828595	-0.108064558139099	0.913944481978369
hsa-mir-101-2	-0.000101127321845479	0.99989887779135	2.96671479177588e-05	-3.40873083337222	0.000652658419850197	age	0.00938704965363066	1.00943124618767	0.00816060560258982	1.15028836225728	0.250025122471962	gender	-0.0156792767679265	0.984443003170894	0.154358251107607	-0.101577185899807	0.919092288780817
hsa-mir-103a-1	-5.87441771748914e-06	0.999994125599537	2.14505109549827e-05	-0.27385910432705	0.784192900487181	age	0.00708231140391386	1.00710745028341	0.00810933884826816	0.873352505849027	0.382470969765815	gender	-0.0835032404165884	0.919888105845729	0.153181531526311	-0.545126031738659	0.58566684000447
hsa-mir-103a-2	-6.04290220295721e-06	0.999993957116055	2.14049201320432e-05	-0.282313700106312	0.777702981496177	age	0.00708907400772836	1.00711426097512	0.00810966721981522	0.874151036728962	0.382036006665124	gender	-0.0836331617189773	0.919768600548276	0.153190572916511	-0.545941960570625	0.585105833728359
hsa-mir-106a	0.00339832571419484	1.00340410656958	0.00260502602479831	1.30452658892648	0.192054099909915	age	0.00729188358241717	1.00731853410362	0.00807643661148904	0.902859012357527	0.366600726520364	gender	-0.0717860373157505	0.930730016000836	0.153279103726254	-0.468335445410455	0.639544724442386
hsa-mir-106b	0.000140312033003928	1.0001403218772	0.00015517014272377	0.904246335931441	0.365864795347846	age	0.00784426205730856	1.00787510888504	0.00814879865297276	0.962628037747245	0.335734221878755	gender	-0.0657043378537017	0.936407683672661	0.154271058677476	-0.425901905496515	0.670179326380173
hsa-mir-107	0.000493986826491337	1.00049410885808	0.00187710651593317	0.263163982596779	0.792424190313149	age	0.00681225079250863	1.00683550695188	0.00809993418857076	0.84102544957969	0.400333677292031	gender	-0.0777135606178378	0.925229410731542	0.154053666519554	-0.504457715116916	0.613939769358516
hsa-mir-10a	1.30630113400645e-06	1.00000130630199	2.46606718990499e-06	0.529710276895082	0.596312821507459	age	0.00683956671918129	1.00686300997239	0.0081031280607443	0.844064991680885	0.398633089092849	gender	-0.0907699592729706	0.913227766316996	0.154117041050453	-0.588967700484565	0.555882941031789
hsa-mir-10b	2.10327600179489e-05	1.00002103298121	4.10076646446453e-06	5.12898264268637	2.91312198176562e-07	age	0.00860052344037046	1.00863761419915	0.00818580341876295	1.05066332531965	0.293413245666253	gender	-0.101719331929608	0.903283038801859	0.153363799869492	-0.663255162014559	0.507167148020915
hsa-mir-1180	0.00199141871988979	1.00199340291105	0.0029614705859947	0.672442511942392	0.501302026541333	age	0.00720914921917724	1.00723519769357	0.0081097692732442	0.888946279021983	0.374031951900492	gender	-0.0698423899407883	0.932540786132486	0.154431461323162	-0.452254931361665	0.651085339494629
hsa-mir-1226	0.0153446471492067	1.01546298073489	0.0350514790621138	0.437774597814113	0.661549686879835	age	0.00722286121255884	1.00724900899062	0.00813545194415686	0.887825441307723	0.374634655517565	gender	-0.0808964959516807	0.922289147164949	0.153131372253463	-0.528281662739761	0.597303857000701
hsa-mir-1228	0.0216394285815661	1.02187525902295	0.067651625602358	0.319865611341818	0.749070207551255	age	0.00711427478486212	1.00713964135696	0.0081194569194141	0.876200816812201	0.380920872566053	gender	-0.0831512761217613	0.920211930598256	0.153133138918355	-0.542999880424932	0.587129884762685
hsa-mir-1247	0.000812499186524977	1.0008128293534	0.00114933169371116	0.706931855243144	0.479608826687035	age	0.0067118007676325	1.00673437537958	0.00811848679290113	0.826730515039003	0.408389821495188	gender	-0.0934078095898423	0.910821982607905	0.154273797731851	-0.605467752548608	0.544868245051003
hsa-mir-1248	0.00562267008569766	1.00563850696308	0.0159063576110811	0.35348570824163	0.723724341283722	age	0.00704673703199077	1.00707162370566	0.00810438516890228	0.869496807608569	0.38457545343379	gender	-0.0775683601756829	0.925363764204931	0.15375447640647	-0.504494971389457	0.613913594986156
hsa-mir-1249	0.0205781170224993	1.02079130630614	0.0673520073777581	0.305530864241099	0.759961866756921	age	0.0071418972109606	1.0071674613815	0.00812130803754194	0.879402330012127	0.379183169227092	gender	-0.0834862471674901	0.919903737866274	0.153150376999794	-0.545125965753271	0.585666885383985
hsa-mir-125a	-0.000296949673346393	0.999703094411844	0.000281065113434782	-1.05651558714453	0.290732723385244	age	0.00683401474157567	1.00685741990702	0.00807332072438626	0.846493651730304	0.397277413806349	gender	-0.0814946222494347	0.921737666715817	0.153082431178337	-0.532357773665716	0.594478225223844
hsa-mir-125b-1	0.000123952821906018	1.00012396050437	0.000401246404578485	0.308919458197346	0.757382794774693	age	0.00706224858208003	1.00708724506875	0.00809886221341526	0.872005029346203	0.383205633858969	gender	-0.0810785195608366	0.922121284043685	0.153171879618918	-0.529330316782395	0.596576328275085
hsa-mir-125b-2	5.28678026219702e-05	1.00005286920015	0.00040521117697922	0.130469754107206	0.89619478230008	age	0.00697428521111121	1.0069986621759	0.00809977575749361	0.861046703010125	0.389212321322002	gender	-0.0816958780764397	0.921552180305157	0.15315831157504	-0.533408061477699	0.593751138307811
hsa-mir-126	-4.53134733621824e-05	0.999954687553278	3.00091358370053e-05	-1.50998927820856	0.131046160035554	age	0.00654504680875505	1.00656651243324	0.00807018782675044	0.811015424828159	0.417356812756974	gender	-0.0901798207746431	0.913766856232852	0.153218052759117	-0.588571771737759	0.556148574655467
hsa-mir-1266	0.00332898440969292	1.00333453163212	0.00299300276741202	1.11225570719115	0.266028222133622	age	0.00663011478979535	1.00665214265638	0.00809874370462731	0.818659662733512	0.412980616700248	gender	-0.0737414192654084	0.928911861500102	0.153491149231693	-0.48042782684555	0.630923211555352
hsa-mir-1269a	0.000446967898076918	1.00044706780311	0.000119407666518715	3.74320938603103	0.000181684707498984	age	0.00520790273783939	1.00522148743566	0.00812361149968919	0.641082200698377	0.521469277895933	gender	-0.0546086266104409	0.94685564955151	0.153637356677818	-0.355438467513841	0.722261134862825
hsa-mir-127	5.84138435221639e-05	1.00005841554964	4.91949062420485e-05	1.18739617542427	0.235071387879004	age	0.0068001128803727	1.00682328614513	0.00812145362704931	0.837302432870423	0.402422592097699	gender	-0.0957502687001198	0.908690916299199	0.153853393623156	-0.622347459781405	0.533713420267281
hsa-mir-1270	-0.0251712236499281	0.975142930201411	0.0270519722414388	-0.930476470450104	0.352124441288598	age	0.00774580468615777	1.0077758810363	0.00812978985985087	0.952768130503665	0.340707564944099	gender	-0.0735023651070709	0.92913394828765	0.153409038044403	-0.479126693212144	0.631848501065591
hsa-mir-1271	0.030586907869523	1.03105949333903	0.0314972018508209	0.971099211110584	0.331498876623245	age	0.00748385576691863	1.00751192980581	0.00812230801034344	0.921395218869837	0.356844124047949	gender	-0.0828926413701319	0.920449960162404	0.153129012485608	-0.541325513856642	0.588283237697038
hsa-mir-128-1	0.00175925301377363	1.00176080140723	0.00118257747552318	1.48764292419432	0.136845087059348	age	0.0086082839666568	1.00864544178825	0.00815570669151102	1.05549209801977	0.291200321582426	gender	-0.0722684616627908	0.930281117469093	0.153306403152796	-0.471398846862012	0.637355939302545
hsa-mir-128-2	0.00230658634989137	1.00230924856667	0.00144077571694145	1.60093366564221	0.109391612116578	age	0.0088736558651772	1.00891314346275	0.00816238634658533	1.08713989860201	0.276974987279236	gender	-0.0703108713737022	0.932104010407395	0.153385972130843	-0.458391796830841	0.646670984088927
hsa-mir-1287	-0.000975521751687703	0.999024953914969	0.00154081727621446	-0.633119687030251	0.526655487009527	age	0.00644523333134963	1.0064660485433	0.00812258772427769	0.793495072030482	0.427489439311889	gender	-0.0846842444650787	0.918802355532523	0.153162667313079	-0.552903954669163	0.58032917932432
hsa-mir-129-1	-0.0110735597314637	0.988987526442714	0.007851726003283	-1.41033445726883	0.158440948649553	age	0.00769296469488123	1.0077226315744	0.00807882455169821	0.952238119005089	0.340976232898444	gender	-0.0806903711784655	0.922479273400437	0.153277012503625	-0.526434915845957	0.598586061443535
hsa-mir-129-2	-0.00840992236537536	0.991625342105324	0.00651001130428247	-1.29184451029188	0.196410997511638	age	0.00784270579370619	1.00787354036691	0.00809740615002713	0.96854543892181	0.332772037281388	gender	-0.0832277756599468	0.920141537503086	0.153246709208857	-0.543096658255268	0.587063253366659
hsa-mir-1296	0.00729181111455284	1.0073184611054	0.0186153456586206	0.391709681263752	0.695272735941441	age	0.0072830804287285	1.00730966656279	0.00814303517795975	0.894393830993284	0.371111211988631	gender	-0.0805919471637981	0.92257007198228	0.153170237463266	-0.526159314619629	0.598777519605068
hsa-mir-1301	0.00427243103015681	1.00428157087543	0.00550645521605777	0.77589499278913	0.437810989339895	age	0.00782523378217743	1.00785593094263	0.00817667869494472	0.957018622612068	0.338557855550739	gender	-0.0732356401766337	0.929381804528624	0.15354730596324	-0.476958157730013	0.633391917252174
hsa-mir-1306	0.00920399482442069	1.00924648183482	0.00787703104022499	1.16845989020729	0.242621309228745	age	0.00817347539405537	1.00820696943612	0.00816708778944038	1.00078211533654	0.316932157848176	gender	-0.0816716985779301	0.921574463244121	0.153058328397877	-0.533598526998305	0.593619327588646
hsa-mir-1307	-3.16028187412618e-05	0.999968397680623	8.00870223533858e-05	-0.394605989991908	0.693133692190386	age	0.00639886697796552	1.00641938346468	0.00820259272377504	0.78010297395585	0.435330266099369	gender	-0.0919249567241529	0.912173599471751	0.155031281859061	-0.592944569778644	0.553218248863356
hsa-mir-130a	-8.07143096618295e-05	0.99991928894765	0.000898991474141479	-0.0897831759071021	0.928459517870102	age	0.00685728240223838	1.00688084739636	0.00812427939895802	0.84404807681994	0.39864254070677	gender	-0.0815486756107252	0.92168784504323	0.153245848095747	-0.532142805981758	0.594627091908284
hsa-mir-130b	0.000644170784755958	1.00064437830731	0.00133850196855199	0.48126248589147	0.630329955616448	age	0.00755816948672336	1.00758680454714	0.00819366912904248	0.922440162970874	0.356299028445155	gender	-0.0815207512727241	0.921713582925501	0.153104417059158	-0.532451988248158	0.594412986309213
hsa-mir-132	0.00355971220044701	1.00356605550046	0.00124169012572973	2.86682814551255	0.00414608086484028	age	0.00610954894029345	1.00612825030065	0.00803209432098227	0.760642081148555	0.446870877855034	gender	-0.0616176938380702	0.940242278504657	0.15334891010054	-0.401813705735971	0.687821134636525
hsa-mir-133a-1	-0.0185763827935819	0.98159509475274	0.0163674509966997	-1.13495881535419	0.25639257481092	age	0.00791825740222646	1.00794968971063	0.00814034796926665	0.972717312837402	0.330693818261334	gender	-0.0655557172905234	0.936546863452205	0.153640591456852	-0.426682276271592	0.669610761567803
hsa-mir-133a-2	-0.0291357994973501	0.971284555555797	0.0194401825129722	-1.49874104720509	0.133940823644204	age	0.00802913048007096	1.00806145039056	0.00812470529327412	0.988236519387074	0.323036826724514	gender	-0.0679630720537346	0.934294974534801	0.153278977236715	-0.443394608177586	0.657480335182946
hsa-mir-134	0.000180506453007662	1.00018052274528	8.95202897285031e-05	2.01637476325313	0.0437608024120119	age	0.00723060378242017	1.00725680771663	0.00812388531511976	0.890042572236088	0.373443027140742	gender	-0.113951344557281	0.892301370144432	0.154866598281921	-0.735803238538519	0.461850450058618
hsa-mir-135b	-0.000552002238080678	0.999448150087126	0.00100513959726473	-0.549179675721496	0.582882150801358	age	0.00748096724805746	1.0075090195928	0.00814219787439	0.918789663855709	0.358205599854655	gender	-0.079920390759377	0.923189837903241	0.153178843131351	-0.521745621820927	0.601847455475883
hsa-mir-136	0.000663078977506555	1.00066329886297	0.0009185264984899	0.721894227980017	0.470359510263993	age	0.00706733028912496	1.0070923628041	0.00811242108426183	0.871173995496319	0.383659156425575	gender	-0.0904312321548944	0.913537153722422	0.153756069429425	-0.588147397956232	0.556433361153266
hsa-mir-138-1	0.0260620561156525	1.02640464118228	0.0105516397507343	2.46995317612494	0.0135130738521749	age	0.00737480756094735	1.00740206842757	0.00811357482716496	0.908946761205165	0.363378228903456	gender	-0.0618669341099537	0.940007961465361	0.153800011505045	-0.402255718348399	0.687495840079144
hsa-mir-138-2	0.0346966973255535	1.03530565020205	0.01656925825143	2.09404046934684	0.0362563753535226	age	0.00710111265541358	1.00712638534187	0.00809952460920903	0.87673203033913	0.380632204920344	gender	-0.0666280599693893	0.935543102563775	0.153652098449474	-0.433629352555176	0.664557616229655
hsa-mir-139	-0.000181800711789559	0.999818215812958	0.00190115145829569	-0.0956266324791063	0.923817112467154	age	0.00693929671789403	1.00696342942641	0.00809226091348681	0.857522612293529	0.391156123422659	gender	-0.0822283189252062	0.921061638883827	0.153109704221885	-0.537054913293031	0.591229683200341
hsa-mir-140	-0.000355474501577132	0.999644588671998	0.000184433498275136	-1.9273857780805	0.05393157068027	age	0.0086321943952643	1.0086695592214	0.00818605761867307	1.05449958910301	0.291654248646668	gender	-0.0711603011327428	0.931312589698171	0.153258901739355	-0.464314309479812	0.642422573347132
hsa-mir-141	6.25235154853072e-05	1.00006252547012	5.386491476641e-05	1.16074657792454	0.245744973904736	age	0.00692501037397181	1.0069490437033	0.0080408294360962	0.861230850499657	0.389110911935022	gender	-0.0561570005971386	0.945390697334219	0.154821130813653	-0.362721808722161	0.71681270666306
hsa-mir-142	-6.1913986658808e-05	0.999938087929973	2.70950536538729e-05	-2.28506602901516	0.0223089563648603	age	0.00626170984418984	1.00628135533265	0.00809244096098327	0.773772694095628	0.439065222829252	gender	-0.0683201048153399	0.93396146016121	0.153385951085517	-0.445413053358775	0.656021280670866
hsa-mir-143	-1.23240343753323e-07	0.999999876759664	1.20649646602762e-06	-0.102147289464586	0.918639765725355	age	0.00698795744968509	1.00701243019597	0.0081176000621949	0.86084032178787	0.389325993859082	gender	-0.0815734061709155	0.921665051468351	0.153208363383415	-0.532434420481161	0.5944251508663
hsa-mir-144	-0.000114962033568779	0.999885044574313	0.00046780371207113	-0.245748442353744	0.805876970245794	age	0.00693935153957583	1.00696348462984	0.00808990918621493	0.857778669679058	0.391014690166593	gender	-0.0833491469028489	0.920029865558052	0.153182056787135	-0.544118212348282	0.586360128523582
hsa-mir-145	-0.000133473293419611	0.999866535613744	8.97924173900496e-05	-1.4864650857969	0.137156145274436	age	0.00636857025713212	1.00638889271946	0.00809783769815686	0.786453185963664	0.431602034861876	gender	-0.0832511199776492	0.92012005767742	0.153066700234551	-0.543887859672153	0.586518643726025
hsa-mir-1468	-0.071996259410359	0.930534376551945	0.0257610269955772	-2.79477442505378	0.00519359401784072	age	0.00611631997224097	1.00613506285024	0.00819045954796323	0.746761513981465	0.455207530684483	gender	-0.101071772960141	0.90386815726451	0.153071279816697	-0.660292205573606	0.509066331042317
hsa-mir-146a	-0.000961885405586119	0.99903857705789	0.000603426743827844	-1.59403840718823	0.110927432819971	age	0.00800405796112085	1.00803617606758	0.00810232374491023	0.987871901088733	0.323215388412856	gender	-0.050976473330156	0.950301027687962	0.15412432476118	-0.330749045675596	0.740834052190755
hsa-mir-146b	-0.000110433634757052	0.999889572462812	7.30768736755829e-05	-1.51119812879942	0.130737979021259	age	0.00825424886120838	1.00828840909768	0.0081350939555597	1.01464702267726	0.310274115889248	gender	-0.0678385396637377	0.934411331765913	0.153534666488419	-0.44184509736669	0.658601302148721
hsa-mir-147b	0.0113778893234139	1.01144286369606	0.00911091614016517	1.24881945441851	0.21173111672621	age	0.00819109358686077	1.00822473237737	0.00813738437300347	1.00660030439701	0.314126888129527	gender	-0.0833343381698729	0.920043490135542	0.153147103213319	-0.544145703192285	0.586341212263813
hsa-mir-148a	-6.60460505681577e-06	0.999993395416754	2.43478218345934e-06	-2.71260612209341	0.00667564023222851	age	0.00778670653017588	1.00781710177119	0.00808731676345219	0.962829422654148	0.335633132670219	gender	-0.0662389204844545	0.93590723016846	0.153284340519469	-0.432131033476584	0.665646180675527
hsa-mir-148b	-0.000366844973189031	0.999633222306201	0.000446314380471288	-0.821942982884977	0.411109348239714	age	0.00674325510694912	1.00676604204225	0.00808277246161251	0.834275013799392	0.404126028462752	gender	-0.0990395242666948	0.905706909914651	0.15409294161269	-0.642725897955983	0.520401973400712
hsa-mir-149	0.00200332151928589	1.0020053295085	0.00118529795976188	1.69014170891541	0.0910008470476202	age	0.00974419060571608	1.00979181980797	0.00831513622255231	1.17186181259279	0.241252540913233	gender	-0.0940356751918286	0.910250288307866	0.153302774558203	-0.613398390621608	0.539612949937992
hsa-mir-150	-0.000169966282491626	0.999830048160959	9.36085039901218e-05	-1.81571412047737	0.0694142368657141	age	0.0078648723123162	1.00789588166211	0.00813003566219458	0.96738472487748	0.333351743290452	gender	-0.0387226510513903	0.962017486687898	0.154655636166462	-0.250379824565279	0.802293630487863
hsa-mir-151a	2.42801060235803e-05	1.00002428040079	3.8242252014544e-05	0.6349026206497	0.525491927784383	age	0.00731040458197771	1.00733719082252	0.00813452736210856	0.898688301920318	0.368818709710127	gender	-0.0912206543901962	0.912816271758062	0.153843453016983	-0.59294466291085	0.553218186533719
hsa-mir-151b	-0.0413603897396033	0.959483279701777	0.0369535994870472	-1.11925198935224	0.263032651596415	age	0.00736813687497519	1.00739534838714	0.00804341932148918	0.916045350923099	0.359643109066763	gender	-0.0779819658968468	0.924981107597834	0.153276719873444	-0.508765884090122	0.610916335283224
hsa-mir-152	-0.000207056304047299	0.99979296513063	0.000543535409687495	-0.380943541776507	0.703245142421664	age	0.0067682846357965	1.0067912412373	0.00811297932316233	0.834253899362622	0.404137924044735	gender	-0.0748955961593732	0.927840351368095	0.154289127484592	-0.485423680724702	0.627375837764895
hsa-mir-153-2	-0.00289974155569121	0.997104458634051	0.00224806378752366	-1.28988402009954	0.197090929854598	age	0.00609811975789773	1.00611675114307	0.00806807976811835	0.755832854057161	0.44974941604517	gender	-0.103088178799427	0.902047428515205	0.153338994011536	-0.672289390340409	0.501399482741753
hsa-mir-154	0.00737731315737414	1.00740459257376	0.00427248524584113	1.72670301543002	0.0842210138419313	age	0.00679705754178816	1.00682020996379	0.00811114946017603	0.837989433576613	0.402036637937319	gender	-0.101002138997535	0.903931099377403	0.153959580286083	-0.656030230855759	0.511804673309801
hsa-mir-155	-8.18164659727837e-05	0.999918186880903	0.000203868143353088	-0.401320503670269	0.688184169738307	age	0.00709529732779858	1.00712052858902	0.00810552644947344	0.875365390764904	0.381375124720053	gender	-0.0794847929522375	0.92359206497046	0.153280425712595	-0.51855801275809	0.604068995161813
hsa-mir-15a	-0.000794077161683489	0.99920623803415	0.00105177596637223	-0.754986981136684	0.450256793746297	age	0.00624757504950696	1.00626713185283	0.00817868300323602	0.763885218076678	0.44493564709134	gender	-0.082821733543841	0.920515229582318	0.153137899123711	-0.540831068061957	0.588624026626455
hsa-mir-15b	0.000605394604626751	1.00060557789293	0.000381169455210039	1.58825581733236	0.112228503947329	age	0.00730662745137402	1.00733338598558	0.00806292692155369	0.906200381382852	0.364829801204447	gender	-0.0662213180565254	0.935923704553021	0.153742915567404	-0.430727606616076	0.666666443183266
hsa-mir-16-1	-3.68342686988654e-05	0.999963166409675	0.00036427242777921	-0.101117366810949	0.919457291984391	age	0.0068840239177842	1.00690777327621	0.00810020174942308	0.84985832831565	0.395403856161883	gender	-0.0826550165321996	0.920668707923934	0.153197342228193	-0.539532966629943	0.589519156063987
hsa-mir-16-2	-2.25790972432791e-05	0.999977421157663	0.000352657335226043	-0.064025599322375	0.948949843310217	age	0.00690028934687597	1.00692415119639	0.00809825920372738	0.85207069485995	0.394174855869822	gender	-0.0824707858484266	0.920838338974665	0.153201462294607	-0.538315918224299	0.590358963559027
hsa-mir-17	0.000126869501364162	1.00012687754964	0.000119577662112726	1.0609799449379	0.288699015432786	age	0.00687974980559368	1.00690346964862	0.00807293283761981	0.852199559190447	0.394103341267354	gender	-0.0672791391177204	0.934934188204562	0.153698218910972	-0.437735320515921	0.661578162282294
hsa-mir-181a-1	-8.93249725509219e-05	0.999910679016806	7.78337184154414e-05	-1.14763850898328	0.251117825559265	age	0.00706403130444705	1.00708904042731	0.00815035495903701	0.866714559052982	0.386098426307839	gender	-0.0733186249110187	0.929304683226422	0.153331006407444	-0.478172201623657	0.632527646166025
