gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
hsa-let-7a-1	7.32393655562413e-06	1.00000732396338	2.81570772200711e-05	0.260109971584815	0.794778946386678	age	0.0158287873016926	1.01595472616448	0.00873575546035759	1.81195402887853	0.069993300032879	gender	0.419576610381165	1.52131730928895	0.494052627274899	0.84925489151929	0.395739475210537	Interaction	-7.53582243588313e-05	0.999924644615001	6.49211386899817e-05	-1.16076559776146	0.245737236906537
hsa-let-7a-2	7.55440547471174e-06	1.00000755443401	2.82133058093797e-05	0.267760379650378	0.78888376986174	age	0.0158347082671459	1.01596074161512	0.0087345491872392	1.81288214511171	0.0698500006476776	gender	0.424345542911038	1.52858969587113	0.493706230982199	0.859510203196803	0.390059093237638	Interaction	-7.62149199834852e-05	0.9999237879843	6.50645651430746e-05	-1.17137369343653	0.241448601576962
hsa-let-7a-3	7.59108760246186e-06	1.00000759111641	2.8116431867019e-05	0.269987587271567	0.787169803046229	age	0.0158205404915214	1.01594634781326	0.00873676263641898	1.8108012257966	0.0701716265146245	gender	0.41668042929014	1.51691767301133	0.495514728569721	0.840904225981067	0.400401590767866	Interaction	-7.45387569981817e-05	0.999925464020946	6.47669361753794e-05	-1.15087668801164	0.249782969564183
hsa-let-7b	8.09566533802597e-06	1.00000809569811	1.04371701818738e-05	0.775657117490115	0.43795146594809	age	0.0147040666638055	1.01481270326555	0.00875286144036216	1.67991539269667	0.0929737784783429	gender	0.238214952459387	1.26898193429833	0.382963984861065	0.622029647372218	0.533922373539104	Interaction	-2.26372670037475e-05	0.999977362989217	2.16747958126297e-05	-1.04440508687777	0.296298011114326
hsa-let-7c	-1.75102362045318e-05	0.999982489917099	3.53445032169979e-05	-0.495416107478651	0.620306427004227	age	0.0165689262689775	1.01670695218787	0.00881376256399667	1.87989251453856	0.0601227282878339	gender	0.0404508839881017	1.04128016491754	0.247242599226946	0.163608068005188	0.870039692946345	Interaction	-0.000101243306503368	0.999898761818427	0.000114497930874983	-0.884236996508807	0.37656829076002
hsa-let-7d	3.99631423818561e-06	1.00000399632222	0.000247536717678029	0.0161443291147765	0.987119248595703	age	0.0152535041125019	1.01537043257279	0.00882412781674434	1.72861323286336	0.0838783396883212	gender	-0.143366742840776	0.866436251328229	0.364791800852622	-0.39300977298746	0.694312263194775	Interaction	1.72533154853132e-05	1.00001725346432	0.00040948447329075	0.0421342361205053	0.966391687917296
hsa-let-7e	9.57352297033438e-05	1.00009573981247	0.000158402588978588	0.604379198096847	0.545591562584516	age	0.0142502166585795	1.01435223501454	0.00881492163460725	1.61660162724912	0.105964300438351	gender	-0.26737393609606	0.765386812190845	0.341208081596724	-0.78360962274062	0.433269207710643	Interaction	0.000165439294902121	1.00016545298074	0.000347372298548408	0.476259320600565	0.633889642591046
hsa-let-7f-1	-3.86671095120384e-05	0.999961333638051	4.11552937547444e-05	-0.939541574954274	0.347452757070483	age	0.0157138875501378	1.01583799992489	0.00873843920957078	1.79824876883359	0.072137594323425	gender	0.0635930970687574	1.06565869088396	0.330108755672325	0.192642866861373	0.847238670785036	Interaction	-6.76492038513873e-05	0.999932353084304	9.74727289453677e-05	-0.694032111169308	0.487662071426923
hsa-let-7f-2	-3.56819745025555e-05	0.999964318662092	4.03376247739276e-05	-0.884582934729926	0.376381614038282	age	0.0157465090565555	1.01587113863124	0.00874256052514126	1.80113240409062	0.0716820134093878	gender	0.0664904591082014	1.0687507671911	0.329600388283462	0.201730524209876	0.840127398284287	Interaction	-6.76314212706163e-05	0.999932370865682	9.60620592636953e-05	-0.704038845190322	0.4814085828368
hsa-let-7g	-0.000802205101142287	0.999198116579346	0.000460658056002919	-1.74143291469368	0.0816077228880177	age	0.0136789459486206	1.01377293077862	0.00885072687201579	1.54551667297187	0.122221339170693	gender	-0.27091020499208	0.762684978634035	0.534220765025224	-0.507112831863225	0.612075651984274	Interaction	0.000277412563154901	1.00027745104558	0.00095306045899716	0.291075514188054	0.770993566366973
hsa-let-7i	-0.000792734821338405	0.999207579309897	0.000416745771674415	-1.90220243424025	0.0571446947270301	age	0.0142988613710511	1.01440157908751	0.00877099781043677	1.63024340902658	0.103050062769373	gender	-0.645484625271397	0.524408338981337	0.430897605559451	-1.49800002818149	0.134133243135568	Interaction	0.000803274558203546	1.00080359726961	0.000600329875733451	1.33805527706271	0.18087841813263
hsa-mir-1-1	-0.00960353644953742	0.990442430241348	0.0194236130212921	-0.494425853676658	0.621005458992378	age	0.0156216812609118	1.01574433759066	0.00876689403654467	1.78189461350771	0.0747664191072403	gender	-0.0644167181868273	0.937614197220961	0.220381084156801	-0.292296947504781	0.7700595924985	Interaction	-0.0221629976818743	0.978080797154937	0.047694854773325	-0.464683198789604	0.642158341818238
hsa-mir-1-2	-0.00310258407311582	0.996902223967114	0.0187500110799426	-0.165471052784323	0.868573232269638	age	0.0155098960451951	1.01563079873687	0.00877729453350921	1.7670474638834	0.0772202797375511	gender	-0.0690980969545785	0.93323512806382	0.222867063756597	-0.310041761173125	0.75652919916428	Interaction	-0.0170507694257607	0.983093772261622	0.0421179867734186	-0.404833438917402	0.68559994737775
hsa-mir-100	5.4524507914575e-05	1.0000545259944	1.92241593804396e-05	2.83624926508117	0.0045646804564849	age	0.0137918218293622	1.01388736774952	0.00877601381181191	1.57153602137674	0.11605819417399	gender	0.236434722149933	1.26672486384545	0.267467005913081	0.883977152033352	0.376708546752141	Interaction	-7.43706156101939e-05	0.999925632149815	4.15454261696141e-05	-1.79010356775658	0.0734372633655506
hsa-mir-101-1	3.73972482341932e-05	1.00003739794752	2.69680472864055e-05	1.38672436446835	0.165525828206698	age	0.0153378663541264	1.01545609511186	0.0087395791576872	1.75498912217478	0.0792611684195488	gender	0.431298734897459	1.53925531055754	0.366772779282761	1.17592896545071	0.239623262986595	Interaction	-0.000103872979526585	0.999896132415085	6.2622148996967e-05	-1.65872588517548	0.09717104088083
hsa-mir-101-2	3.59969580133558e-05	1.00003599760591	2.69327552085287e-05	1.33654940739062	0.181369762779533	age	0.0153669694943669	1.01548564850305	0.00874123239792269	1.75798660816051	0.0787497879717936	gender	0.43352165564201	1.54268075895816	0.367456214007443	1.1797913305481	0.238083218444609	Interaction	-0.000104103246951882	0.999895902171603	6.2744708080314e-05	-1.65915580989919	0.0970843995965929
hsa-mir-103a-1	-2.49961063822695e-05	0.999975004206018	1.51478915005357e-05	-1.65013766974668	0.0989147816926939	age	0.0149956233434284	1.01510862182418	0.00868588968542	1.72643492912416	0.0842691964154636	gender	-0.374933001854159	0.687335327440877	0.384456162628528	-0.975229527576671	0.329446418426701	Interaction	2.18827640934317e-05	1.00002188300352	3.17817776344227e-05	0.688531785262087	0.491117961246601
hsa-mir-103a-2	-2.49582569046674e-05	0.99997504205455	1.51473358624635e-05	-1.64769944571681	0.0994143618522414	age	0.0150018654583094	1.01511495826859	0.0086850089245946	1.72732873259651	0.0841086417939106	gender	-0.377834390739959	0.685343990579274	0.385495796889869	-0.980125837397655	0.327024006757448	Interaction	2.21155585896978e-05	1.00002211580314	3.1771791063565e-05	0.696075287208449	0.486381682073331
