gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..
hsa-let-7a-1	-1.01702256504676e-05	0.999989829826066	2.95586829374342e-05	-0.344068971949614	0.730794416709533	age	-0.0119956737601686	0.988075987506377	0.0145127492735468	-0.826561083228648	0.408485882893757	gender	-0.24167721809033	0.785309620385198	0.406801415984127	-0.594091388560359	0.552450990244072
hsa-let-7a-2	-1.07137122968176e-05	0.999989286345095	2.95314946013633e-05	-0.362789369161256	0.716762233820033	age	-0.0119531944220473	0.988117961211842	0.0145129949405868	-0.823620105359454	0.410155448409778	gender	-0.241791816801752	0.78521963007112	0.40679463762083	-0.594382999284088	0.552255976605273
hsa-let-7a-3	-9.87136781421785e-06	0.999990128680908	2.93274901428589e-05	-0.336590951565676	0.736425278199319	age	-0.0119924479193941	0.988079174887327	0.0145221835108454	-0.825801981529699	0.408916429869368	gender	-0.24164250984096	0.785336877580357	0.406805228963224	-0.594000501067318	0.552511777840148
hsa-let-7b	7.65342135135506e-06	1.00000765345064	1.23067870200826e-05	0.621886227401672	0.534016681913536	age	-0.0135322316727491	0.986558917361097	0.0143892720730187	-0.94043893284382	0.346992459776394	gender	-0.274409666222353	0.760020656685067	0.412128337067983	-0.665835472936885	0.50551626855235
hsa-let-7c	3.99687769783541e-05	1.00003996957574	9.88717004367789e-05	0.40424890845193	0.686029691839346	age	-0.0127056556328574	0.987374720439319	0.014460088367804	-0.878670676809078	0.379579862230544	gender	-0.248907632925265	0.779651984232028	0.408293977293358	-0.60962847058218	0.542107947445608
hsa-let-7d	-0.000216216601989659	0.999783806771135	0.000417149702475237	-0.518318964886458	0.604235743087299	age	-0.0131014997296154	0.98698395133187	0.0144607617346966	-0.906003429831783	0.364934037050295	gender	-0.307853247831037	0.735023176340019	0.427172833574064	-0.720676090881751	0.471108826030783
hsa-let-7e	8.38860223455233e-05	1.00008388954088	9.26551415183541e-05	0.905357446665886	0.365276051696251	age	-0.0123018811476877	0.987773477657312	0.0144951403269227	-0.848690034744862	0.396053792742895	gender	-0.239897588752453	0.786708424732403	0.408088252863913	-0.587857129110875	0.556628194168698
hsa-let-7f-1	-5.36518854962295e-05	0.99994634955374	5.42385283924567e-05	-0.989184018932403	0.322573115913668	age	-0.00963090235292913	0.990415326260351	0.0143681423809213	-0.670295581544174	0.502669383218851	gender	-0.279418606915109	0.756223276655663	0.40837629948788	-0.684218470233241	0.493837220707086
hsa-let-7f-2	-5.2815994671522e-05	0.999947185400069	5.33510540818493e-05	-0.989970968342886	0.322188309339322	age	-0.00963973737364493	0.990406575959081	0.0143705352862236	-0.670798768566828	0.502348732059897	gender	-0.278265988359934	0.757095416161725	0.408255639169043	-0.681597415105674	0.49549354989747
hsa-let-7g	-0.000376589518153737	0.999623481382778	0.000550833250223071	-0.683672450784751	0.494182023465681	age	-0.0128755023296901	0.987207032345554	0.014573746718439	-0.883472354669081	0.37698111281441	gender	-0.322222770009707	0.724536767287782	0.423158430679639	-0.761470755745507	0.446375939731113
hsa-let-7i	0.00030920256162464	1.00030925036966	0.000234658700190163	1.31766928468481	0.187614380979215	age	-0.0118848508241132	0.988185495056221	0.013691680891022	-0.86803445966276	0.385375468345741	gender	-0.228769455589521	0.795511913190756	0.408033359054586	-0.560663608778411	0.575026879868109
hsa-mir-100	-3.13868725329491e-05	0.99996861362003	2.55502892306322e-05	-1.22843511670778	0.219283672100426	age	-0.0134873292488075	0.986603217242426	0.0144384510102229	-0.934125775629116	0.350239017399797	gender	-0.297707562732596	0.742518448066895	0.409508755983947	-0.726987050660931	0.467233888446686
hsa-mir-101-1	-0.000107384444188882	0.999892621321314	0.000132271125686769	-0.811850988878549	0.416877140189962	age	-0.0084073248534684	0.991627917867303	0.0150240429365791	-0.559591375567695	0.57575818886589	gender	-0.301818779664897	0.739472060122369	0.415818592787688	-0.725842434417073	0.467935369670972
hsa-mir-101-2	-0.000110044292860608	0.99988996176179	0.000131018876540787	-0.839911742231666	0.400957873393427	age	-0.00827933179151581	0.99175484748371	0.0149996644988789	-0.551967798488735	0.580970415761143	gender	-0.303147417624229	0.738490221871645	0.415775215303456	-0.729113728924355	0.465932097281588
hsa-mir-103a-1	-5.06037852100747e-06	0.999994939634283	1.34134610115624e-05	-0.377261209217028	0.705979496548955	age	-0.0132642634835107	0.986823319191817	0.0144016669969704	-0.921022787591258	0.357038529933381	gender	-0.245089885533323	0.782634187588814	0.407418622584604	-0.601567704437536	0.547461931775584
hsa-mir-103a-2	-5.25759895916701e-06	0.999994742414862	1.34392488698828e-05	-0.391212262684502	0.695640344868811	age	-0.0132854473987153	0.986802414631722	0.0144017244745484	-0.922490040841578	0.356273022760707	gender	-0.245457142753957	0.782346812305861	0.40744784299678	-0.602425922661952	0.5468906589184
hsa-mir-105-1	0.000902401245618666	1.00090280853213	0.00035378652389734	2.55069423130577	0.0107508600448888	age	-0.0181634766016661	0.982000485133657	0.0148019696011019	-1.22709862884153	0.219785523166712	gender	-0.280037222205131	0.755755610041826	0.409438981904714	-0.683953493881787	0.494004533055049
hsa-mir-105-2	0.000904961349626748	1.0009053709507	0.000356325538742173	2.53970386972894	0.0110946363125566	age	-0.0183578771729817	0.981809602232788	0.0148031206278143	-1.24013561968064	0.214925236096981	gender	-0.277148934702418	0.757941604896557	0.409160983418843	-0.677359146971036	0.49817811194601
hsa-mir-106a	0.00214028140134358	1.00214257343849	0.0014240354669295	1.50296916828795	0.132846994781576	age	-0.0146297909288166	0.985476704494705	0.0144819137928588	-1.01021115980063	0.312394133706449	gender	-0.253993441945147	0.775696889092544	0.406818031280418	-0.624341652570631	0.53240323483348
hsa-mir-106b	0.000240927564412812	1.00024095658979	0.000291266954723484	0.827170952645617	0.408140173057268	age	-0.0141262979239222	0.985973010054608	0.0146072559808578	-0.967074031045535	0.333507026448494	gender	-0.160994926403149	0.851296390230879	0.420865826432517	-0.382532665500137	0.702066304295357
hsa-mir-107	-0.00293951315196478	0.997064802986669	0.00343521009104274	-0.855701128623697	0.392163115790339	age	-0.0117640943822424	0.988304832025721	0.0143212293917768	-0.821444448686598	0.411393154139295	gender	-0.290012209683116	0.748254431573292	0.411475112155463	-0.70481105932245	0.480927825203163
hsa-mir-10a	-8.16366247431686e-06	0.999991836370848	1.74751794062926e-05	-0.467157577299449	0.640387142671934	age	-0.0128497695905036	0.987232436213495	0.0143431355372944	-0.895882881193736	0.370315317968022	gender	-0.268795236373636	0.764299740412934	0.411098344967225	-0.653846554393368	0.51321066979258
hsa-mir-10b	-4.03261847852433e-06	0.999995967389652	4.70272640413832e-06	-0.85750650409424	0.391165021822376	age	-0.014939919255668	0.985171127639657	0.0144800433481235	-1.03175929080379	0.302184894275122	gender	-0.142820210763875	0.866909915956836	0.414709244021394	-0.344386369059348	0.730555738557288
hsa-mir-1180	0.00411917454299526	1.00412767000321	0.00302707654647267	1.3607764718719	0.173584339412177	age	-0.0126850730534404	0.987395043367066	0.0143350537575181	-0.884898882697781	0.37621117069398	gender	-0.184408326306102	0.831596171898025	0.411744681422976	-0.447870572775326	0.65424660716568
hsa-mir-1226	0.0354703314777567	1.03610690791121	0.0474688510890236	0.747233831533762	0.454922425716447	age	-0.0130352813181842	0.987049310005185	0.0142944108524836	-0.911914555465528	0.361813698689181	gender	-0.176790427890208	0.837955378199103	0.417573971668344	-0.423375114075891	0.672021598729232
hsa-mir-1228	0.0280665422133148	1.02846411842328	0.0825185932666899	0.340123856966481	0.733763256390829	age	-0.0140902437134183	0.986008559173908	0.0148961330912159	-0.945899424175205	0.344199887221577	gender	-0.212751955417966	0.808356620831172	0.413936730676031	-0.513972159635374	0.607271455408956
hsa-mir-1229	0.044212630350486	1.04520457347719	0.114783990987265	0.385181156102086	0.700103203566485	age	-0.0121934426250681	0.987880596161693	0.0144088697102892	-0.846245602204377	0.39741574714935	gender	-0.217553376028182	0.804484663577744	0.411048678769626	-0.529264263004992	0.596622142748566
hsa-mir-1245a	0.0609376907519711	1.0628326878184	0.0753678951584114	0.808536454731682	0.41878182900122	age	-0.00935786177477838	0.990685786755308	0.0149432893194899	-0.626225028151822	0.531167353163479	gender	-0.222675106585935	0.800374843572513	0.407772427029041	-0.546076909143433	0.585013071525594
hsa-mir-1247	-0.0200653539022103	0.980134615591747	0.018518527111293	-1.08352860795144	0.278573859874257	age	-0.0110550510745039	0.989005831442979	0.0145809393525716	-0.758185107775939	0.448340175204981	gender	-0.200197833921672	0.8185687963831	0.410944845743934	-0.48716472780977	0.62614159920452
hsa-mir-1248	0.0154673532241696	1.01558759185664	0.0137092976793439	1.12823819176927	0.259219338640564	age	-0.0142207971367986	0.985879840783521	0.0143756181324805	-0.989230306881059	0.322550473499494	gender	-0.225954566483589	0.797754345627477	0.409254171496896	-0.552113044216833	0.580870905445066
hsa-mir-1249	0.0301487795901625	1.03060785596207	0.0187885764346434	1.60463352266393	0.108574479524999	age	-0.0148891410744966	0.985221154107777	0.0144835048116866	-1.0280067751614	0.303946640702205	gender	-0.224363598815094	0.799024557163587	0.408714982099656	-0.548948799631691	0.583040587325751
hsa-mir-125a	0.000401063833083244	1.00040114426994	0.000214059535562279	1.87360881649001	0.0609843619668413	age	-0.00918004507269743	0.990861962897773	0.0145986980351362	-0.628826286467659	0.529462788844431	gender	-0.343175828220717	0.709513448104907	0.415466342352406	-0.826001515014733	0.408803232393793
hsa-mir-125b-1	7.18599612086051e-05	1.0000718625432	0.000285792106451454	0.251441378493116	0.801472879613538	age	-0.0119476905885171	0.988123399663575	0.0146576425295617	-0.815116794151642	0.415005459397835	gender	-0.223498346078186	0.799716214534595	0.412459643632559	-0.541867185137971	0.58791000403576
hsa-mir-125b-2	8.01408617365346e-05	1.0000801440731	0.000291975536119276	0.274478001827509	0.783717306698436	age	-0.011897533129422	0.988172962665541	0.0146356246287944	-0.812915979411947	0.416266232200407	gender	-0.221488316195088	0.801325284621537	0.412863576009075	-0.536468531169771	0.591634779059533
hsa-mir-126	0.00013324386346475	1.00013325274082	0.00012649312093885	1.05336845573731	0.292172155589463	age	-0.0125229547973487	0.987555131105792	0.0139700668134458	-0.896413379018033	0.370032024382009	gender	-0.216825746293566	0.805070243556872	0.40851449132741	-0.530766351981839	0.59558069974263
hsa-mir-1262	0.02021507514943	1.02042078357999	0.0838254847688301	0.241156674550445	0.809433688706482	age	-0.0133245656105464	0.986763813440841	0.0145645335007839	-0.914863878738663	0.360263094892333	gender	-0.223794310967176	0.799479561636138	0.41154739484366	-0.543787456247152	0.58658774169019
hsa-mir-1266	0.0378372756727399	1.03856221978907	0.0226556546228029	1.67010295234006	0.0948989961394658	age	-0.0123670313923	0.987709126069904	0.0146046778321666	-0.846785635014954	0.397114616507798	gender	-0.219152469453643	0.803199245467069	0.408970120193059	-0.535864256660585	0.592052369028509
hsa-mir-1269a	4.37990529271961e-05	1.00004380001212	5.54159789464718e-05	0.790368658280009	0.429312500458749	age	-0.0110141341157806	0.989046299381668	0.0146341443451849	-0.752632600580063	0.451670721689771	gender	-0.217616677751118	0.804433739924258	0.409270552472837	-0.531718386373673	0.594921055572902
