gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
hsa-let-7a-1	-1.33091240312857e-05	0.999986690964535	4.41448990362493e-05	-0.301487245907099	0.763042974144964	age	-0.0119349068960044	0.988136031610022	0.0144988296941379	-0.823163465450584	0.410415041862311	gender	-0.344968417059959	0.708242721501982	1.14859522564263	-0.300339414058554	0.763918272034941	Interaction	5.67781400186921e-06	1.00000567783012	5.90185812824041e-05	0.0962038374779098	0.923358683087655
hsa-let-7a-2	-1.41359870376595e-05	0.999985864112875	4.41854848060082e-05	-0.319923773603982	0.749026115520039	age	-0.0118874963080285	0.988182880830846	0.0144967178813113	-0.820012943988751	0.412208728195951	gender	-0.353738778913217	0.702058335845968	1.14456693989036	-0.309059056822925	0.757276603408185	Interaction	6.17108666252674e-06	1.0000061711057	5.89473158966561e-05	0.104688170591951	0.916623248879711
hsa-let-7a-3	-1.41880845904645e-05	0.99998581201606	4.40592701110857e-05	-0.322022687954031	0.747435506761199	age	-0.0119087607268479	0.988161867919613	0.014497755397574	-0.821420999339019	0.411406506263118	gender	-0.383110003587743	0.681737901545985	1.14538692266069	-0.334480860579228	0.738016731109038	Interaction	7.73483095866074e-06	1.00000773486087	5.85099903379598e-05	0.132196756724511	0.894828666367148
hsa-let-7b	2.74367367292935e-05	1.00002743711312	1.46615956501274e-05	1.87133361088533	0.0612988546050193	age	-0.0166703848378324	0.983467797113214	0.0149704933056888	-1.11354946676992	0.265472515653834	gender	0.94423025187499	2.57083372233025	0.761052708202315	1.2406896942859	0.214720402850019	Interaction	-4.92629592130504e-05	0.999950738254187	2.77330931389311e-05	-1.77632400995676	0.0756795280157432
hsa-let-7c	0.000186667238706409	1.00018668466212	0.000172683458483498	1.08097926892197	0.279706335461414	age	-0.0136966347950268	0.986396737326589	0.0145917992587926	-0.938652907164526	0.347908979422727	gender	0.212751583271744	1.23707730237383	0.612948620007351	0.347095296942169	0.728519726628181	Interaction	-0.000230150831400614	0.99976987565127	0.000228767466580118	-1.00604703475182	0.314392945102657
hsa-let-7d	-0.000730393079974747	0.999269873592122	0.000634053216670714	-1.15194286657813	0.249344551681042	age	-0.0194029038881258	0.980784120890295	0.0153058980869155	-1.26767496934484	0.204914047118195	gender	-1.46631412270842	0.23077452608037	1.04884620498407	-1.39802586474601	0.16210530029982	Interaction	0.00109233164371519	1.00109292845521	0.000891899838423589	1.22472456733018	0.220679014493498
hsa-let-7e	-5.50814610959946e-06	0.99999449186906	0.000126254250333952	-0.0436274113151041	0.96520140142523	age	-0.0132063043577228	0.986880516266234	0.0137719066627316	-0.958930718973038	0.337593648176272	gender	-1.40376998114094	0.245669048249484	0.834784767192258	-1.68159510847619	0.0926473797800735	Interaction	0.000371389825192451	1.00037145879893	0.000218229612853739	1.70183056431192	0.0887871351482798
hsa-let-7f-1	-0.000113289567461436	0.999886716849559	8.35593426094637e-05	-1.3557977351608	0.175163532130398	age	-0.00960914313212976	0.990436877160583	0.0141337319589852	-0.679873027167531	0.496584861774305	gender	-1.00011635137959	0.367836640380952	0.746972160905341	-1.33889374159197	0.180605267354861	Interaction	0.000113712601671192	1.00011371906719	9.95197576682915e-05	1.14261332960845	0.253199168727337
hsa-let-7f-2	-0.000110069284943573	0.999889936772458	8.17824827490216e-05	-1.34587849676023	0.178341704690601	age	-0.00961626841400797	0.990429820043793	0.0141414901810124	-0.680003895694079	0.496501994212176	gender	-0.991864826415842	0.370884410685068	0.749257654623737	-1.32379672105444	0.185570565423532	Interaction	0.000110648924450869	1.00011065504627	9.81220190128107e-05	1.12766660902507	0.259460744504394
hsa-let-7g	-0.00042507471463947	0.999575015616817	0.000681755471398571	-0.623500261416986	0.532955830519797	age	-0.0131046713605025	0.986980820988049	0.0147240124410506	-0.89002039443858	0.373454935281968	gender	-0.457192765691518	0.633058296379947	1.17783100681376	-0.388164993998845	0.697893936856375	Interaction	0.000143690933520287	1.00014370125756	0.00116687351189763	0.123141824760946	0.901994791927728
