gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
hsa-let-7a-1	-9.15494500224482e-06	0.999990845096904	3.06443279352077e-05	-0.298748434672851	0.765131998150846	age	0.0166271216773044	1.01676612158578	0.00865984616804983	1.92002506218292	0.0548547338012468	gender	-0.0856901778133078	0.91787856631575	0.687759260999552	-0.124593273653299	0.900845553748877	Interaction	-1.87041975222682e-05	0.9999812959774	3.75055062883489e-05	-0.49870537351148	0.617986958497223
hsa-let-7a-2	-9.31231555160609e-06	0.999990687727808	3.07088068469061e-05	-0.303245762625398	0.76170257631376	age	0.0166152731279425	1.01675407445357	0.00865983888364364	1.91865845903032	0.055027572010181	gender	-0.0818175055582491	0.921440101050208	0.687596777323507	-0.118990530870035	0.90528285775257	Interaction	-1.89993138436393e-05	0.999981000866642	3.76092059108047e-05	-0.50517721349126	0.613434373216171
hsa-let-7a-3	-9.39787311296628e-06	0.999990602171047	3.0676301069434e-05	-0.306356137648237	0.759333500855247	age	0.0166286772892039	1.01676770328048	0.00865992517527054	1.92018717860163	0.0548342605420624	gender	-0.0854304686700343	0.918116978729439	0.688283378509684	-0.124121068933865	0.901219416556039	Interaction	-1.87368050877642e-05	0.999981263370445	3.75547852338536e-05	-0.498919244807023	0.617836275812893
hsa-let-7b	-8.07616593198176e-05	0.999919241601815	5.88223218109264e-05	-1.37297639456346	0.169759685221361	age	0.0150897214645899	1.01520414613252	0.00907567471998221	1.66265560745212	0.0963813931498479	gender	-0.171640874703369	0.842281603490761	0.684554769527254	-0.250733589690569	0.802020089215265	Interaction	-3.09405898641437e-05	0.999969059888791	7.39782792005926e-05	-0.418238842515491	0.675772499156854
hsa-let-7c	-6.01756135204934e-05	0.999939826196995	0.000118037866393366	-0.509799231036214	0.610192124470324	age	0.0161328232986917	1.01626365993367	0.0087497211432787	1.84380999514305	0.0652108355554169	gender	0.0938775688245261	1.09842525618919	0.729966568744717	0.128605298987818	0.897669973146424	Interaction	-0.000101135046094995	0.999898870067881	0.000143218790469261	-0.706157661041699	0.480090096779639
hsa-let-7d	7.98735900643991e-05	1.00007987678004	0.00057830418214522	0.138116915855784	0.890148016984373	age	0.0164277932653918	1.01656347140711	0.00858144561026647	1.9143386803895	0.0555768951036852	gender	0.259987552398635	1.29691394309753	0.870461748343683	0.298677745338425	0.765185939028949	Interaction	-0.000589400714793156	0.999410772947688	0.000751480017210034	-0.784319877169033	0.432852438952821
hsa-let-7e	4.74529136477041e-05	1.00004745403955	0.000121088450532704	0.391886372638718	0.695142172354325	age	0.0172609950831829	1.01741082689944	0.00865665827668211	1.99395592750586	0.0461568711282571	gender	-0.12036681300859	0.886595162424454	0.578859588798598	-0.207937840778291	0.8352775022132	Interaction	-8.24592043797725e-05	0.999917544195287	0.000152581930021795	-0.540425752695577	0.588903451802408
hsa-let-7f-1	5.51525920034587e-06	1.00000551527441	2.7235352552671e-05	0.202503683023005	0.839522979421196	age	0.0170442880773068	1.01719037073345	0.00863513979733242	1.97382885249549	0.0484012069204407	gender	-0.189461034329772	0.827404956658016	0.520003753138623	-0.364345513251066	0.715600017338577	Interaction	-1.58410091557441e-05	0.999984159116312	3.36867047256717e-05	-0.470245139284048	0.638179887734952
hsa-let-7f-2	5.23195604022784e-06	1.00000523196973	2.6858309597316e-05	0.194798411317393	0.845550766050884	age	0.0170465413691928	1.01719266276285	0.00863453377760789	1.97422834958384	0.048355783825052	gender	-0.196138155715272	0.821898676834455	0.519434595269486	-0.377599331083279	0.705728261683541	Interaction	-1.51066767321744e-05	0.999984893437373	3.32069931349403e-05	-0.454924559739172	0.649163513330542
hsa-let-7g	0.00030987912283151	1.00030992714033	0.000398831315567814	0.776967882750974	0.437177719305987	age	0.0169574807381472	1.01710207497637	0.00870892145125663	1.94713901521071	0.0515180706460642	gender	0.152299724255539	1.16450921578848	0.690574105480877	0.22054074001151	0.825450047386576	Interaction	-0.000451920495402024	0.999548181605284	0.000513560206840309	-0.879975686166331	0.378872481177448
hsa-let-7i	-0.000220845899428175	0.999779178485232	0.000230258498751387	-0.95912159866301	0.33749749077987	age	0.0165782586552598	1.01671644053416	0.00869303362788494	1.90707402788379	0.0565110019554951	gender	-0.569796815430031	0.565640356416964	0.756380008483839	-0.753320829528779	0.451257144889689	Interaction	7.18833334162358e-05	1.00007188591708	0.000290340606881195	0.247582775927895	0.804457238709186
hsa-mir-1-1	-0.0081451987456736	0.991887883504196	0.0148206035801218	-0.549586169121911	0.582603247386512	age	0.0176391933070528	1.01779568263841	0.00869494373034133	2.0286725083108	0.0424916578368942	gender	-0.399799069775737	0.670454747125124	0.380924431084285	-1.04954956193733	0.293925257058595	Interaction	-0.00139755639895689	0.998603419728203	0.0206682959756315	-0.067618365858736	0.946089435018964
hsa-mir-1-2	-0.00748166675316325	0.992546251247759	0.0139411901313354	-0.536659114658139	0.591503102496465	age	0.0177107011661898	1.01786846563096	0.0087037427099471	2.03483739770353	0.0418672367368664	gender	-0.396883866389853	0.672412110744344	0.380133930376837	-1.04406324896178	0.296456127731466	Interaction	-0.00165912644474656	0.998342249144669	0.0196603816714246	-0.0843893304044053	0.932746890130023
hsa-mir-100	-1.57856076328921e-05	0.999984214516959	4.32242567204712e-05	-0.365202523550069	0.714960234685181	age	0.0170647235562007	1.0172111577182	0.0086933288962964	1.96296766863045	0.0496499309335697	gender	-0.305483973021408	0.73676671287921	0.622990227169599	-0.490351147897292	0.623885439275911	Interaction	-5.28511201278171e-06	0.999994714901953	5.00579075236155e-05	-0.105579962771883	0.915915623271481
hsa-mir-101-1	5.67106242476683e-05	1.00005671223233	3.33032969025576e-05	1.70285315635862	0.0885955522258096	age	0.0162016032291816	1.01633356088142	0.00868401153528854	1.86568191017992	0.0620858820542547	gender	0.526777548166766	1.69346639264151	0.744096553285021	0.707942465048602	0.478980987442449	Interaction	-5.96578054891104e-05	0.999940343974002	4.34578425850104e-05	-1.37277420922151	0.169822550887274
hsa-mir-101-2	5.69582534217223e-05	1.00005695987557	3.31585193211293e-05	1.71775623845264	0.0858410866861193	age	0.0161644497925611	1.01629580129834	0.00868633590872277	1.86090544533614	0.0627575306708366	gender	0.535966378059177	1.70909908031107	0.747136127112851	0.717361078670235	0.473151328733334	Interaction	-5.97396310587838e-05	0.999940262153317	4.32970235050251e-05	-1.37976300037924	0.167659628134795
hsa-mir-103a-1	5.90566900439118e-05	1.00005905843392	3.07131875569057e-05	1.92284470423302	0.0544995559131591	age	0.0164022436093736	1.01653749889189	0.00865612447848794	1.89487150400115	0.0581094272292384	gender	0.557626376641576	1.74652199097807	0.706596399517515	0.789172400287264	0.430011250794312	Interaction	-7.08871366190063e-05	0.999929115375815	4.84590002666454e-05	-1.46282705439547	0.143514708164548
hsa-mir-103a-2	5.89028940878414e-05	1.0000589046289	3.07347429809681e-05	1.9164921640736	0.0553024796612963	age	0.0163995078915833	1.01653471793598	0.00865545643585822	1.89470168478264	0.0581319344230262	gender	0.559149748026107	1.74918462017323	0.707839433729815	0.789938680132275	0.429563580460935	Interaction	-7.08515767555094e-05	0.999929150933158	4.84523441341454e-05	-1.46229409580988	0.143660635772598
hsa-mir-106a	-0.0369316493257028	0.963742005513818	0.0930462629546576	-0.396917062039343	0.691428621835739	age	0.016773344624675	1.01691480699521	0.00861942200644742	1.94599412955166	0.051655444784247	gender	-0.223550061584709	0.799674857874885	0.681907844772641	-0.327830312113866	0.743039966983896	Interaction	-0.0248464219726239	0.975459709703224	0.112226894218901	-0.221394543131171	0.824785240968709
hsa-mir-106b	0.000317241939648587	1.00031729226619	0.00175482363095157	0.180782805777786	0.856538059729749	age	0.0170757008089991	1.01722232396352	0.00861510117306051	1.9820661958556	0.0474718323639609	gender	-0.259853641965784	0.771164443656569	0.889220810290674	-0.292226226555406	0.770113660474633	Interaction	-0.000312586880795873	0.999687461969393	0.00205096008168343	-0.152410026693109	0.87886354930743
hsa-mir-107	0.00660671366667093	1.00662858614127	0.00577562322495686	1.1438962358422	0.252666672295038	age	0.0172724567929571	1.01742248823389	0.0087030341455754	1.98464771067667	0.0471836801948687	gender	1.3397198603133	3.81797378955717	0.862182066135235	1.5538711751668	0.120215148625214	Interaction	-0.0180474769040918	0.98211440350007	0.00836409822175669	-2.15773134480257	0.0309487254483605
hsa-mir-10a	-7.13753946299433e-05	0.999928627152533	8.26691616939857e-05	-0.863385973286529	0.3879252889067	age	0.0169356230186918	1.01707984368752	0.00866664546627382	1.9541151284654	0.0506876033507642	gender	-0.911091538828231	0.40208509292173	0.552809859556841	-1.6481101468751	0.0993300704902868	Interaction	0.000106602441542109	1.00010660812378	9.81821959846657e-05	1.08576143029799	0.277584554588011
hsa-mir-10b	-1.89506450227545e-05	0.99998104953454	2.16321149024583e-05	-0.876042176560413	0.381007105595801	age	0.0178132905002359	1.01797289343549	0.00862541691395015	2.06520921573378	0.0389032089225912	gender	-0.752396239578866	0.471236004384926	0.551391929273623	-1.36453981212608	0.172397733003716	Interaction	1.8815750245026e-05	1.00001881592726	2.49538712714492e-05	0.754021291540197	0.450836437002406
hsa-mir-1179	0.017790864911474	1.01795006504998	0.011934786252379	1.49067310760825	0.136047339868072	age	0.0162031855263328	1.01633516902439	0.00864619687142315	1.87402458760643	0.0609270362658569	gender	-0.103356860888789	0.901805097083924	0.339432570564643	-0.304498948692096	0.760747793566777	Interaction	-0.0537232526941747	0.947694342069545	0.0351311454234254	-1.52922007087057	0.126209896547479
hsa-mir-1180	0.0138305279544519	1.01392661216029	0.00580999196060948	2.38047282134295	0.0172904364676	age	0.0156923040236767	1.01581607479515	0.00853022072382109	1.83961289299995	0.0658250901439844	gender	0.778043740740843	2.17720891165258	0.544983882328084	1.42764541479129	0.153393944816888	Interaction	-0.0234096042173975	0.976862274907634	0.008968178987119	-2.61029627653738	0.00904638362646034
